StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
88E,95954400,94228048,-48.3906250000,1.0000000000,-47.5200000000,-14.7120000000,.0000000000,4.2608300000,-.0528499970,-.1629800000,-1982913,.0000000000,-.9630000000,,-6404792,-11475527,-.0010000000,7274643,.0010000000,23520212,31.0290000000,1.4450000000,.0090000000,-5763431,-51010692,-.5909091000,.0260000000,.0040000000,.0089032260,.0068731885,65906026,63947394,10661600256,8249674166
NCR,8454732,4403102,54.8086780000,2.2000000000,28.5440000000,-6.6160000000,.0000000000,-4.3144900000,-.0911800000,-.1270600000,154259,.0000000000,-.6140000000,,-665534,-573172,-.0010000000,4051634,.0050000000,0,,79.3220000000,.0050000000,-662606,26122,.0000000000,.0160000000,.0050000000,.0097741930,.0095217390,602272,5484306,768611968,516484444
ABL,397614,5564845,12.1172060000,,169.5880000000,-17.6340000000,.0000000000,-13.5831700000,-.0557800000,,32814,.0000000000,-.3620000000,40455,-315578,-860216,-.0020000000,26102,.0000000000,5193333,,.0070000000,-.0040000000,-227937,-256204,-.5000000000,.0030000000,.0010000000,.0010000000,.0010000000,0,0,397614016,82230624
ADD,15989848,10501235,,,,,.0000000000,.0000000000,-3.1853602000,,,,,,,-534975,-.0040000000,85648,.0010000000,1000000,,.2970000000,-.0070000000,-319136,-160113,.5135135700,.7400000000,.0110000000,.0610967760,.0372414370,2494980,2885411,285532992,62275365
ADX,13708101,21400312,2.8477714000,7.0000000000,4.4460000000,,-.4870000200,-.5616900000,-.0974300000,-.3934900000,4813624,.0030000000,,235559,,-2344243,-.0020000000,3039209,.0020000000,3500000,35.7150000000,1.2420000000,.0010000000,-2182973,-9150516,-.1250000000,.0105000000,.0040000000,.0066774194,.0059855073,5427013,14580916,1958300032,1076999481
AEE,10230161,10213589,118.6958850000,.5714286000,118.5040000000,-5.1910000000,.0000000000,-53.7472500000,-.1376600000,-.3060200000,86188,.0000000000,,86188,-1967734,-5875997,-.0040000000,326555,.0000000000,310000,1.6530000000,.2960000000,.0070000000,-1991415,-246039,-.1999999300,.0060000000,.0020000000,.0040000000,.0040000000,0,0,2557540096,1345647549
AJC,20338,,,,,,,,,,,,,,,,,,,,,,,,,,.2000000000,.0010000000,.2000000000,.2000000000,0,0,,
AJQ,56133440,92718008,2.6598575000,.8148148000,4.3930000000,92.5590000000,-.4535100200,-.1194300000,-.0137899990,-.2201899900,21103928,.0370000000,-.3120000000,1619614,1001722,-9570776,-.0170000000,3245703,.0030000000,55059648,130.5550000000,.4400000000,.0540000000,-3047801,-22700694,-.2142857300,.0640000000,.0180000000,.0546290300,.0369166660,2115814,4909705,1275760000,546692104
ANA,18315792,16631531,293.8095400000,8.9999990000,266.7920000000,-1.9140000000,.0000000000,-139.3750200000,-1.1448700000,-2.1868900000,62339,.0000000000,-.4760000000,,-8688414,-8932328,-.0200000000,1889593,.0040000000,0,,3.4470000000,.0040000000,-7498670,-3796496,.0285713670,.0540000000,.0040000000,.0360000000,.0257394350,243543,0,508772000,394592555
SRJ,58317352,719312,,,,,.0000000000,.0000000000,,,,,-.7970000000,,,,,,,,,,,,,-.3875000000,.8300000000,.4150000000,.4666129000,.5495109000,78135,27675,119015000,
