StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
8EC,1184737,,,,,,.0000000000,.0000000000,,,,,,,,,,,,,,,,,,-.9894096000,3.4440300000,.0210000000,.0330000000,1.4555835000,0,0,1150660,
LIC,1315176064,1442114304,10.2916975000,4.5057306000,11.2850000000,59.1130000000,.3350700000,.1814500100,.0272800000,.1568200000,127790000,1.2250000000,.0550000000,41012000,24396000,42818000,.4100000000,16381000,.1570000000,145784000,50.0330000000,1.8000000000,2.7920000000,5699000,-2278375,.3977778000,13.0100000000,4.5300000000,12.3315150000,10.4424290000,133152,60012,104545000,80269477
MOC,167495984,164098016,.9665869500,1.8715084000,.9470000000,11.8520000000,.0543900020,.0785500000,.0208100000,.1074500000,173286000,1.3860000000,.0170000000,44004000,13846000,9425000,.0750000000,6108000,.0490000000,3759000,4.2260000000,1.3480000000,.7160000000,16897000,14246875,.0268199440,1.5250000000,.5200000000,1.4300001000,1.0643116000,140911,141205,124997000,82767644
NAB,155229126656,163788636160,10.8589800000,1.2614545000,11.4580000000,,.1790099900,.4596699800,.0040800000,.0598500000,14295000064,4.6590000000,-.1440000000,14295000000,,3455000064,.8050000000,199735001088,60.8110000000,286204985344,,,18.6610000000,8001999872,,-.0768626900,27.4900000000,13.1950000000,23.4731250000,20.1341720000,6459629,4448685,3297129984,3271941672
NAC,48832748,-1585408,7.5238090000,.9838402000,-.2440000000,,.6337500000,.7963000000,.0611500000,.0805000000,6490429,.1320000000,,6490429,,4113325,.0840000000,50153760,1.0690000000,0,,68.3530000000,1.0520000000,2917201,3846123,.0507613420,1.1350000000,.5900000000,1.0638572000,1.0094894000,49761,44296,45554200,
NBI,,,,,,,.0000000000,.0000000000,,,,,,,,,,,,,,,,,,-.0780487660,2.0700000000,.9050000000,1.8912857000,1.8444190000,242338,228448,,
NCC,64054812,7567308,2774.3767000000,1.0732985000,327.7590000000,,.0000000000,-50.0993600000,-.0117200010,-.0098700000,23088,.0000000000,,23088,,-597948,-.0100000000,55761696,.9030000000,0,,122.0340000000,.9550000000,788236,-1556233,-.0144230720,1.1350000000,.7300000000,1.0327142000,.9751936000,42337,38225,62492500,
ABA,260571872,503838016,3.4003900000,1.0688628000,6.5750000000,,.2414700000,.3550600000,.0050000000,.0770100060,76630000,1.8140000000,.0600000000,76630000,,18504000,.4380000000,393388992,9.2760000000,638526976,,,5.7070000000,7168000,,-.0032679439,6.8300000000,3.3000000000,6.1145163000,5.3008695000,22532,29472,42716700,36047938
ABP,2196006656,2671477504,7.7242850000,.8103295000,9.3970000000,15.0850000000,.2980200000,.6155500000,.0354600000,.0407600030,284299008,.4420000000,-.1950000000,239639000,177092000,84727000,.1320000000,127313000,.1950000000,1009760000,45.7580000000,1.7740000000,3.3690000000,205396000,195747248,-.2661290200,4.0750000000,1.9550000000,2.8451514000,2.8645790000,1016114,801881,804398016,365784674
ABW,1544810,,-9.1414820000,1.0382514000,,,.0000000000,4.4593600000,-.2250000000,-.4016600000,-168989,-.0210000000,,-774475,,-753583,-.0940000000,1731067,.2130000000,0,,6.9960000000,.1830000000,26680,-398154,.0000000000,.2582000000,.0000000000,.1849305500,.1877054700,0,0,8130780,
ACQ,105265344,20080060,21.1461120000,1.3680070000,4.0340000000,,.4100000000,.5510200000,.0262800000,.0329400000,4978000,.0930000000,,4978000,,2041000,.0380000000,63840000,1.1910000000,0,,39.6310000000,1.1440000000,2834000,1479375,.3433478000,1.6000000000,.7500000000,1.5074285000,1.3158275000,75706,54848,67262200,
ACU,17124800,22691792,.4669338800,.6432748400,.6190000000,-5.5200000000,-.0696600000,-.1248800000,-.0734400000,-.1004900000,36675000,.2520000000,.0950000000,5770000,-4111000,-2555000,-.0180000000,1855000,.0120000000,7422000,27.9390000000,.8330000000,.1710000000,-595000,-2668250,-.2142857300,.1600000000,.0500000000,.1237096800,.1223659440,109327,285876,155680000,78289880
AEF,786708992,766923968,15.7650795000,37.8378370000,15.3690000000,52.4180000000,.1895100000,.2852800000,.2910600000,.4999599800,49902000,.4550000000,.2520000000,31711000,14631000,9457000,.0840000000,21427000,.1910000000,1641000,7.8830000000,2.4530000000,.1850000000,8851000,9440250,.6666667500,9.0700000000,2.0400000000,5.5851610000,5.0231886000,305646,286242,112387000,82097680
AEG,114198792,,,28.8372080000,,,.0000000000,.0000000000,,,,,,,,,-.0160000000,,,,,,.0430000000,,,.1071428060,1.4400000000,.9200000000,1.2277143000,1.2857747000,100305,117597,92095800,
AFA,48358176,62612428,12.5118180000,10.1666670000,16.2000000000,-20.1460000000,-1.5384200000,-.8150100000,-.0775899960,-.9866300000,3865000,.0050000000,-.9400000000,3576000,-3108000,-5946000,-.0070000000,3833000,.0050000000,19323000,612.0680000000,4.6850000000,.0060000000,-1557000,1102875,-.3440860500,.0930000000,.0480000000,.0618387100,.0609565200,1048,3055,792756992,167402340
AFG,735366656,3493205504,1.0782187000,4.1141143000,5.1220000000,,.0558300000,.0737400000,.0106100000,.2690700000,682019968,3.0980000000,.0880000000,90422000,,38078000,.1710000000,161528000,.6030000000,2921121024,1639.1180000000,.3980000000,.6660000000,40316000,,-.0214285250,3.1850000000,.9200000000,2.6606250000,2.1699280000,492201,794370,268382000,185207686
AFI,9149733888,9045462016,45.0601500000,1.3399857000,44.5470000000,,.8760400000,.9288800000,.0146200005,.0261999980,203056000,.1680000000,-.3890000000,264307000,,177886000,.1470000000,105379000,.0870000000,0,,23.9650000000,5.6120000000,174192992,87059504,.0606488000,7.6500000000,4.7700000000,7.3880000000,6.7478170000,317287,288080,1216720000,1198227826
AGJ,2925300,137363296,.2501111600,,11.7440000000,,.0000000000,.9115100000,.0723100000,,11696000,.1200000000,.7340000000,10933000,,-127227000,-1.3050000000,339000,.0030000000,134776992,,.0030000000,-1.0580000000,198000,114761248,-.4000000400,.0500000000,.0210000000,.0300000000,.0300000000,0,0,97510000,11524711
AIB,801180,-44398,-3.8221138000,1.0000000000,.2120000000,,.0000000000,1.1386600000,-.1413000100,-.2500700000,-209617,-.0300000000,,-209617,,-239276,-.0340000000,814286,.1220000000,0,,19.4040000000,.1150000000,116411,-263426,-.0416666270,.1325000000,.0520000000,.0876000000,.0738450700,5944,0,6966790,
AIQ,16767676,6714553,3.3236227000,1.2162162000,1.3310000000,,.4969300000,.8786900000,.1248500000,.1137500000,5045000,.0210000000,1.3180000000,3629000,,2507000,.0100000000,30652000,.1110000000,0,,219.6640000000,.1110000000,-188000,2934625,.0000000000,.1350000000,.0550000000,.0550000000,.0550000000,0,0,124205000,
ALI,323184448,-29990734,-43.4154300000,.9344553000,4.0290000000,,.0000000000,1.6476401000,-.0220000000,-.0282500010,-7444000,-.0520000000,,-7444000,,-9313000,-.0660000000,329508992,2.3210000000,0,,39.8520000000,2.2580000000,8333000,-10089625,-.1526104800,2.7700000000,1.5200000000,2.1022856000,2.1268310000,75316,93412,153168000,
ALF,195915472,-92515064,9.9937370000,.9066666400,-4.7190000000,,.0730300000,.6388200000,.0195200000,.0058000000,19603824,.0870000000,,19603825,,1431683,.0060000000,288925408,1.5000000000,0,,2.9410000000,1.1250000000,4757977,-73721288,.0355329500,1.0300000000,.7650000000,1.0218571000,.9572887400,359681,372939,192074000,
AMH,319655040,308063008,52.8442800000,1.0459434000,50.9280000000,,.6749900000,.7029300000,.0084000000,.0144500010,6049000,.0220000000,-.4730000000,8482000,,4083000,.0150000000,11592000,.0390000000,0,,5.0350000000,1.0230000000,3563000,2485625,.0918368100,1.1250000000,.7000000000,1.0852858000,1.0093486000,138186,93278,298743008,208979691
AMP,5103351296,22890192896,.2166016400,1.0227273000,.9720000000,14.1650000000,.0011900000,.0659100040,.0106500010,-.0904800000,23561000960,7.0050000000,-.0740000000,5797000000,1616000000,-456000000,.0080000000,8578999808,2.4980000000,26247000064,513.6400000000,.5620000000,1.4520000000,-9445000192,112310575104,-.1514285800,2.0900000000,1.0800000000,1.5924243000,1.5578929000,9117093,6261433,3436600064,3329652742
ANZ,67228282880,38111338496,4.5122680000,1.0969234000,2.5580000000,,.2400800000,.3994200200,.0036300002,.0602200000,14899000320,5.2630000000,-.1550000000,14899000000,,3675000064,1.1800000000,294166986752,103.7460000000,265040003072,,,21.6150000000,409000000,,-.0624753830,27.2900000000,14.1000000000,23.7425000000,20.2783450000,6470083,4781593,2840369920,2796993749
APD,187561920,167231904,7.0799456000,1.4357682000,6.3130000000,12.9870000000,.6798700000,.4799200000,.0543200000,.0343200000,26492000,.0900000000,-.0310000000,26595000,12877000,16825000,.0570000000,23245000,.0770000000,11202000,9.5870000000,2.1200000000,.3970000000,8333000,13003375,-.1162790660,.7400000000,.3500000000,.5787096600,.5525362500,174117,150880,329056000,104620273
APL,502154016,-44976740,-61.9790200000,.9478022000,5.5510000000,,.0000000000,2.0364100000,-.0170100000,-.0205200000,-8102000,-.0150000000,,-8102000,,-11937000,-.0230000000,538900992,1.1290000000,0,,24.4080000000,1.0920000000,92142000,-12761875,.0197044610,106.0000000000,.7900000000,4.0459714000,1.7496690000,332453,200965,485172992,
ZBT,108609680,23195376,1.3145370000,8.7786255000,.2810000000,-2.5120000000,-.1347500100,-.1174100040,,,82622000,5.1550000000,-.0920000000,22026000,-9235000,-11133000,-.6950000000,7849000,.4900000000,12606000,601.1440000000,1.0980000000,.1310000000,-6158000,,.1004785300,1.5000000000,.9200000000,1.0291935000,1.0563636000,142267,136492,94443200,4515215
PYR,77517872,,,,,,.0000000000,.0000000000,,,,,,,,,,,,,,,,,,-.1634615000,1.1050000000,.7950000000,.9191667000,.9191667000,198731,110250,89101000,
APW,57886168,55758616,-19.7496300000,.5252442400,-19.0240000000,,.0000000000,1.3848500000,-.0226000000,-.0461500000,-2931000,-.0660000000,,-2931000,,-5168000,-.1160000000,1671000,.0380000000,0,,14.6870000000,2.4560000000,1270000,-2678000,-.1224490400,1.4900000000,.9800000000,1.3274194000,1.3331884000,12837,2029,44873000,32311505
APZ,137896080,172291088,4.4815106000,1.0000000000,5.5990000000,22.8320000000,.3858000000,.2289200000,.0264800000,.0977900000,30770000,.3150000000,,6989000,7546000,11872000,.1220000000,8161000,.0700000000,46425000,34.6380000000,1.5700000000,1.1850000000,11245000,2446000,.0259740350,1.2300000000,.8000000000,1.1864517000,1.1041304000,26144,7276,116368000,69050710
ARA,86346480,57309640,12.9532670000,.7482993000,8.5970000000,-10.2360000000,-1.0714100000,-.8762400000,-.0255000000,-.0502500000,6666000,.0340000000,-.5960000000,3294000,-5599000,-7142000,-.0360000000,40698000,.2070000000,5450000,4.4820000000,5.2120000000,.5880000000,7289000,6239500,-.2786885500,42.0000000000,.3800000000,.4722580600,.7575000000,17760,23423,196242000,50818922
ARC,4919556,894739,-8.1166725000,1.2297735000,-1.4760000000,,.0000000000,1.8863100000,-.1540699900,-.2558400000,-606105,-.0470000000,,-785346,,-1148706,-.0900000000,4224832,.3260000000,200000,4.9940000000,16.5800000000,.3090000000,-366010,-541035,.3818181800,.4000000000,.2000000000,.3961290400,.3433333300,6287,0,12946200,3126776
ARF,987998528,1215665408,16.0090500000,1.4950855000,19.6980000000,,1.2418500000,.8995200400,.0377500020,.1125200000,61715000,.2050000000,.0650000000,33690000,,76641000,.2530000000,76330000,.2330000000,227063008,30.1990000000,2.5660000000,1.9330000000,42063000,43041000,-.0524589420,3.4000000000,1.2000000000,2.9329033000,2.6728260000,447660,347467,341868000,322283738
ARG,6302380032,6122487296,29.0586260000,1.3346553000,28.2290000000,29.4590000000,.9196399500,.9577900000,.0228800010,.0399200020,216884992,.3020000000,-.4040000000,216885000,207834000,199456000,.2780000000,181228000,.2520000000,1338000,.0280000000,16.9350000000,6.5560000000,212651008,171911072,.0022909641,9.1100000000,5.4400000000,8.5140000000,7.8925350000,178616,139181,720182976,692231529
