StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
1AD,30647000,24318026,8.0065710000,5.4347825000,6.3530000000,-4.1940000000,-1.5691900000,-1.5256700000,-.4501200000,-1.0732300000,3827731,.0230000000,-.0230000000,-3354798,-5798022,-6006456,-.0370000000,3366503,.0170000000,2191327,59.1920000000,2.1000000000,.0230000000,-5889212,-3647484,.2500000000,.1850000000,.0400000000,.1344354900,.1177832100,514934,434017,245176000,100965315
1ST,13163127,12601068,2.6592160000,5.1666665000,2.5460000000,-2.6700000000,-1.0115200000,-.9854400000,-.4483600000,-1.7996899000,4950003,.0130000000,.1690000000,612352,-4718863,-5007040,-.0130000000,2053926,.0050000000,1491870,61.3060000000,1.3290000000,.0060000000,-4344772,-2684153,-.4918033000,.0800000000,.0180000000,.0337258060,.0347427540,2007488,535364,424616992,181914374
EYE,48134812,-44200620,3.7696620000,.4785714400,-3.4620000000,7.7130000000,2.7921500000,-.5615200000,-.0413700000,-.1219400000,12769000,.0890000000,-.3720000000,9747000,-5731000,-10327000,.2480000000,95649000,.6660000000,3342000,3.3220000000,7.1670000000,.7000000000,5400000,29509740,,.3350000000,.3350000000,,,,,143686000,119026675
NAN,2059168384,1967236096,20.5805700000,16.5617450000,19.6620000000,130.9130000000,.1013200000,.1233399960,.0557700020,.0865200000,100054000,.3330000000,.1810000000,75513000,15027000,10137000,.0330000000,91781000,.3050000000,2609000,2.1000000000,6.9100000000,.4130000000,22812000,16461125,-.0014598370,8.2500000000,4.0100000000,7.4742420000,6.4192142000,925080,733977,301048000,251714577
NC6,17872350,15081462,38.6975560000,21.4285720000,32.6550000000,-11.5090000000,-2.6751000000,-2.8965900000,-.7271300000,-1.2972500000,461847,.0060000000,-1.0000000000,-12710,-1310357,-1235489,-.0160000000,839161,.0080000000,58124,7.4020000000,4.1250000000,.0070000000,-945594,-541027,1.0547945000,.2300000000,.0220000000,.0941290300,.0688985500,1735476,2503712,119149000,37174294
AC8,53897992,34826708,44.5298460000,1.5596331000,28.7730000000,-5.0510000000,.0000000000,-5.7442603000,-.1109500000,-.1854700100,1210379,.0040000000,.8050000000,-1498952,-6895655,-7076213,-.0220000000,19165660,.0600000000,94317,.2720000000,30.5150000000,.1090000000,-10550511,-14257252,-.4035087800,.3350000000,.1250000000,.1885483900,.1582608700,2359258,1246122,317047008,289927126
ACR,37993320,23554782,30.3218840000,2.3684213000,18.7990000000,-2.0170000000,.0000000000,-9.6384700000,-.3571500000,-.5445500000,1253000,.0070000000,,-3759000,-11677000,-9471000,-.0560000000,9206000,.0550000000,2401000,18.6860000000,4.6310000000,.0760000000,-8533000,-6979125,-.0270270100,.3200000000,.1050000000,.1840322600,.1749818900,353946,190400,211074000,124702807
ACW,29015800,17674010,8.2515710000,2.0000000000,5.0260000000,-3.4810000000,-1.5159100000,-1.5344400000,-.2395300000,-.4015000200,3516397,.0030000000,-.4190000000,3516397,-5077883,-5330529,-.0050000000,5040486,.0050000000,389870,3.5800000000,10.9760000000,.0100000000,-2855613,-938209,-.4285714600,.0360000000,.0150000000,.0207096770,.0234818850,2484178,4277695,1450790016,802894026
ADO,187015008,164332192,147.7252700000,50.0000000000,129.8080000000,-55.7640000000,-2.4697099000,-2.4745900000,-.4513200000,-.8399800000,1265965,.0010000000,2.1240000000,1265965,-2946944,-3126563,-.0020000000,3214537,.0020000000,134868,4.2020000000,5.4220000000,.0020000000,-2501902,-1499197,2.4482760000,.1400000000,.0100000000,.1059032200,.0817681200,3181274,2493674,1870150016,1217988282
ADR,14951113,10041863,6.7408085000,3.6666665000,4.5270000000,-1.1770000000,.0000000000,-3.9580700000,-1.2244800000,-5.4091100000,2218000,.0070000000,-.5520000000,1404000,-8530000,-11397000,-.0360000000,4584000,.0070000000,0,,1.9430000000,.0060000000,-7317000,-3181875,-.3888889000,.0510000000,.0110000000,.0254516140,.0282898550,562726,849585,679596032,230297513
