StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
1AG,7964546,11673251,8.9447870000,1.1621622000,13.1100000000,-6.8660000000,-1.6919701000,-1.9444901000,-.0937300000,-.2265900100,890412,.0060000000,,-627724,-1700049,-1506547,-.0100000000,3283222,.0180000000,6991927,102.4230000000,2.3400000000,.0370000000,-1403354,-2488905,.1315790400,.0650000000,.0280000000,.0502580670,.0486666670,95941,3627,185222000,85466992
2BE,17433192,17615240,.8251741000,.8000000000,.8340000000,-3.7590000000,-.2209499900,-.2836300000,-.1298400000,-.2414700000,21126684,.0870000000,-.4030000000,-2105567,-4685786,-4667873,-.0190000000,776092,.0030000000,1012907,5.9460000000,.6860000000,.0700000000,-2714384,-13332364,-.4909091000,.3300000000,.0440000000,.0587096770,.0786973300,528193,150373,311307008,106939374
3DA,122558168,110134928,1051.2434000000,13.5106380000,944.6830000000,-19.7380000000,.0000000000,-49.8580320000,-.5459500000,-1.3324100000,116584,.0010000000,,1561,-5579789,-5777946,-.0400000000,4019209,.0230000000,3122070,38.1030000000,3.8440000000,.0470000000,-4224796,-5934735,1.1896553000,.8350000000,.0640000000,.5720967700,.4958152200,600437,767477,193004992,110241730
A3D,13301952,9872974,19.7237190000,3.0000000000,14.6390000000,-1.1640000000,.0000000000,-12.9750900000,-.8371700000,-1.7873399000,674414,.0060000000,-.0190000000,432574,-8482064,-8155859,-.0790000000,1323766,.0110000000,993405,29.3020000000,2.1470000000,.0290000000,-6289349,-4927429,-.3555556000,.2350000000,.0540000000,.0775645150,.0843659400,330219,751584,152896000,81188050
ACF,80466080,128488064,.9851188000,1.3518518000,1.5730000000,11.4080000000,.0368900000,.0735000000,.0335700030,.0569000020,81681600,.4200000000,.3350000000,49041210,11263472,3013335,.0150000000,7238511,.0330000000,55968768,96.0090000000,.9420000000,.2700000000,13326285,1641726,.0579710000,.4100000000,.1300000000,.3712096800,.3486050700,236702,135746,220455008,140725545
AD1,35662904,32009588,10.4861690000,19.6666660000,9.4120000000,-15.8270000000,-.6413400000,-.6264699700,-.4277500200,-1.2681600000,3400947,.0060000000,.2410000000,-746786,-2022412,-2181158,-.0040000000,459742,.0010000000,133877,8.6270000000,.9190000000,.0030000000,-2090536,-1231314,3.5384617000,.0760000000,.0080000000,.0477419350,.0499420280,1066832,1978119,604456000,251816453
AEI,84120656,71108408,5.7487100000,4.3125000000,4.8590000000,47.5230000000,.1355100000,.0985700040,.0587699970,.1594400000,14632962,.0670000000,1.1140000000,7998339,1496281,1982941,.0090000000,12963521,.0530000000,390056,2.0200000000,7.3200000000,.0800000000,-2050960,-3204708,-.0675675900,.8700000000,.2800000000,.3214516000,.4727536000,388738,299369,243828000,135713897
AIA,10243155968,10057524224,,2.1106303000,,,.3477400000,.0000000000,.0187100000,.0306100000,,,-.4910000000,423100000,,,.3720000000,,,,34.3950000000,1.8160000000,3.2360000000,,,-.1557478900,8.4300000000,4.1700000000,7.1162500000,6.7003600000,615244,603631,1472550016,1205724871
AIZ,3333803776,1661758848,,1.1152977000,,,-.0938800000,.0000000000,-.0061799996,-.2743200000,,,-.3630000000,1343000000,,,.2360000000,,,,280.8040000000,.4800000000,1.3270000000,,,-.4415094300,2.7400000000,.8000000000,1.6322580000,1.4345652000,1689184,1545397,1122809984,521466669
AJL,29907252,141121168,.2038028400,.3472222400,.9620000000,6.3520000000,-.0604200000,.1198100000,.0435600000,-.0913599950,146746000,.1440000000,.0300000000,30180213,22218000,-8867000,-.0090000000,4478000,.0040000000,114558000,131.7530000000,.6260000000,.0720000000,2004000,-4835750,-.6212121000,.0850000000,.0230000000,.0262903240,.0325507260,386198,577464,1196290048,213441461
AL3,54599620,40496540,189.2429500000,5.0000000000,140.3620000000,-12.5940000000,.0000000000,-11.2014600000,-.3180100000,-.6446399700,288516,.0040000000,68.6800000000,219262,-3215441,-3094021,-.0380000000,8230211,.0620000000,413103,4.2530000000,10.4130000000,.0730000000,-2185209,-1963834,1.4333334000,.7300000000,.1300000000,.3746093800,.4123561000,433191,662555,149588000,69240740
ALQ,4809787392,5696108032,2.7459393000,4.6178790000,3.2520000000,16.0730000000,.0356800000,.1522600000,.0666100000,.0553900000,1751600000,3.6310000000,-.0870000000,519300000,354400000,59200000,.1290000000,146700000,.3040000000,1021299968,97.0080000000,1.0690000000,2.1590000000,256900000,247850000,.0439790500,10.7500000000,4.3600000000,10.0631250000,9.4139570000,986604,705219,482425984,471367049
ALX,6070583808,7467020288,40.4729840000,1.5944585000,49.7830000000,-240.6000000000,-.0904599950,-.6980300000,-.0131600000,-.0153699990,149991008,.1900000000,-.3060000000,368658000,-31035000,-13569000,-.0170000000,188723008,.1990000000,1661726976,44.2000000000,2.3040000000,3.9700000000,63880000,-81356000,-.2117061000,8.5400000000,3.5100000000,6.2857575000,6.3893570000,2062763,1382083,959017984,946401193
AMB,2357187,,,,,,,,,,,,,43839000,,,,,,,,,,,,,.1000000000,.0190000000,.0350000000,.0275656560,47476,0,,
ANG,101477944,103955952,.4405361400,1.0294118000,.4510000000,5.9420000000,.0225100000,.0536399970,.0431699980,.0454100000,230351008,.3980000000,.2070000000,113603000,17494000,4540000,.0090000000,19243000,.0330000000,21873000,22.1960000000,1.4420000000,.1700000000,24093000,23693500,-.1860465400,.2150000000,.1050000000,.1712903200,.1583333300,501960,32697,579873984,407162408
