StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
4CE,25633426,14774455,-272.1286000000,,-156.8480000000,-3.5190000000,.0000000000,45.2434730000,-3.9530802000,,-94196,.0000000000,-1.0000000000,,-4198618,-4396503,-.0080000000,57188,.0000000000,397434,,.0500000000,-.0040000000,-436730,-1965172,1.1666667000,.0380000000,.0120000000,.0237096770,.0157173900,7404385,9900265,985900992,455826998
A1G,18907944,13323629,,2.7906976000,,-15.4910000000,.0000000000,.0000000000,-.0974499960,-.1716100000,,,,,-860097,-889456,-.0160000000,620371,.0110000000,0,,1.7420000000,.0860000000,-759547,-1780953,.5000000000,.2800000000,.0380000000,.2282258100,.1770105700,225687,181080,78783104,45353442
A1M,22675950,15716956,-328.6369600000,2.1710527000,-227.7820000000,-3.4960000000,.0000000000,66.0000000000,-.2013400000,-.8948200300,-69000,-.0010000000,-.7540000000,,-4496000,-12102000,-.2330000000,6959000,.1010000000,0,,7.0350000000,.1520000000,-2937000,4279984,.0312501200,.5600000000,.2100000000,.3687096800,.3953623200,41491,41834,68715000,35138799
ARR,33157402,27768224,592.3397000000,4.5454545000,496.0650000000,-23.2010000000,16.4940600000,-31.6766000000,-.2186300200,.1937100000,55977,.0000000000,.5930000000,55977,-1196850,923288,.0050000000,1433784,.0050000000,110048,1.7450000000,4.1720000000,.0220000000,-964900,-973030,,.1050000000,.1000000000,,,,,331574016,178269708
LSA,19727320,15745131,5791.9320000000,9.9999990000,4622.7630000000,,.0000000000,-66.2160900000,-.0788800000,-.2578700200,3406,.0000000000,-.5630000000,-50000,,-447102,-.0010000000,1782182,.0020000000,0,,24.7400000000,.0020000000,-155692,-77654,2.3333333000,.0290000000,.0040000000,.0193225820,.0148405800,5822016,12381824,986366016,523891393
NAE,14244360,7869773,129.8755500000,2.0000000000,71.7540000000,-10.2200000000,.0000000000,-45.4462900000,-.3744800000,-.5989400000,109677,.0000000000,,,-770031,-4874736,-.0060000000,2795592,.0030000000,0,,12.9930000000,.0060000000,-711932,4036839,3.0000000000,.0200000000,.0010000000,.0123870970,.0117898560,6506060,7459090,1187030016,637931027
NAG,21997008,24896354,71.8450300000,1.7600000000,81.3150000000,-30.0900000000,-2.8627300000,-3.7256298000,-.0450500030,-.0817000000,306173,.0010000000,.5000000000,295886,-827402,-876491,-.0020000000,2201111,.0040000000,5100441,40.1600000000,2.5300000000,.0250000000,-135383,-1543586,-.1020408300,.0660000000,.0300000000,.0438387100,.0511666700,69285,97555,499932000,292605403
NCM,20511911936,21002147840,5.2299623000,2.3736181000,5.3550000000,11.4450000000,.1649700000,.2922000000,.0571200000,.0781800000,3921999872,5.0540000000,.0600000000,1354000000,1835000064,647000000,.8310000000,1516000000,1.8630000000,2075000064,24.0910000000,2.9000000000,10.5830000000,1471000064,626374976,-.1470288600,38.1500000000,20.7000000000,26.6206050000,30.3195700000,3239102,3364485,816556992,799406854
NCZ,223837056,277106944,639.3810000000,3.4259260000,791.5440000000,-23.8030000000,.0000000000,-33.3152200000,-.0181100000,-.7300100000,350084,.0010000000,,350084,-11641537,-8107272,-.0120000000,40005052,.0410000000,136071216,258.8090000000,.4580000000,.0540000000,-8536143,-270671584,-.0263157490,.2750000000,.0500000000,.2316129000,.1890525700,2995083,3396740,1209929984,742560723
A40,123044288,,,,,,,,,,,,,-339000,,,,,,,,,,,,,.0820000000,.0750000000,.0820000000,.0820000000,0,0,,
A4N,283874144,270425472,914.2485000000,25.6249980000,870.9350000000,-28.3430000000,.0000000000,-30.7316200000,-.7565800000,-1.3065699000,310500,.0000000000,-.6620000000,-4800188,-9541022,-9345494,-.0150000000,7984529,.0120000000,0,,14.0600000000,.0160000000,-399312,-7673246,.6078431600,.4350000000,.0860000000,.3341935600,.2870652000,932076,2820904,692376000,382262384
AAJ,9218607,5477508,14.9931150000,3.6249998000,8.9090000000,-35.3680000000,-.4576400000,-.4583400000,-.1318900000,-.3074799800,614856,.0130000000,,614856,-154870,-281384,-.0060000000,1131093,.0150000000,0,,8.8090000000,.0240000000,-263650,-67860,.9333763000,.1649990000,.0149990000,.1027198500,.1055664400,186057,91205,105962000,52166929
AAR,76571040,57532940,,5.2000000000,,-26.1200000000,.0000000000,.0000000000,-.1785900000,-.3145200000,,,,,-2202656,-2710042,-.0070000000,3401903,.0070000000,104070,.9060000000,7.0380000000,.0250000000,-1273976,-3616444,.1304347500,.2300000000,.0770000000,.1368548400,.1608695700,522729,812585,589008000,266537049
ABC,1875057024,2362233344,1.2825288000,1.5572435000,1.6160000000,10.7820000000,.0645000000,.0926099940,.0367700000,.0809799950,1462000000,2.2720000000,-.0730000000,226000000,219100000,94300000,.1440000000,481700000,.7450000000,985600000,82.5180000000,4.2730000000,1.8430000000,264700000,96275000,-.1800000000,3.7100000000,1.7400000000,3.1893940000,2.8977144000,1184332,776813,653329984,367009200
ABR,456841472,439633376,2320.7476000000,6.5789475000,2233.3310000000,-101.2410000000,.0000000000,-22.2022100000,-.0532800000,-.1055500060,196851,.0010000000,.5420000000,196851,-4342454,-5191489,-.0230000000,38742908,.1210000000,0,,10.1880000000,.2280000000,-2147273,-2806380,2.4090910000,1.8750000000,.1450000000,1.5348438000,.9962230300,728800,782456,319417984,174297992
