StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
A2M,7927212544,7916517376,,20.5769230000,,,.2228800000,.0000000000,.2782800000,.4039400200,,,.3420000000,969009000,,,.1800000000,,,,1.4850000000,3.6950000000,.5200000000,,,-.2443503100,20.0500000000,9.8200000000,11.0190620000,14.8795680000,4083796,4801406,740860992,736835388
NAN,2059168384,1967236096,20.5805700000,16.5617450000,19.6620000000,130.9130000000,.1013200000,.1233399960,.0557700020,.0865200000,100054000,.3330000000,.1810000000,75513000,15027000,10137000,.0330000000,91781000,.3050000000,2609000,2.1000000000,6.9100000000,.4130000000,22812000,16461125,-.0014598370,8.2500000000,4.0100000000,7.4742420000,6.4192142000,925080,733977,301048000,251714577
NEC,4109989888,4909603840,1.8790277000,2.3466408000,2.2450000000,16.2150000000,-.2697500000,.0890100000,.0301999990,-.2184000000,2187296000,1.2840000000,,354912000,302772992,-523844000,-.3490000000,187394000,.1100000000,855982976,45.3890000000,1.1080000000,1.0270000000,377411008,282843712,.3314918300,2.5800000000,.8150000000,2.3559375000,1.9967985000,4276311,2369501,1705389952,1439000081
ABP,2196006656,2671477504,7.7242850000,.8103295000,9.3970000000,15.0850000000,.2980200000,.6155500000,.0354600000,.0407600030,284299008,.4420000000,-.1950000000,239639000,177092000,84727000,.1320000000,127313000,.1950000000,1009760000,45.7580000000,1.7740000000,3.3690000000,205396000,195747248,-.2661290200,4.0750000000,1.9550000000,2.8451514000,2.8645790000,1016114,801881,804398016,365784674
AFI,9149733888,9045462016,45.0601500000,1.3399857000,44.5470000000,,.8760400000,.9288800000,.0146200005,.0261999980,203056000,.1680000000,-.3890000000,264307000,,177886000,.1470000000,105379000,.0870000000,0,,23.9650000000,5.6120000000,174192992,87059504,.0606488000,7.6500000000,4.7700000000,7.3880000000,6.7478170000,317287,288080,1216720000,1198227826
AGL,7146200064,10185394176,.5876809400,.8850992300,.8380000000,5.5150000000,.0834700000,.1060000060,.0545600000,.1229300050,12160000000,18.9810000000,-.1540000000,3639000000,1847000064,1015000000,1.5820000000,141000000,.2260000000,3179000064,39.3680000000,1.3070000000,12.9590000000,2156000000,931625024,-.4218750000,21.1700000000,11.4000000000,12.1278120000,13.9398570000,2767348,3158888,623033984,616875558
AIZ,3333803776,1661758848,,1.1152977000,,,-.0938800000,.0000000000,-.0061799996,-.2743200000,,,-.3630000000,1343000000,,,.2360000000,,,,280.8040000000,.4800000000,1.3270000000,,,-.4415094300,2.7400000000,.8000000000,1.6322580000,1.4345652000,1689184,1545397,1122809984,521466669
ALD,6534832640,8659549184,.3258718800,2.5834155000,.4320000000,57.7730000000,-.0198900000,-.0110599995,-.0186900000,-.1407400000,20053379072,79.7820000000,-.2190000000,1918342000,149890000,-398836992,-1.5870000000,18100000,.0720000000,2129200000,83.7210000000,1.1640000000,10.1300000000,506359008,380330144,-.2250518200,35.0300000000,18.3200000000,28.7854540000,27.2943940000,811888,1533552,249707008,247929627
ALQ,4809787392,5696108032,2.7459393000,4.6178790000,3.2520000000,16.0730000000,.0356800000,.1522600000,.0666100000,.0553900000,1751600000,3.6310000000,-.0870000000,519300000,354400000,59200000,.1290000000,146700000,.3040000000,1021299968,97.0080000000,1.0690000000,2.1590000000,256900000,247850000,.0439790500,10.7500000000,4.3600000000,10.0631250000,9.4139570000,986604,705219,482425984,471367049
ALU,4025894912,3946737920,21.2870660000,21.8479040000,20.8690000000,57.8570000000,.1632800000,.3329900000,.1371500000,.1674300000,189124000,1.4450000000,.0280000000,94395000,68215000,30881000,.2360000000,93083000,.7110000000,13933000,7.5590000000,1.9610000000,1.4070000000,56531000,37023876,-.2160163000,42.7600000000,23.1100000000,31.8712500000,34.7991370000,490086,510681,130966000,115099271
ALX,6070583808,7467020288,40.4729840000,1.5944585000,49.7830000000,-240.6000000000,-.0904599950,-.6980300000,-.0131600000,-.0153699990,149991008,.1900000000,-.3060000000,368658000,-31035000,-13569000,-.0170000000,188723008,.1990000000,1661726976,44.2000000000,2.3040000000,3.9700000000,63880000,-81356000,-.2117061000,8.5400000000,3.5100000000,6.2857575000,6.3893570000,2062763,1382083,959017984,946401193
AMP,5103351296,22890192896,.2166016400,1.0227273000,.9720000000,14.1650000000,.0011900000,.0659100040,.0106500010,-.0904800000,23561000960,7.0050000000,-.0740000000,5797000000,1616000000,-456000000,.0080000000,8578999808,2.4980000000,26247000064,513.6400000000,.5620000000,1.4520000000,-9445000192,112310575104,-.1514285800,2.0900000000,1.0800000000,1.5924243000,1.5578929000,9117093,6261433,3436600064,3329652742
ANN,4729793536,4910306304,2.9310240000,3.3992240000,3.0430000000,19.4780000000,.0983500000,.1361500000,.0569100000,.1138000040,1613699968,12.3840000000,.1120000000,632700000,252100000,158700000,1.2000000000,408900000,3.1810000000,577500032,41.1500000000,2.3530000000,10.8260000000,290900000,183987504,.1439229200,43.1700000000,20.1900000000,35.3378800000,37.7868580000,439564,382363,128527000,126807647
APE,3422347264,5792470016,.4292946200,4.4593240000,.7270000000,18.5890000000,-.0207300000,.0320000000,.0501400000,-.1093600000,7972024832,32.3820000000,1.0120000000,1054830000,311611008,-86926000,-.6710000000,292516992,1.1250000000,2610114048,331.1410000000,.8810000000,2.9870000000,530481984,228066880,.5033860000,14.7200000000,2.5000000000,13.4990910000,11.0102140000,564988,358152,256932992,146993600
SSR,5050334720,5200409600,7.6524510000,1.4836756000,7.8800000000,21.5210000000,.0968700050,.2058100000,.0250800000,.0254000000,659963008,5.2000000000,.5250000000,277040000,241648000,63933000,.4980000000,747417024,3.4060000000,528990016,13.9040000000,5.3720000000,15.1920000000,171503008,-54744376,-.2672301500,33.5200000000,21.0200000000,24.4893550000,25.7178500000,24874,4391,219471008,218619853
TLT,2209616384,2596111360,17.9915680000,2.3765922000,21.1390000000,36.0760000000,4.0172500000,.2003199900,.0092600000,.6210800400,122814000,.3070000000,-.4590000000,141559000,71962000,493375008,1.2300000000,289931008,.7690000000,636344000,67.2240000000,5.1920000000,2.5120000000,43635000,-588782400,.8369230000,6.3100000000,2.6500000000,5.5938710000,4.0150000000,28394,19877,376833984,52896172
URFHC,3539218688,,,,,,,,,,,,,6487329,,,,,,,,,,,,,10.1010000000,10.1000000000,,,,,,
APX,2731986176,2654504448,4.5797430000,5.3242730000,4.4500000000,32.3800000000,.0759700000,.1046900000,.0617600000,.0935400000,596537024,4.9460000000,.2490000000,138335000,81980000,45319000,.3690000000,126037000,1.0360000000,63963000,12.5350000000,2.5780000000,4.1940000000,107111000,42696624,-.1314663300,43.6600000000,15.7000000000,23.8130300000,31.9994280000,837628,516574,122346000,110557326
AQG,2771345408,,,,,,,,,,,,,289793000,,,,,,,,,,,,,11.4000000000,4.2000000000,9.4000000000,9.5096740000,191639,0,,
ARB,2842014976,2809004032,6.0866365000,7.5380660000,6.0160000000,30.4250000000,.1227100000,.1708100000,.1125700000,.1594100000,466927008,5.8510000000,.0250000000,245313000,92326000,57295000,.7180000000,41569000,.5210000000,44530000,11.9620000000,3.0640000000,4.6630000000,91237000,71240376,.8979481500,35.8400000000,10.4000000000,32.0363660000,28.1423570000,218023,166913,80853904,70581360
ARG,6302380032,6122487296,29.0586260000,1.3346553000,28.2290000000,29.4590000000,.9196399500,.9577900000,.0228800010,.0399200020,216884992,.3020000000,-.4040000000,216885000,207834000,199456000,.2780000000,181228000,.2520000000,1338000,.0280000000,16.9350000000,6.5560000000,212651008,171911072,.0022909641,9.1100000000,5.4400000000,8.5140000000,7.8925350000,178616,139181,720182976,692231529
AST,6576128000,16206640128,3.2941582000,2.1097562000,8.1180000000,13.6700000000,.1726200000,.3883700000,.0355600000,.1118700060,1996300032,.5360000000,.0180000000,1685200000,1185600000,344600000,.0930000000,128100000,.0340000000,9868000256,322.1150000000,1.7240000000,.8200000000,795299968,-641637504,-.0225988630,2.1000000000,1.4650000000,1.7757576000,1.8651072000,6567966,6108613,3801230080,1823508540
ATM,4807459840,240307648,,,,,.0148100000,.0000000000,.0235999990,.0199700000,,,-.1300000000,4445033746000,,,,,,,46.5790000000,1.9420000000,,,,.0000000000,1.0100000000,.9000000000,1.0000000000,.9981884400,0,0,1303650,84083646
AVN,4615400960,2225388800,27.1653980000,1.1263509000,13.0980000000,18.4530000000,.3337300000,.7092400000,.0352699980,.0429500000,169900000,.3080000000,.0020000000,134900000,120600000,56700000,.1030000000,39200000,.0700000000,754800000,56.3070000000,1.2000000000,2.4060000000,99500000,6475000,-.0622837540,3.0600000000,1.3600000000,2.7240624000,2.4480577000,606182,413361,567699968,336632760
AWC,4918347776,4956915200,12295.8690000000,3.0540540000,12392.2880000000,,234.0000000000,-31.5000000000,-.0041900000,.0528700000,400000,.0000000000,-.9550000000,2500000,,93600000,.0320000000,32600000,.0110000000,110000000,6.8910000000,34.2000000000,.5550000000,235100000,-9567000,-.2004716400,2.2400000000,1.2950000000,1.8210938000,1.6355935000,12274189,12056968,2901680128,2332379479
AZJ,6862094336,10883978240,2.2391484000,1.6256591000,3.5520000000,7.4470000000,.2009700000,.3037299800,.0597500000,.1339400000,3064600064,1.5690000000,.0550000000,1509800000,1461600000,605100032,.3150000000,29300000,.0150000000,3829100032,87.8700000000,.4860000000,2.2760000000,1247399936,516137504,-.3122676600,5.6250000000,3.3800000000,3.9100000000,4.1993527000,7715861,6905408,1854620032,1851268154
BAP,2552385792,2838850048,1.7449263000,2.6038780000,1.9410000000,18.0040000000,.0541200000,.0950500000,.0573000000,.0923800000,1462747008,4.9820000000,.1510000000,680274000,157680992,79172000,.2690000000,126300000,.3720000000,410956000,41.8460000000,1.9850000000,2.8880000000,200252992,111461376,.1842520200,8.5300000000,2.8500000000,7.6766667000,7.1773570000,1227137,861895,339412992,329087572
BEN,4887987712,2744368640,3.4184122000,.8421823400,1.9190000000,,.1348300000,.2787600000,.0026000000,.0337400000,1429900032,2.8290000000,-.1500000000,1429900000,,192800000,.3530000000,7670499840,14.4510000000,5531700224,,,10.9240000000,-3235500032,,-.0971540800,10.6300000000,5.3200000000,9.5603120000,7.6151080000,1863212,1993057,531303008,524038299
