StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
5GN,163856160,126504952,3.3219697000,3.5036497000,2.5650000000,51.0920000000,-.0313200000,.0030200000,.0016400000,-.0593699960,49325000,.7310000000,-.1310000000,9230000,2476000,-1545000,-.0230000000,22118000,.2420000000,17233000,48.3330000000,1.6660000000,.4110000000,7512000,7804500,.6647399700,2.4400000000,.5400000000,1.3641936000,1.6196740000,760954,904866,113789000,69212395
FGL,9016000,6755288,1562.0236000000,,1170.3550000000,-4.4070000000,.0000000000,-275.5594200000,-3.0981202000,,5772,.0000000000,-.8890000000,-826473,-1532780,-1350676,-.0210000000,330675,.0030000000,195600,,.4090000000,-.0050000000,-1428835,-830717,,.0640000000,.0550000000,,,,,161000000,69910088
NCL,16800000,16800000,,4.9230770000,,,.0103600000,.0000000000,-.0123900000,.0204699990,,,-.0490000000,3485488,,,-.0060000000,,,,3.9590000000,4.2790000000,.0130000000,,,2.2000003000,.1300000000,.0200000000,.0691290350,.0534202900,100026,3776,262500000,21800625
NEA,1056475264,948080640,10.9237060000,17.1200000000,9.8030000000,-29.1470000000,-.3796500000,-.3902200000,-.1536800000,-.5085400000,96714000,.2140000000,.1950000000,40172000,-32527000,-36717000,-.0810000000,36140000,.0800000000,14396000,25.3680000000,.9120000000,.1250000000,12088000,-23959000,.2298851000,3.2200000000,.8300000000,2.1906060000,2.4002142000,2980038,2854185,493680000,393771454
NEC,4109989888,4909603840,1.8790277000,2.3466408000,2.2450000000,16.2150000000,-.2697500000,.0890100000,.0301999990,-.2184000000,2187296000,1.2840000000,,354912000,302772992,-523844000,-.3490000000,187394000,.1100000000,855982976,45.3890000000,1.1080000000,1.0270000000,377411008,282843712,.3314918300,2.5800000000,.8150000000,2.3559375000,1.9967985000,4276311,2369501,1705389952,1439000081
ALL,19833176064,21726580736,4.7916640000,6.2232013000,5.2490000000,26.5310000000,.3328500000,.1274900000,.0464099980,.5175800000,4139099904,6.4910000000,-.1770000000,1956400000,818899968,1377699968,2.1600000000,1682400000,2.6350000000,3582899968,112.6700000000,2.4020000000,4.9910000000,1022899968,758412480,-.1272829800,38.2300000000,14.8100000000,30.8662500000,30.0969800000,1913729,1686759,638544000,566822871
5GG,,102170264,,65.5555600000,20.0450000000,-26.0290000000,-1.0027900000,-.9723400000,,,5097034,.0290000000,,-689866,-3925279,-5111261,-.0300000000,,,,,.3630000000,.0090000000,-2246015,,.0000000000,.7500000000,.5500000000,.5900000000,.5900000000,7467485,7467485,,
TI1,133987680,6755400,,,,,.0000000000,.0000000000,,,,,,,,,-.0220000000,,,,,,.0000000000,,,,.0780000000,.0690000000,,,,,1860940032,
ASP,34633352,32007722,2.2779105000,14.9999990000,2.1050000000,-16.3810000000,-.0638000000,-.1322000000,-.0856600000,-.3295399800,15204000,.0070000000,-.1080000000,8880000,-1954000,-970000,.0000000000,3182000,.0010000000,1030000,31.6630000000,.4440000000,.0010000000,2481000,1570823,.3636363700,.0210000000,.0060000000,.0099032260,.0078623190,3577560,14509727,2308890112,544665366
BYI,30668500,31101484,.3556139200,1.4792899000,.3610000000,-3.0800000000,-.0741400000,-.1274300000,-.0962199940,-.2473800000,86241000,1.4060000000,.1550000000,5082000,-10097000,-6394000,-.1040000000,8183000,.1330000000,8316000,39.5100000000,1.0790000000,.3380000000,2446000,3153500,-.3750000000,.8000000000,.5000000000,.5048387000,.5363406000,908,0,61337000,10303384
CAR,4834093568,5259163136,12.2201140000,16.2551780000,13.2950000000,29.3270000000,.2898700000,.4188400000,.1041100000,.3983000200,395584992,1.6140000000,,333195000,179331008,119550000,.4670000000,179936992,.7330000000,619393984,208.4010000000,3.2320000000,1.2070000000,176242000,130222248,.1487120400,22.9900000000,9.6400000000,19.5834370000,20.2348920000,633853,496321,246386000,223292433
CNU,3498631936,3498148608,,3.3389900000,,,.0542200000,.0000000000,.0283100000,.0545600000,,,-.0040000000,657000000,,,.1140000000,,,,345.4150000000,.2200000000,2.3570000000,,,.2714054600,8.7800000000,5.4000000000,7.4521875000,7.6561150000,571214,469643,444492000,443807043
DHG,2915477248,3076162816,10.9618010000,3.2297735000,11.5660000000,57.0450000000,-.8560300000,.1660800000,.0200600010,-.2151000000,265967008,.4560000000,-.2030000000,161420000,53925000,-227676000,-.3900000000,65497000,.1120000000,220348992,24.2600000000,1.4390000000,1.5450000000,87817000,53980752,.3201058000,5.0850000000,1.6750000000,4.5178790000,4.0259285000,839360,925833,584264000,237853748
EGG,178510336,148995216,.6613993000,1.4456141000,.5520000000,5.7310000000,.0396700000,.0836100000,.0677299950,.1118000000,269897984,3.1440000000,.1190000000,136982000,25999000,10707000,.1230000000,47581000,.5530000000,16907000,13.5280000000,1.2670000000,1.4250000000,30995000,27296250,.0618555550,2.1550000000,.7950000000,2.0582259000,1.7357066000,60891,55992,86655504,50527664
EM1,40690300,30863106,,16.6666660000,,-23.3510000000,.0000000000,.0000000000,-.3127100000,-.5362300000,,,,-26987,-1321720,-1291721,-.0020000000,1991671,.0030000000,0,,7.9400000000,.0030000000,-1191486,-726123,3.7619047000,.1700000000,.0040000000,.0739354900,.0639492700,15765521,44639786,813806016,417157111
EN1,11853700,7813351,.6231442700,1.2499999000,.4110000000,-5.8530000000,-.2498800200,-.0951400000,-.0810600000,-1.7856700000,19022400,.0180000000,.3150000000,9284181,-1334911,-4753390,-.0050000000,1760522,.0020000000,4418824,98.9430000000,.8690000000,.0040000000,-6169666,-4540237,-.7500000000,.0220000000,.0050000000,.0057903226,.0064347830,15484703,27429512,2370739968,911742637
ESH,46034720,30260384,225.3886000000,8.0000000000,148.1570000000,-7.2140000000,.0000000000,-22.2817400000,-.5707199600,-1.1833100000,204246,.0000000000,2.6660000000,-755362,-4194686,-5327267,-.0030000000,2428678,.0010000000,0,,8.0600000000,.0020000000,-3148339,-1950127,.7777779000,.0310000000,.0030000000,.0158387100,.0150688400,27482467,25485892,2877169920,1629304535
EVT,1557153280,2669920768,2.0857990000,1.5966941000,3.5760000000,33.6890000000,-.0152199995,.0112300000,.0023400000,-.0341800000,746550016,4.6350000000,-.4730000000,569761000,79252000,-36000000,-.0710000000,67062000,.4160000000,1179833984,120.9850000000,.5510000000,6.0500000000,176367008,-46408000,-.2393701100,12.8300000000,5.4400000000,9.5163630000,9.1329290000,179392,72244,161196000,105753934
FDV,512587648,366378976,31.3491330000,6.5859030000,22.4070000000,-88.9300000000,.3391200000,-.4504100000,-.0817700000,.0740300000,16350936,.0650000000,.1370000000,3922554,-4119838,6128247,.0220000000,16649338,.0650000000,958702,1.6990000000,4.4670000000,.2270000000,-2735429,-2169957,.4037557800,2.0400000000,.5500000000,1.5295161000,1.3053986000,725513,1154569,342868000,164141572
FRX,18523940,13880424,4.6456690000,,3.4810000000,-9.6110000000,-.5409900000,-.3697800000,-.7087999600,,3987357,.0130000000,-.7060000000,2842878,-1444154,-2157128,-.0070000000,1187466,.0030000000,11149,,.3880000000,-.0070000000,-1163784,-1068065,-.0263157490,.0570000000,.0100000000,.0227419360,.0208079700,8313927,28301368,500647008,172586880
FSG,28288168,28614490,2.6639354000,3.7857141000,2.6950000000,109.1840000000,-.0205300000,-.0734600050,-.0502500000,-.0329400000,10618939,.0240000000,.1010000000,2616824,262076,-217959,.0000000000,432726,.0010000000,921282,12.1850000000,1.0370000000,.0140000000,2229636,-289397,1.6500001000,.0700000000,.0180000000,.0440967750,.0429420300,962194,6767748,533739008,108889815
GTN,93646368,100899384,.5818713300,.4273084400,.6270000000,23.3830000000,.0019800000,-.0358200000,-.0104400000,.0014000000,160940000,.7290000000,-.2800000000,41612000,4315000,319000,.0010000000,57040000,.2650000000,64293000,29.3430000000,2.5000000000,1.0180000000,28546000,17424124,-.4387096800,.8800000000,.2800000000,.4416935400,.4027355000,214481,58306,215279008,156206472
HT1,511972672,515021632,2.3828309000,1.2081418000,2.3970000000,23.3090000000,-.4040399800,.0808900000,.0148700000,-.1614300000,214859008,.7650000000,-.2890000000,61634000,22095000,-86811000,-.3100000000,90142000,.3220000000,53485000,11.5520000000,2.8330000000,1.5230000000,55540000,32522250,.0823528800,1.8850000000,.9300000000,1.7982258000,1.5048913000,180310,127248,278246016,235832319
HTA,1900150016,2039441792,511.0677800000,2.8571430000,548.5320000000,,198.0104800000,.6320600000,.0028900001,2.4458600000,3718000,.0000000000,-.6210000000,5697000,,736203008,.0540000000,23995000,.0020000000,164024992,24.5210000000,.6080000000,.0490000000,2834000,-73306248,.0769231300,.2000000000,.1000000000,.1390322600,.1428260800,146226,439041,13572500480,148832484
ICI,67575960,44457236,32.3452380000,20.0000000000,21.2790000000,-19.3330000000,-1.3658099000,-1.0658800000,-.3065600000,-.9376499700,2089209,.0060000000,-.2550000000,638944,-2299522,-2853465,-.0090000000,326119,.0010000000,774945,36.8650000000,1.8070000000,.0060000000,-580285,-1288929,5.0000000000,.2350000000,.0110000000,.1295161200,.0929347800,6384042,8063910,563132992,191404773
ICQ,150315808,145882592,9.9633270000,4.7260275000,9.6690000000,-14.5690000000,-.7486200000,-.7156200000,-.1478100000,-.3113600000,15086909,.0350000000,.0410000000,3075422,-10013482,-11294330,-.0270000000,2196714,.0050000000,875736,2.8250000000,.6760000000,.0730000000,-6884270,-103876,-.0142856840,.4800000000,.1250000000,.3677419400,.3417029000,398967,390388,435697984,210543772
