StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
14D,44996624,37127708,109.4664500000,2.7439022000,90.3230000000,-14.5080000000,.0000000000,-7.0581203000,-.1040800000,-.1836199900,411054,.0020000000,,,-2559192,-2851625,-.0170000000,4395479,.0250000000,2619581,18.5350000000,10.3790000000,.0820000000,-2607214,-2618890,.3235293600,.3650000000,.0600000000,.2574193500,.1784057900,387064,653356,199984992,116740217
AGL,7146200064,10185394176,.5876809400,.8850992300,.8380000000,5.5150000000,.0834700000,.1060000060,.0545600000,.1229300050,12160000000,18.9810000000,-.1540000000,3639000000,1847000064,1015000000,1.5820000000,141000000,.2260000000,3179000064,39.3680000000,1.3070000000,12.9590000000,2156000000,931625024,-.4218750000,21.1700000000,11.4000000000,12.1278120000,13.9398570000,2767348,3158888,623033984,616875558
APA,34653466624,21912842240,13.3765100000,3.5834550000,8.4590000000,13.3290000000,.1224100000,.3879400000,.0399600000,.0929500000,2590620928,2.1960000000,.0510000000,2119091000,1644018048,317105984,.2690000000,1191399040,1.0100000000,11553081344,358.3620000000,1.6590000000,2.7320000000,1095943040,555694720,-.1434820900,11.8200000000,8.0600000000,9.8456250000,10.5385610000,2593221,2734874,1179890048,1177345277
SPN,,3957823,,2.7981653000,132.5770000000,-12.1100000000,.0000000000,-19.2783300000,-.1411300000,-.2195100000,29853,.0000000000,-.5960000000,,-326819,-546202,-.0270000000,2245345,.1100000000,0,,38.4690000000,.1090000000,-299175,-208773,-.1159420000,.3500000000,.3000000000,.3216666600,.3216666600,165066,168903,,13126922
AST,6576128000,16206640128,3.2941582000,2.1097562000,8.1180000000,13.6700000000,.1726200000,.3883700000,.0355600000,.1118700060,1996300032,.5360000000,.0180000000,1685200000,1185600000,344600000,.0930000000,128100000,.0340000000,9868000256,322.1150000000,1.7240000000,.8200000000,795299968,-641637504,-.0225988630,2.1000000000,1.4650000000,1.7757576000,1.8651072000,6567966,6108613,3801230080,1823508540
AWN,56519176,68824368,.4848949300,1.1644950000,.5900000000,-9.0010000000,-.0748000000,-.0881300000,-.0492800000,-.2180400000,116559632,2.9480000000,,34464149,-7646152,-8781501,-.2200000000,12804833,.3240000000,19207448,35.2790000000,.7820000000,1.2280000000,-10332507,5196082,10.4400000000,1.4900000000,.0400000000,.8835484000,.6495290000,25979,86978,39523900,18368060
CCE,34596300,32963170,294.0162000000,1.5000000000,280.1370000000,-23.9280000000,-2.3415198000,-14.7647400000,-.0516900000,-.1330000000,117668,.0000000000,,65501,-1377599,-1812383,.0000000000,3414671,.0000000000,2953484,16.5340000000,1.1050000000,.0020000000,-1424607,-5715103,1.0000000000,.0035000000,.0010000000,.0018225807,.0015652174,27970311,176559595,11532099584,7881686292
CEN,5478139904,5393170432,,2.8796012000,,,.0603000040,.0000000000,.0293100000,.0462699980,,,-.1670000000,451000000,,,.1260000000,,,,45.7080000000,.6610000000,2.6080000000,,,.0728571400,10.5600000000,4.3200000000,8.4538710000,6.8942750000,6918,7194,718131968,707927230
D2O,165045232,269823136,3.2845476000,1.2277580000,5.3700000000,,.0111600000,.1924200000,.0270700000,.0040400000,50249000,.4130000000,-.7140000000,24747000,,561000,.0050000000,2043000,.0170000000,107128000,79.8070000000,.7240000000,1.1240000000,9266000,-38745876,-.0612245200,1.6200000000,1.0100000000,1.3960000000,1.3722183000,51212,39018,119598000,73629584
EWC,152628544,868202688,.9584511500,.2098765500,5.4520000000,11.3660000000,.0727900000,.2442500000,.0143500000,.0167600000,159244992,.0890000000,-.1070000000,95129000,76389000,11591000,.0060000000,1409000,.0010000000,702089984,94.7070000000,.3480000000,.4050000000,50909000,61239376,.1971830100,.1000000000,.0460000000,.0753871000,.0653768100,421497,1208675,1795629952,996826966
GNE,3796920576,3772495872,,2.7306828000,,,.0177500000,.0000000000,.0196600000,.0218300000,,,-.0620000000,355600000,,,.0140000000,,,,66.0640000000,1.4590000000,1.3330000000,,,.2551723700,3.6900000000,1.8900000000,3.4287097000,2.9721740000,28675,29881,1037390016,501731604
GNX,135549072,272643936,13.2194560000,9.4642850000,26.5900000000,491.6500000000,-1.0273600000,-.7001300000,-.0231000000,-1.0626000000,10253756,.0260000000,.1490000000,5737921,554549,-10534250,-.0260000000,65487916,.1310000000,206015072,1810.1290000000,2.2290000000,.0280000000,-4103604,-15323235,.2926829000,.2800000000,.0840000000,.2299999900,.2126268100,960707,1532399,511505984,381967076
IFN,902797504,1415583104,3.0547700000,1.5171290000,4.7900000000,8.7720000000,.0117000000,.3275400000,.0468400000,.0058700000,295536992,.3070000000,.0450000000,156424000,161382000,3457000,.0040000000,147184992,.1520000000,659971008,111.0020000000,2.0970000000,.6130000000,118435000,91252376,.2000000500,.9500000000,.3650000000,.9300000000,.9217073300,3031,0,970750016,202508063
IFT,4860143616,4916077056,,2.9969149000,,,.1862500000,.0000000000,-.0014200001,.1439800000,,,-.1750000000,1281900000,,,.0970000000,,,,96.6240000000,1.4860000000,2.2690000000,,,.3178295000,7.3800000000,3.1500000000,6.8811290000,5.3352900000,92704,32958,722953024,707907891
IGE,51203488,67862080,149.6394800000,,198.3230000000,-22.7040000000,.0000000000,-8.8159690000,-.0574300000,,342179,.0010000000,,,-2988932,-22487378,-.0540000000,2664417,.0060000000,12756105,,.0680000000,-.0610000000,-1663333,9385457,.2380952800,.3150000000,.0920000000,.1300000000,.1300000000,0,0,393872992,140933987
KPO,45745196,35578148,,4.0000000000,,-7.1230000000,.0000000000,.0000000000,-3.6858500000,,,,,-275150,-4994652,-4523365,-.0060000000,443173,.0000000000,1881133,,.4280000000,.0100000000,-3866290,-2388170,.2499998800,.0640000000,.0180000000,.0408064500,.0320434800,1634219,2281705,1143629952,917495820
LPE,15406752,18516426,.3589127700,,.4310000000,-3.5590000000,-.1684600100,-.1319400000,-.1982900000,-8.8635200000,42926176,.8550000000,.5850000000,7143326,-5202934,-7231267,-.1440000000,10501616,.1690000000,13776412,,1.4850000000,-.0560000000,-551233,1811117,-.5701754000,.5700000000,.1700000000,.2611290200,.2574456600,97132,95930,62884700,23493262
MCY,9062887424,9168285696,,4.0738500000,,,.1170800000,.0000000000,.0261800010,.0569000020,,,-.0890000000,494000000,,,.1170000000,,,,37.9250000000,.5410000000,1.6520000000,,,.3541247800,7.1700000000,3.6600000000,6.4106450000,5.2923190000,12021,14553,1362300032,628919849
MEZ,17107713024,17163976704,,5.1978273000,,,.0516900000,.0000000000,.0278100000,.0334000000,,,-.0970000000,854000000,,,.0540000000,,,,35.2550000000,1.0260000000,1.2890000000,,,.3241106300,9.3300000000,3.5200000000,7.1319356000,5.4605074000,57870,69331,2562589952,1252124902
PO3,41138164,38777388,727.5811000000,29.6590900000,685.8280000000,-8.1370000000,.0000000000,-84.3580200000,-.6753800000,-1.3143500000,56541,.0020000000,,,-4765329,-4528035,-.1440000000,2355557,.0750000000,0,,2.2690000000,.0440000000,-3977132,-2823977,-.5959753000,4.0900000000,1.2000000000,1.4619355000,1.8010870000,9356,5087,31523500,3916613
POW,6073020,3907722,764.7676400000,7.4999995000,492.0950000000,-6.5480000000,.0000000000,-76.8832600000,-.2639600000,-1.0026200000,7941,.0000000000,-.6350000000,,-596762,-1319217,-.0040000000,763956,.0020000000,0,,5.1540000000,.0020000000,-526627,-305619,2.7499998000,.0210000000,.0020000000,.0137741940,.0118043480,5984045,14479948,357968992,264509881
NEW,325072064,312651296,-6.3076890000,.6931818000,-6.0670000000,,.0000000000,1.0903000000,-.0679800000,-.1111500000,-51535840,-.1470000000,,-985360,,-55979460,-.1590000000,10656605,.0300000000,0,,2.7940000000,1.3200000000,4557741,-58925568,-.2310924500,1.2400000000,.7550000000,.8853226000,.8843478000,350291,244276,355270016,334950505
RNE,7116070,5661056,47.0645800000,3.3500001000,37.4410000000,-1.7580000000,.0000000000,-21.3574100000,-.2663900000,-.8659300000,151198,.0010000000,-.8310000000,151198,-3220222,-4082237,-.0370000000,2448803,.0200000000,27358,1.1480000000,1.8760000000,.0200000000,-3167139,-2069358,1.6800001000,.0700000000,.0160000000,.0461290330,.0317826100,645072,862733,106210000,73010316
SKI,7647398400,4923709440,28.4242360000,2.3991277000,18.3010000000,19.5390000000,.2826400000,.9359900000,.0512800000,.0472400000,269044992,.1580000000,-.0230000000,280653000,251996992,76043000,.0450000000,135135008,.0780000000,1271069056,80.5020000000,1.5950000000,.9170000000,173280000,-99714248,.0045661926,2.3600000000,1.6850000000,2.1503127000,2.1465828000,3838760,3900090,1738040064,1715913817
TML,7335544,7157894,,,,,.0908500000,.0000000000,,,,,,2410000,,,,,,,501.1590000000,2.4690000000,,,,.2307692800,.0800000000,.0450000000,.0800000000,.0627753600,51313,1250,91694304,6545895
TPC,15812084,15668747,.1831243600,1.7639594000,.1810000000,4.5160000000,.0389300000,.0372400000,.0906200000,.4487500000,86346152,7.6850000000,-.0500000000,18694344,3469868,3361593,.2990000000,1855450,.1650000000,1906695,21.5240000000,1.4910000000,.7880000000,2545115,2171329,.6646707000,1.6900000000,.8050000000,1.3550000000,1.2757971000,2336,1640,11375600,1056035
VPR,27508590,27300858,34.8889240000,,34.6250000000,-23.2070000000,.0000000000,-1.6854100000,-.2337500000,-.9707900000,788462,.0000000000,-.5370000000,867579,-1176429,-2602963,.0000000000,795208,.0000000000,157693,8.1070000000,2.0150000000,.0000000000,-416808,-322084,2.0000000000,.0035000000,.0010000000,.0026774195,.0022355074,5791918,2729300,9169529856,4159667203
VIV,13614551,,,,,,,,,,,,,-2278568,,,,,,,,,,,,,.0250000000,.0250000000,.0250000000,.0250000000,0,0,,
ZEN,156855296,,,,,,,,,,,,,31322000,,,,,,,,,,,,,1.0650000000,.6100000000,1.0500000000,.9991666700,0,0,,
ENB,3026165,2736317,,,,,.0000000000,.0000000000,-1.3540600000,,,,,,,-446729,-.0010000000,155937,.0000000000,0,,.3720000000,.0000000000,-75314,92080,.0000000000,.0043300000,.0043300000,.0043300000,.0043300000,0,0,578451008,356348821
