StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
3PL,188303408,166021632.0,3.4172986,7.1808515,3.013,37.827,0.02813,0.05392,0.028280001,0.06091,55103000.0,0.395,0.046,21491000.0,4389000.0,1550000.0,0.011,27126000.0,0.194,4844000.0,18.441,1.088,0.188,13150000.0,2279673.0,0.6875,1.44,0.6,1.3151613,1.2708334,252424,149044,139484000.0,101480313.0
NAM,39349520,93284080.0,2.0091662,0.33613446,4.763,-20.565,-0.57687,-0.39096,-0.023120001,-0.09235,19585000.0,0.139,-0.638,30694000.0,-4536000.0,-11298000.0,-0.08,446000.0,0.003,54436000.0,46.576,0.483,0.833,705000.0,-2299250.0,-0.09677422,0.37,0.255,0.29516128,0.30655798,12203,38287,140534000.0,109803096.0
AAP,7313208,12754788.0,6.5053883,1.3333334,11.346,-14.103,-1.48388,-1.18962,-0.06036,-0.32123002,1124177.0,0.006,-0.688,-572073.0,-904425.0,-1668144.0,-0.009,168936.0,0.001,5610522.0,102.961,0.562,0.018,-117650.0,306770.0,1.2857144,0.047,0.008,0.025451614,0.019992754,53413,40000,304716992.0,124656583.0
AAC,666057536,1045046528.0,2.255536,0.71940106,3.539,-6.886,0.14821,-0.5611,-0.07603,0.05016,295299008.0,0.492,-0.213,-95062000.0,-151758000.0,43766000.0,0.073,14165000.0,0.024,398974016.0,43.478,6.358,1.536,31422000.0,-116725752.0,0.0,1.33,0.945,1.1006061,1.0861429,409154,326910,602766976.0,263306300.0
AHF,25205330,51358652.0,1.1218655,2.1071427,2.286,-15.094,-0.33154,-0.21999,-0.06322,-0.22580999,22467336.0,0.062,0.024,5051433.0,-3402625.0,-7448762.0,-0.021,6401710.0,0.017,12913308.0,38.689,0.655,0.028,-2246211.0,-2603679.0,-0.37894738,0.098,0.057,0.06458065,0.07095652,1073225,2022186,427208992.0,238002593.0
AHY,706058560,850688256.0,1.6050835,3.8011694,1.934,10.983,0.07649,0.14117,0.08016,0.21776,439888992.0,0.81,0.097,156731000.0,77453000.0,38651000.0,0.062,63584000.0,0.117,208212992.0,112.055,1.905,0.342,79056000.0,49706500.0,0.17117107,1.395,0.845,1.3384376,1.0926259,401446,334057,543121984.0,344334228.0
AKG,47855248,74220424.0,0.80167603,1.4478765,1.243,14.113,0.061350003,0.07329,0.02848,0.11627,59694000.0,0.468,-0.185,32286000.0,5259000.0,3662000.0,0.029,16904000.0,0.132,42678000.0,127.01,0.756,0.259,12671000.0,8947750.0,-0.27884614,0.55,0.2,0.37774193,0.30286232,31036,25941,127614000.0,13006466.0
AS1,24882400,27702890.0,4.985403,1.6494844,5.551,-108.829,0.050430004,-0.20752001,-0.03182,0.020060001,4991051.0,0.038,0.402,3703930.0,-254555.0,251700.0,0.002,1344751.0,0.01,7929918.0,61.974,1.865,0.097,528165.0,-1553393.0,0.032258034,0.275,0.09,0.16548388,0.16253623,158315,233070,155515008.0,89474469.0
AVG,162810640,288625696.0,0.6094627,0.5365402,1.08,10.582,0.040999997,0.07176,0.02548,0.03637,267138000.0,0.952,0.032,76193000.0,27274000.0,10953000.0,0.038,7656000.0,0.027,133471000.0,43.99,3.351,1.081,22256000.0,4657750.0,0.17171717,0.6425,0.3,0.58693546,0.50826085,494901,193876,280708000.0,185713653.0
BFC,44284800,80521984.0,0.42983267,0.51094896,0.782,-5.014,-0.112390004,-0.18256001,-0.082229994,-0.15207,103028000.0,0.227,0.252,9156000.0,-16061000.0,-11579000.0,-0.025,10556000.0,0.018,49650000.0,62.074,1.849,0.137,-13706000.0,-52352376.0,-0.15662646,0.125,0.047,0.07278339,0.08321221,931394,491555,632640000.0,445275976.0
