StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
AJQ,56133440,92718008.0,2.6598575,0.8148148,4.393,92.559,-0.45351002,-0.11943,-0.013789999,-0.22018999,21103928.0,0.037,-0.312,1619614.0,1001722.0,-9570776.0,-0.017,3245703.0,0.003,55059648.0,130.555,0.44,0.054,-3047801.0,-22700694.0,-0.21428573,0.064,0.018,0.05462903,0.036916666,2115814,4909705,1275760000.0,546692104.0
ATS,55213988,74434072.0,1.4978565,0.90322584,2.019,7.31,0.0,-3.25392,-0.47831002,-1.0253,36862000.0,0.037,-0.515,24023000.0,10182000.0,-123238000.0,-0.125,4350000.0,0.004,23686000.0,39.141,1.257,0.062,7087000.0,3511250.0,-0.28205127,0.083,0.007,0.05948387,0.038775362,6255182,3824814,985964032.0,847979042.0
BAS,3342140,3198062.0,0.6942143,1.0,0.664,3.747,0.03401,0.08325,0.06335,0.10298,4814277.0,0.001,-0.145,2723793.0,853556.0,163742.0,0.0,265059.0,0.0,120981.0,5.634,0.963,0.001,260436.0,-865661.0,-0.5,0.002,0.001,0.0014193549,0.0015615942,1161726,1808522,3342139904.0,1719196865.0
BPT,3752787712,3760837888.0,2.171501,1.3298303,2.176,3.388,0.28978002,0.39064,0.10381,0.19283001,1728199936.0,0.758,-0.236,671500000.0,1110200064.0,500800000.0,0.219,109900000.0,0.048,118800000.0,4.213,1.113,1.237,873900032.0,-189262496.0,-0.3472222,2.6,0.92,1.865,1.5668346,11409209,8487387,2281329920.0,1597709738.0
BRK,10800001,13104702.0,7.858627,1.0,9.536,-578.344,-0.04151,-0.23451,-0.0147,-0.00694,1374286.0,0.001,-0.796,1727886.0,-22659.0,-57047.0,0.0,624538.0,0.001,5715465.0,69.038,0.192,0.008,-190674.0,-3999864.0,0.1428572,0.013,0.002,0.008193549,0.006134058,7051595,8086596,1350000000.0,631024678.0
BRU,63514876,41977952.0,5.0877023,1.4134616,3.363,-2.504,0.0,-3.21756,-0.30115998,-0.67664003,12484000.0,0.029,-0.171,6643000.0,-16767000.0,-45796000.0,-0.106,25367000.0,0.059,3614000.0,8.07,4.699,0.104,-14876000.0,-21208376.0,-0.106060684,0.175,0.062,0.12991935,0.09831522,1422235,1083830,432073984.0,294743764.0
BYE,166448000,168409680.0,7.777124,2.2222223,7.869,13.175,0.00319,0.08534,0.014400001,0.00123,21402256.0,0.028,-0.404,12486363.0,12782803.0,68348.0,0.0,16644701.0,0.016,21286488.0,28.746,2.01,0.072,13680071.0,-40176704.0,-0.41818184,0.36,0.105,0.16774194,0.19018117,940575,1399276,1040300032.0,717549023.0
CE1,15172291,12775177.0,-50.056385,0.25,-42.148,-2.925,0.0,14.708,-0.04269,-0.06823,-303104.0,0.0,-0.952,48780.0,-4368043.0,-3915891.0,-0.002,3343622.0,0.002,946479.0,1.539,5.743,0.028,-2302486.0,-19613210.0,0.4000001,0.01,0.002,0.0072580646,0.006978261,2582407,3533779,2170970112.0,1382848557.0
COE,530084736,639564288.0,6.783869,1.5046295,8.185,62.045,-1.10097,-1.63713,-0.0787,-0.21924,78139000.0,0.048,-0.008,20022000.0,10308000.0,-86029000.0,-0.053,131583000.0,0.081,242487008.0,69.068,2.327,0.216,48062000.0,-39183624.0,-0.40909094,0.57,0.295,0.3728125,0.36291367,5509775,3295978,1631030016.0,1547526890.0
CUE,56547720,36707696.0,2.3644304,1.3064517,1.535,3.3,0.054899998,0.17514999,0.03794,0.0309,23916000.0,0.034,-0.189,10972000.0,11124000.0,1313000.0,0.002,19936000.0,0.029,96000.0,0.22,8.156,0.062,7400000.0,6925125.0,-0.42142856,0.24,0.06,0.115,0.15248188,1944175,1284870,698120000.0,310747050.0
CVN,430479488,316588480.0,278.6275,1.8211921,204.912,-45.765,-2.67767,-4.48997,-0.02149,-0.020769998,1545000.0,0.001,0.103,-1393000.0,-6917667.0,-4137000.0,-0.003,114446000.0,0.073,830000.0,0.351,64.381,0.151,-4667000.0,-42765168.0,-0.16666669,0.34,0.11,0.3001613,0.23952898,2309280,2254683,1565379968.0,1338546032.0
DYL,147431152,129423824.0,1909.7546,2.9336734,1676.496,46.967,37.23964,34.25051,0.03398,0.06026,77199.0,0.0,-0.555,77199.0,2755656.0,2874863.0,0.012,12116972.0,0.049,635885.0,1.327,19.407,0.196,-2293948.0,-6703650.0,1.2115386,0.79,0.105,0.5830645,0.36949274,804226,1019954,256402000.0,185712670.0
EEG,110140288,89972208.0,21.811365,9.189189,17.817,-49.578,-2.48897,-1.887,-0.12026,-0.95792,5049674.0,0.02,-0.13,1207822.0,-1814765.0,-11312262.0,-0.05,6874613.0,0.026,7328677.0,75.725,0.974,0.037,-1786450.0,17105790.0,-0.1392405,0.47,0.13,0.353871,0.34550723,218906,222701,323942016.0,185560574.0
EER,115235632,116493816.0,183788.89,35.999996,185795.56,-324.463,0.0,-11142.075,-0.44472,-0.8864,627.0,0.0,-0.77,627.0,-359036.0,-7141983.0,-0.002,807693.0,0.0,2065973.0,46.051,30.9,0.001,-549315.0,2179759.0,4.9999995,0.039,0.002,0.036,0.025384057,0,0,3200989952.0,29225012.0
EME,37742944,20955908.0,-432.4451,0.7258065,-240.105,-20.645,0.0,11.95765,-0.0124,-0.01153,-87278.0,0.0,-0.394,9409.0,-1015070.0,-602440.0,-0.003,16944012.0,0.081,156924.0,0.302,61.824,0.248,-347756.0,-675542.0,0.63636374,0.21,0.06,0.16193548,0.12605073,47399,69099,209683008.0,35080018.0
ERA,830560448,581797248.0,3.7426627,3.4615386,2.622,-14.528,-0.01263,-0.02568,-0.00416,-0.60599,221916992.0,0.138,-0.074,169987000.0,-40046500.0,-2803000.0,-0.002,251747008.0,0.068,2983000.0,1.239,1.799,0.065,-109987000.0,70045752.0,0.36363626,0.34,0.14,0.26064515,0.18172102,460945,634154,3691379968.0,345513467.0
FPL,14025540,16096086.0,23.497303,1.0,26.966,-8.506,0.0,-13.8512,-0.31171,-0.88354,596900.0,0.0,-0.637,123708.0,-1892221.0,-9158006.0,-0.005,1291081.0,0.0,3357373.0,50.281,0.17,0.003,-976674.0,786022.0,-0.41666663,0.006,0.002,0.003532258,0.0033152176,5682547,5780265,4675180032.0,2195983414.0
FZR,15545413,18421412.0,32.11862,3.8297875,38.061,-46.874,0.0,-1.2747899,-0.039300002,-0.73449,484000.0,0.006,0.868,484000.0,-393000.0,-5830000.0,-0.067,624000.0,0.007,3500000.0,86.763,3.976,0.047,-529000.0,-297625.0,-0.052631557,0.24,0.105,0.17370968,0.15539855,12188,800,86363400.0,45691421.0
GEV,46437356,43333924.0,30.961002,5.0,28.892,-15.051,-1.92123,-1.92123,-0.19797,-0.32404,1499866.0,0.004,0.349,560589.0,-2879215.0,-2881583.0,-0.008,3137571.0,0.008,64708.0,0.702,12.303,0.024,-2482226.0,-1443131.0,-0.20000005,0.165,0.043,0.08770968,0.07238406,992406,3161430,386977984.0,255917960.0
