StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
1AD,30647000.0,24318026.0,8.006571,5.4347825,6.353,-4.194,-1.56919,-1.52567,-0.45012,-1.07323,3827731.0,0.023,-0.023,-3354798.0,-5798022.0,-6006456.0,-0.037,3366503.0,0.017,2191327.0,59.192,2.1,0.023,-5889212.0,-3647484.0,0.25,0.185,0.04,0.13443549,0.11778321,514934.0,434017.0,245176000.0,100965315.0
1ST,13163127.0,12601068.0,2.659216,5.1666665,2.546,-2.67,-1.01152,-0.98544,-0.44836,-1.7996899,4950003.0,0.013,0.169,612352.0,-4718863.0,-5007040.0,-0.013,2053926.0,0.005,1491870.0,61.306,1.329,0.006,-4344772.0,-2684153.0,-0.4918033,0.08,0.018,0.033725806,0.034742754,2007488.0,535364.0,424616992.0,181914374.0
NAN,2059168384.0,1967236096.0,20.58057,16.561745,19.662,130.913,0.10132,0.123339996,0.055770002,0.08652,100054000.0,0.333,0.181,75513000.0,15027000.0,10137000.0,0.033,91781000.0,0.305,2609000.0,2.1,6.91,0.413,22812000.0,16461125.0,-0.001459837,8.25,4.01,7.474242,6.4192142,925080.0,733977.0,301048000.0,251714577.0
NC6,17872350.0,15081462.0,38.697556,21.428572,32.655,-11.509,-2.6751,-2.89659,-0.72713,-1.29725,461847.0,0.006,-1.0,-12710.0,-1310357.0,-1235489.0,-0.016,839161.0,0.008,58124.0,7.402,4.125,0.007,-945594.0,-541027.0,1.0547945,0.23,0.022,0.09412903,0.06889855,1735476.0,2503712.0,119149000.0,37174294.0
AC8,53897992.0,34826708.0,44.529846,1.5596331,28.773,-5.051,0.0,-5.7442603,-0.11095,-0.18547001,1210379.0,0.004,0.805,-1498952.0,-6895655.0,-7076213.0,-0.022,19165660.0,0.06,94317.0,0.272,30.515,0.109,-10550511.0,-14257252.0,-0.40350878,0.335,0.125,0.18854839,0.15826087,2359258.0,1246122.0,317047008.0,289927126.0
ACW,29015800.0,17674010.0,8.251571,2.0,5.026,-3.481,-1.51591,-1.53444,-0.23953,-0.40150002,3516397.0,0.003,-0.419,3516397.0,-5077883.0,-5330529.0,-0.005,5040486.0,0.005,389870.0,3.58,10.976,0.01,-2855613.0,-938209.0,-0.42857146,0.036,0.015,0.020709677,0.023481885,2484178.0,4277695.0,1450790016.0,802894026.0
ADO,187015008.0,164332192.0,147.72527,50.0,129.808,-55.764,-2.4697099,-2.47459,-0.45132,-0.83998,1265965.0,0.001,2.124,1265965.0,-2946944.0,-3126563.0,-0.002,3214537.0,0.002,134868.0,4.202,5.422,0.002,-2501902.0,-1499197.0,2.448276,0.14,0.01,0.10590322,0.08176812,3181274.0,2493674.0,1870150016.0,1217988282.0
AGH,111663200.0,95234400.0,22.059107,2.1359224,18.814,-8.118,-2.9174201,-2.35401,-0.20528999,-0.45391998,5062000.0,0.022,4.415,2903000.0,-11731000.0,-14768000.0,-0.064,10143000.0,0.043,2721000.0,5.667,4.382,0.206,-14238000.0,-21045034.0,0.011494279,0.67,0.15,0.45080644,0.44891304,875661.0,935871.0,253780000.0,155041494.0
ALC,212999216.0,197367120.0,11.446475,7.166667,10.606,-48.651,-0.16533001,-0.22027001,-0.07969,-0.14316,18608280.0,0.02,0.087,4841148.0,-4056826.0,-3076596.0,-0.003,15947957.0,0.016,315849.0,1.062,2.15,0.03,-2017176.0,-5303787.0,0.07500005,0.235,0.097,0.19209677,0.1588768,1794668.0,2234899.0,990694016.0,411375798.0
AMT,32382290.0,30274252.0,5.221975,6.7391305,4.882,-34.854,-0.18792999,-0.18665001,-0.106079996,-0.22825001,6201158.0,0.062,0.171,4087998.0,-868593.0,-1165382.0,-0.012,755592.0,0.008,166538.0,3.665,2.472,0.046,-178498.0,386113.0,0.5897436,0.84,0.087,0.33096775,0.22590579,113227.0,11127.0,104459000.0,29911522.0
