StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
360,616936064.0,517925728.0,8.551335,8.286938,7.179,-26.851,-0.26407,-0.27313998,-0.13564,-0.25501,72145000.0,0.491,0.537,56691000.0,-19289000.0,-19051000.0,-0.13,58157000.0,0.393,3769000.0,5.454,4.837,0.467,-19289000.0,-7871250.0,0.22082007,4.49,1.51,3.8077419,3.8347826,388370.0,425848.0,159415008.0,52228434.0
3DP,335366496.0,333457120.0,273.06305,249.99998,271.508,-136.792,-2.0562801,-2.03049,-0.59924,-2.5838501,1228165.0,0.002,1.11,1082072.0,-2437693.0,-2525453.0,-0.005,2336873.0,0.003,427423.0,35.068,1.525,0.002,-802406.0,37683.0,10.111111,0.675,0.015,0.50564516,0.40771738,2540047.0,2181059.0,670732992.0,400991084.0
4DS,322611104.0,318939360.0,9627.021,245.0,9517.453,-59.432,0.0,-163.57773,-1.20387,-2.7209601,33511.0,0.0,-0.583,33511.0,-5366459.0,-5469276.0,-0.005,2509785.0,0.002,574239.0,35.519,2.047,0.001,-3766897.0,-1756975.0,2.951613,0.28,0.025,0.15935484,0.09436957,7961498.0,12162349.0,1316780032.0,1070988751.0
A2B,138495648.0,134001288.0,0.8104184,1.0628465,0.784,55.556,-0.13938,-0.05677,-0.0299,-0.16042,170894000.0,1.419,-0.32,121756000.0,2412000.0,-23820000.0,-0.198,25759000.0,0.214,20219000.0,15.396,1.592,1.082,37975000.0,25555044.0,-0.20138896,1.5,0.56,1.1877419,1.0772464,97578.0,51756.0,120431000.0,90060473.0
AD8,563514112.0,474979296.0,18.587397,11.95793,15.667,-223.836,-0.13649,-0.07554,-0.029560002,-0.099580005,30317000.0,0.452,0.001,23208000.0,-2122000.0,-4138000.0,-0.062,29689000.0,0.437,2588000.0,6.167,5.539,0.618,4835000.0,-2849375.0,-0.048906088,8.5,2.51,7.7935486,6.5447826,121625.0,135138.0,76253600.0,56376347.0
ADA,65974992.0,68123112.0,1.6612527,4.278607,1.715,22.814,0.0915,0.056550004,0.04381,0.25964,39714000.0,0.515,0.136,6693000.0,2986000.0,3634000.0,0.047,5177000.0,0.068,7564000.0,49.203,1.405,0.201,6109000.0,3743250.0,0.43333328,1.035,0.3,0.9187097,0.7340217,71255.0,62669.0,76715104.0,37542201.0
ADS,57150300.0,49318184.0,5.838892,2.9,5.039,-9.828,-1.69779,-0.51803,-0.09846,-0.67996,9787867.0,0.006,-0.027,640208.0,-5018201.0,-16617725.0,-0.01,6160440.0,0.003,2006219.0,10.405,2.109,0.01,-3382408.0,-6022686.0,0.0,0.041,0.007,0.028709678,0.027557971,1824014.0,1998267.0,1970700032.0,1194241604.0
AKP,691351680.0,679577792.0,10776.271,192.72,10592.748,-92.396,0.0,-116.32456,-0.48687,-0.97514,64155.0,0.002,-0.367,121763.0,-7355033.0,-6931073.0,-0.245,2655721.0,0.094,445064.0,12.55,1.005,0.125,-5467257.0,-2467348.0,0.7072998,31.85,8.69,24.475483,24.905798,8509.0,9769.0,28698700.0,8212876.0
ALU,4025894912.0,3946737920.0,21.287066,21.847904,20.869,57.857,0.16328,0.33299,0.13715,0.16743,189124000.0,1.445,0.028,94395000.0,68215000.0,30881000.0,0.236,93083000.0,0.711,13933000.0,7.559,1.961,1.407,56531000.0,37023876.0,-0.2160163,42.76,23.11,31.87125,34.799137,490086.0,510681.0,130966000.0,115099271.0
AMO,14908724.0,29035724.0,0.25389516,1.2745098,0.494,18.088,0.013350001,0.01993,0.02049,0.07673,58720000.0,1.053,0.341,18242000.0,1605250.0,784000.0,0.014,989000.0,0.013,15116000.0,129.451,1.491,0.153,1327000.0,-3260350.0,1.1195652,0.35,0.032,0.20032258,0.14499275,114801.0,92285.0,76455000.0,14969123.0
