StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
2BE,17433192.0,17615240.0,0.8251741,0.8,0.834,-3.759,-0.22094999,-0.28363,-0.12984,-0.24147,21126684.0,0.087,-0.403,-2105567.0,-4685786.0,-4667873.0,-0.019,776092.0,0.003,1012907.0,5.946,0.686,0.07,-2714384.0,-13332364.0,-0.4909091,0.33,0.044,0.058709677,0.07869733,528193.0,150373.0,311307008.0,106939374.0
A3D,13301952.0,9872974.0,19.723719,3.0,14.639,-1.164,0.0,-12.97509,-0.83717,-1.7873399,674414.0,0.006,-0.019,432574.0,-8482064.0,-8155859.0,-0.079,1323766.0,0.011,993405.0,29.302,2.147,0.029,-6289349.0,-4927429.0,-0.3555556,0.235,0.054,0.077564515,0.08436594,330219.0,751584.0,152896000.0,81188050.0
ACF,80466080.0,128488064.0,0.9851188,1.3518518,1.573,11.408,0.03689,0.0735,0.033570003,0.056900002,81681600.0,0.42,0.335,49041210.0,11263472.0,3013335.0,0.015,7238511.0,0.033,55968768.0,96.009,0.942,0.27,13326285.0,1641726.0,0.057971,0.41,0.13,0.37120968,0.34860507,236702.0,135746.0,220455008.0,140725545.0
AD1,35662904.0,32009588.0,10.486169,19.666666,9.412,-15.827,-0.64134,-0.62646997,-0.42775002,-1.26816,3400947.0,0.006,0.241,-746786.0,-2022412.0,-2181158.0,-0.004,459742.0,0.001,133877.0,8.627,0.919,0.003,-2090536.0,-1231314.0,3.5384617,0.076,0.008,0.047741935,0.049942028,1066832.0,1978119.0,604456000.0,251816453.0
AEI,84120656.0,71108408.0,5.74871,4.3125,4.859,47.523,0.13551,0.098570004,0.058769997,0.15944,14632962.0,0.067,1.114,7998339.0,1496281.0,1982941.0,0.009,12963521.0,0.053,390056.0,2.02,7.32,0.08,-2050960.0,-3204708.0,-0.06756759,0.87,0.28,0.3214516,0.4727536,388738.0,299369.0,243828000.0,135713897.0
AJL,29907252.0,141121168.0,0.20380284,0.34722224,0.962,6.352,-0.06042,0.11981,0.04356,-0.091359995,146746000.0,0.144,0.03,30180213.0,22218000.0,-8867000.0,-0.009,4478000.0,0.004,114558000.0,131.753,0.626,0.072,2004000.0,-4835750.0,-0.6212121,0.085,0.023,0.026290324,0.032550726,386198.0,577464.0,1196290048.0,213441461.0
AL3,54599620.0,40496540.0,189.24295,5.0,140.362,-12.594,0.0,-11.20146,-0.31801,-0.64463997,288516.0,0.004,68.68,219262.0,-3215441.0,-3094021.0,-0.038,8230211.0,0.062,413103.0,4.253,10.413,0.073,-2185209.0,-1963834.0,1.4333334,0.73,0.13,0.37460938,0.4123561,433191.0,662555.0,149588000.0,69240740.0
ALQ,4809787392.0,5696108032.0,2.7459393,4.617879,3.252,16.073,0.03568,0.15226,0.06661,0.05539,1751600000.0,3.631,-0.087,519300000.0,354400000.0,59200000.0,0.129,146700000.0,0.304,1021299968.0,97.008,1.069,2.159,256900000.0,247850000.0,0.04397905,10.75,4.36,10.063125,9.413957,986604.0,705219.0,482425984.0,471367049.0
ALX,6070583808.0,7467020288.0,40.472984,1.5944585,49.783,-240.6,-0.090459995,-0.69803,-0.01316,-0.015369999,149991008.0,0.19,-0.306,368658000.0,-31035000.0,-13569000.0,-0.017,188723008.0,0.199,1661726976.0,44.2,2.304,3.97,63880000.0,-81356000.0,-0.2117061,8.54,3.51,6.2857575,6.389357,2062763.0,1382083.0,959017984.0,946401193.0
ANG,101477944.0,103955952.0,0.44053614,1.0294118,0.451,5.942,0.02251,0.053639997,0.043169998,0.04541,230351008.0,0.398,0.207,113603000.0,17494000.0,4540000.0,0.009,19243000.0,0.033,21873000.0,22.196,1.442,0.17,24093000.0,23693500.0,-0.18604654,0.215,0.105,0.17129032,0.15833333,501960.0,32697.0,579873984.0,407162408.0
