StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
5GN,163856160.0,126504952.0,3.3219697,3.5036497,2.565,51.092,-0.03132,0.00302,0.00164,-0.059369996,49325000.0,0.731,-0.131,9230000.0,2476000.0,-1545000.0,-0.023,22118000.0,0.242,17233000.0,48.333,1.666,0.411,7512000.0,7804500.0,0.66473997,2.44,0.54,1.3641936,1.619674,760954.0,904866.0,113789000.0,69212395.0
NEA,1056475264.0,948080640.0,10.923706,17.12,9.803,-29.147,-0.37965,-0.39022,-0.15368,-0.50854,96714000.0,0.214,0.195,40172000.0,-32527000.0,-36717000.0,-0.081,36140000.0,0.08,14396000.0,25.368,0.912,0.125,12088000.0,-23959000.0,0.2298851,3.22,0.83,2.190606,2.4002142,2980038.0,2854185.0,493680000.0,393771454.0
ALL,19833176064.0,21726580736.0,4.791664,6.2232013,5.249,26.531,0.33285,0.12749,0.046409998,0.51758,4139099904.0,6.491,-0.177,1956400000.0,818899968.0,1377699968.0,2.16,1682400000.0,2.635,3582899968.0,112.67,2.402,4.991,1022899968.0,758412480.0,-0.12728298,38.23,14.81,30.86625,30.09698,1913729.0,1686759.0,638544000.0,566822871.0
ASP,34633352.0,32007722.0,2.2779105,14.999999,2.105,-16.381,-0.0638,-0.1322,-0.08566,-0.32953998,15204000.0,0.007,-0.108,8880000.0,-1954000.0,-970000.0,0.0,3182000.0,0.001,1030000.0,31.663,0.444,0.001,2481000.0,1570823.0,0.36363637,0.021,0.006,0.009903226,0.007862319,3577560.0,14509727.0,2308890112.0,544665366.0
BYI,30668500.0,31101484.0,0.35561392,1.4792899,0.361,-3.08,-0.07414,-0.12743,-0.096219994,-0.24738,86241000.0,1.406,0.155,5082000.0,-10097000.0,-6394000.0,-0.104,8183000.0,0.133,8316000.0,39.51,1.079,0.338,2446000.0,3153500.0,-0.375,0.8,0.5,0.5048387,0.5363406,908.0,0.0,61337000.0,10303384.0
DHG,2915477248.0,3076162816.0,10.961801,3.2297735,11.566,57.045,-0.85603,0.16608,0.020060001,-0.2151,265967008.0,0.456,-0.203,161420000.0,53925000.0,-227676000.0,-0.39,65497000.0,0.112,220348992.0,24.26,1.439,1.545,87817000.0,53980752.0,0.3201058,5.085,1.675,4.517879,4.0259285,839360.0,925833.0,584264000.0,237853748.0
EGG,178510336.0,148995216.0,0.6613993,1.4456141,0.552,5.731,0.03967,0.08361,0.067729995,0.1118,269897984.0,3.144,0.119,136982000.0,25999000.0,10707000.0,0.123,47581000.0,0.553,16907000.0,13.528,1.267,1.425,30995000.0,27296250.0,0.061855555,2.155,0.795,2.0582259,1.7357066,60891.0,55992.0,86655504.0,50527664.0
EN1,11853700.0,7813351.0,0.62314427,1.2499999,0.411,-5.853,-0.24988002,-0.09514,-0.08106,-1.78567,19022400.0,0.018,0.315,9284181.0,-1334911.0,-4753390.0,-0.005,1760522.0,0.002,4418824.0,98.943,0.869,0.004,-6169666.0,-4540237.0,-0.75,0.022,0.005,0.0057903226,0.006434783,15484703.0,27429512.0,2370739968.0,911742637.0
EVT,1557153280.0,2669920768.0,2.085799,1.5966941,3.576,33.689,-0.0152199995,0.01123,0.00234,-0.03418,746550016.0,4.635,-0.473,569761000.0,79252000.0,-36000000.0,-0.071,67062000.0,0.416,1179833984.0,120.985,0.551,6.05,176367008.0,-46408000.0,-0.23937011,12.83,5.44,9.516363,9.132929,179392.0,72244.0,161196000.0,105753934.0
FDV,512587648.0,366378976.0,31.349133,6.585903,22.407,-88.93,0.33912,-0.45041,-0.08177,0.07403,16350936.0,0.065,0.137,3922554.0,-4119838.0,6128247.0,0.022,16649338.0,0.065,958702.0,1.699,4.467,0.227,-2735429.0,-2169957.0,0.40375578,2.04,0.55,1.5295161,1.3053986,725513.0,1154569.0,342868000.0,164141572.0
