StockCode,Return on Equity (ttm):
NCK,1.0
ABV,1.0
ADH,1.0
AFL,1.0
AGI,0.0
AHL,0.0
AHX,1.0
AIR,0.0
ALG,0.0
AMA,0.0
AMC,1.0
APE,0.0
ARB,1.0
ASG,0.0
ATL,0.0
ATP,0.0
AU8,0.0
AX1,1.0
BAP,1.0
BBN,1.0
BET,1.0
BLX,1.0
BRG,1.0
CBR,0.0
CCX,1.0
CKF,1.0
CTD,1.0
CWN,1.0
DLC,1.0
DMP,1.0
DNA,0.0
EBG,1.0
EXP,0.0
FLT,0.0
GAP,1.0
GLB,1.0
GLE,1.0
HLO,0.0
HVN,1.0
IDZ,0.0
IVC,1.0
JAY,0.0
JBH,1.0
JIN,1.0
KGN,1.0
LOV,1.0
MFD,1.0
MHI,0.0
MHJ,1.0
MTO,1.0
MYR,0.0
PPG,1.0
NTD,1.0
ORA,1.0
PBH,0.0
PFP,1.0
PGH,1.0
PGR,1.0
PMV,1.0
PWH,1.0
RBL,0.0
RFG,1.0
RPM,0.0
SES,0.0
SFC,1.0
SGH,1.0
SGR,1.0
SHJ,1.0
SHM,1.0
SIO,1.0
SLK,1.0
SNL,1.0
SRY,1.0
SSG,1.0
SUL,1.0
TAH,0.0
TCO,1.0
TNK,1.0
TPW,1.0
TWD,1.0
VMT,1.0
VTG,1.0
VVA,0.0
WEB,0.0
WES,1.0
IEQ,0.0
3PL,1.0
NAM,0.0
AAP,0.0
AAC,1.0
AHF,0.0
AHY,1.0
AKG,1.0
AS1,1.0
AVG,1.0
BFC,0.0
BGA,1.0
BUB,1.0
BWX,1.0
CCL,1.0
CGC,1.0
CLV,1.0
COL,1.0
CSS,0.0
DBF,1.0
EHH,1.0
ELD,1.0
ERG,0.0
FNP,0.0
FOD,0.0
FRM,1.0
GEM,0.0
GNC,1.0
HCT,0.0
HUO,1.0
IEL,1.0
ING,1.0
JAT,0.0
KME,1.0
KTD,0.0
LRK,1.0
MCP,1.0
MPH,0.0
MRG,0.0
MTS,1.0
NUC,0.0
NZS,0.0
OGA,0.0
PAL,0.0
PTL,1.0
RDH,0.0
RIC,1.0
S66,1.0
SFG,0.0
SKN,0.0
TFL,0.0
TGR,1.0
TRS,1.0
TWE,1.0
UCW,0.0
WHA,0.0
WLD,1.0
WNR,1.0
WOA,0.0
WOW,1.0
SGLLV,1.0
AJQ,0.0
ATS,0.0
BAS,1.0
BPT,1.0
BRK,1.0
BRU,0.0
BYE,1.0
CE1,1.0
COE,0.0
CUE,1.0
CVN,1.0
DYL,1.0
EEG,0.0
EER,0.0
