Date,Open,High,Low,Close,Adj_Close,Volume
2020-02-05,1612.1,1625.8,1612.1,1618.0,1618.0,0
2020-02-06,1618.0,1639.0,1618.0,1639.0,1639.0,0
2020-02-07,1639.0,1639.0,1621.9,1627.0,1627.0,0
2020-02-10,1627.0,1627.0,1611.2,1618.4,1618.4,0
2020-02-11,1618.4,1629.1,1618.4,1628.6,1628.6,0
2020-02-12,1628.6,1636.3,1627.0,1634.2,1634.2,0
2020-02-13,1634.2,1650.4,1634.2,1640.2,1640.2,0
2020-02-14,1640.2,1648.2,1639.0,1644.5,1644.5,0
2020-02-17,1644.5,1644.5,1636.8,1641.1,1641.1,0
2020-02-18,1641.1,1643.2,1635.5,1640.1,1640.1,0
2020-02-19,1640.1,1640.1,1632.7,1639.5,1639.5,0
2020-02-20,1639.5,1656.5,1639.5,1648.9,1648.9,0
2020-02-21,1648.9,1648.9,1641.6,1643.0,1643.0,0
2020-02-24,1643.0,1643.0,1590.6,1594.5,1594.5,0
2020-02-25,1594.5,1594.5,1555.2,1564.1,1564.1,0
2020-02-26,1564.1,1564.1,1525.7,1530.1,1530.1,0
2020-02-27,1530.1,1534.6,1504.7,1511.7,1511.7,0
2020-02-28,1511.7,1511.7,1457.4,1462.6,1462.6,0
2020-03-02,1462.6,1462.6,1412.8,1449.1,1449.1,0
2020-03-04,1454.4,1454.4,1428.3,1431.4,1431.4,0
2020-03-05,1431.4,1457.4,1431.4,1440.5,1440.5,0
2020-03-06,1440.5,1440.5,1390.8,1390.8,1390.8,0
2020-03-09,1390.8,1390.8,1272.7,1272.7,1272.7,0
2020-03-10,1272.7,1320.8,1228.9,1320.8,1320.8,0
2020-03-11,1320.8,1329.6,1275.6,1275.6,1275.6,0
2020-03-12,1275.6,1275.6,1178.0,1181.9,1181.9,0
2020-03-13,1181.9,1234.1,1086.9,1234.1,1234.1,0
2020-03-16,1234.1,1234.1,1128.2,1128.2,1128.2,0
2020-03-17,1128.2,1208.2,1128.2,1208.2,1208.2,0
2020-03-18,1208.2,1208.2,1111.7,1131.5,1131.5,0
2020-03-19,1131.5,1171.1,1093.6,1101.9,1101.9,0
2020-03-20,1101.9,1157.4,1101.9,1107.1,1107.1,0
2020-03-23,1107.1,1107.1,1008.1,1038.6,1038.6,0
2020-03-24,1038.6,1077.3,1038.6,1077.3,1077.3,0
2020-03-25,1077.3,1155.5,1077.3,1142.7,1142.7,0
2020-03-26,1142.7,1188.6,1142.7,1167.2,1167.2,0
2020-03-27,1167.2,1198.4,1109.8,1109.8,1109.8,0
2020-03-30,1109.8,1185.8,1107.8,1185.8,1185.8,0
2020-03-31,1185.8,1228.9,1150.2,1162.1,1162.1,0
2020-04-01,1162.1,1211.8,1162.1,1207.7,1207.7,0
2020-04-02,1207.7,1207.7,1162.9,1186.6,1186.6,0
