Date,Open,High,Low,Close,Adj_Close,Volume
2020-02-05,1419.2,1443.9,1419.2,1430.3,1430.3,0
2020-02-06,1430.3,1460.6,1430.3,1460.3,1460.3,0
2020-02-07,1460.3,1461.2,1440.7,1449.2,1449.2,0
2020-02-10,1449.2,1449.9,1432.6,1445.0,1445.0,0
2020-02-11,1445.0,1468.7,1445.0,1462.6,1462.6,0
2020-02-12,1462.6,1480.5,1462.5,1476.2,1476.2,0
2020-02-13,1476.2,1500.2,1475.6,1482.4,1482.4,0
2020-02-14,1482.4,1497.1,1481.5,1493.6,1493.6,0
2020-02-17,1493.6,1496.6,1482.7,1491.4,1491.4,0
2020-02-18,1491.4,1491.4,1479.5,1486.6,1486.6,0
2020-02-19,1486.6,1499.5,1482.1,1499.5,1499.5,0
2020-02-20,1499.5,1521.6,1499.4,1507.0,1507.0,0
2020-02-21,1507.0,1507.0,1495.7,1497.0,1497.0,0
2020-02-24,1497.0,1497.0,1425.2,1429.6,1429.6,0
2020-02-25,1429.6,1429.6,1356.5,1383.8,1383.8,0
2020-02-26,1383.8,1383.8,1312.6,1319.9,1319.9,0
2020-02-27,1319.9,1327.8,1289.3,1300.1,1300.1,0
2020-02-28,1300.1,1300.1,1209.8,1215.4,1215.4,0
2020-03-02,1215.4,1215.4,1141.4,1196.6,1196.6,0
2020-03-04,1213.1,1213.1,1165.8,1171.5,1171.5,0
2020-03-05,1171.5,1216.6,1171.5,1197.6,1197.6,0
2020-03-06,1197.6,1197.6,1130.3,1130.3,1130.3,0
2020-03-09,1130.3,1130.3,964.6,964.6,964.6,0
2020-03-10,964.6,1024.5,890.3,1024.5,1024.5,0
2020-03-11,1024.5,1035.8,950.8,950.8,950.8,0
2020-03-12,950.8,950.8,806.0,810.8,810.8,0
2020-03-13,810.9,882.6,679.1,882.6,882.6,0
2020-03-16,882.6,882.6,711.3,711.3,711.3,0
2020-03-17,711.3,797.1,710.0,794.2,794.2,0
2020-03-18,794.2,794.2,672.6,692.1,692.1,0
2020-03-19,692.1,733.8,632.8,644.5,644.5,0
2020-03-20,644.5,707.3,644.5,653.6,653.6,0
2020-03-23,653.6,653.6,541.2,580.1,580.1,0
2020-03-24,580.1,628.5,580.1,628.5,628.5,0
2020-03-25,628.5,705.2,628.5,698.2,698.2,0
2020-03-26,698.2,747.4,698.2,730.4,730.4,0
2020-03-27,730.4,765.6,653.0,653.0,653.0,0
2020-03-30,653.0,744.4,650.4,744.4,744.4,0
2020-03-31,744.4,797.5,693.9,714.3,714.3,0
2020-04-01,714.3,769.3,714.3,765.5,765.5,0
2020-04-02,765.5,765.5,709.2,735.1,735.1,0
2020-04-03,735.1,761.5,697.5,710.3,710.3,0
2020-04-06,710.3,776.1,710.3,771.8,771.8,0
2020-04-07,771.8,811.6,742.7,761.7,761.7,0
2020-04-08,761.7,781.7,723.9,748.6,748.6,0
2020-04-09,748.6,800.4,748.6,800.4,800.4,0
2020-04-13,800.4,800.4,800.4,800.4,800.4,0
2020-04-14,800.4,831.1,792.3,830.4,830.4,0
2020-04-15,830.4,843.9,808.7,823.9,823.9,0
2020-04-16,823.9,823.9,787.2,808.7,808.7,0
2020-04-17,808.7,852.7,808.7,830.0,830.0,0
2020-04-20,830.0,830.9,789.3,789.3,789.3,0
2020-04-21,789.3,789.3,748.4,750.4,750.4,0
2020-04-22,750.4,759.2,715.7,750.4,750.4,0
2020-04-23,750.4,768.0,739.0,749.2,749.2,0
2020-04-24,749.2,762.6,746.5,756.5,756.5,0
2020-04-27,756.5,781.6,748.5,779.3,779.3,0
2020-04-28,779.3,794.6,765.0,776.8,776.8,0
2020-04-29,776.8,800.3,776.7,800.3,800.3,0
2020-04-30,800.3,846.5,800.3,838.6,838.6,0
2020-05-01,838.6,838.6,754.6,754.6,754.6,0
2020-05-04,754.6,778.3,732.6,775.9,775.9,0
2020-05-05,775.9,801.3,775.9,801.3,801.3,0
2020-05-06,801.3,801.8,782.9,794.7,794.7,0
2020-05-07,794.7,795.8,783.6,788.6,788.6,0
2020-05-08,788.6,807.4,788.6,796.5,796.5,0
2020-05-11,796.5,825.6,796.5,817.2,817.2,0
2020-05-12,817.2,817.3,791.1,799.8,799.8,0
2020-05-13,799.8,805.4,769.9,805.4,805.4,0
2020-05-14,805.4,805.4,777.7,777.7,777.7,0
2020-05-15,777.7,802.1,777.7,799.9,799.9,0
2020-05-18,799.9,824.0,799.9,816.4,816.4,0
2020-05-19,816.4,860.1,816.4,846.0,846.0,0
2020-05-20,846.0,854.4,830.0,850.1,850.1,0
2020-05-21,850.1,861.6,841.6,843.2,843.2,0
2020-05-22,843.2,849.1,826.3,827.0,827.0,0
2020-05-25,827.0,862.7,827.0,862.7,862.7,0
2020-05-26,862.7,913.2,862.7,913.2,913.2,0
2020-05-27,913.2,930.8,892.3,911.6,911.6,0
2020-05-28,911.6,958.0,911.6,935.6,935.6,0
2020-05-29,935.6,935.6,905.1,905.1,905.1,0
2020-06-01,905.1,925.0,889.3,925.0,925.0,0
2020-06-02,925.0,937.7,919.0,930.1,930.1,0
2020-06-03,930.1,964.7,930.1,964.1,964.1,0
2020-06-04,964.1,996.0,964.1,980.4,980.4,0
2020-06-05,980.4,988.9,970.9,982.6,982.6,0
2020-06-08,982.6,982.6,982.6,982.6,982.6,0
2020-06-09,982.6,1048.1,982.6,1030.5,1030.5,0
2020-06-10,1030.5,1043.0,1012.0,1031.7,1031.7,0
2020-06-11,1031.7,1031.7,964.9,968.6,968.6,0
2020-06-12,968.6,968.6,902.3,932.0,932.0,0
2020-06-15,932.0,935.1,891.2,891.2,891.2,0
2020-06-16,891.2,970.9,891.2,960.5,960.5,0
2020-06-17,960.5,976.5,957.0,976.5,976.5,0
2020-06-18,976.5,976.5,942.9,958.4,958.4,0
2020-06-19,958.4,981.0,956.3,960.4,960.4,0
2020-06-22,960.4,970.1,940.5,961.0,961.0,0
2020-06-23,961.0,978.7,941.1,964.2,964.2,0
2020-06-24,964.2,976.7,960.3,967.9,967.9,0
2020-06-25,967.9,967.9,919.8,919.8,919.8,0
