Date,Open,High,Low,Close,Adj_Close,Volume
2020-02-05,94.8,94.8,93.2,94.1,94.1,0
2020-02-06,94.1,94.1,92.1,92.1,92.1,0
2020-02-07,92.1,93.4,92.1,92.8,92.8,0
2020-02-10,92.8,93.9,92.8,93.1,93.1,0
2020-02-11,93.1,93.1,91.6,92.0,92.0,0
2020-02-12,92.0,92.0,90.9,91.1,91.1,0
2020-02-13,91.1,91.1,89.6,90.7,90.7,0
2020-02-14,90.7,90.8,89.8,90.0,90.0,0
2020-02-17,90.0,90.7,89.8,90.2,90.2,0
2020-02-18,90.2,90.8,90.1,90.4,90.4,0
2020-02-19,90.4,90.4,89.3,89.3,89.3,0
2020-02-20,89.3,89.3,87.9,88.8,88.8,0
2020-02-21,88.8,89.5,88.8,89.4,89.4,0
2020-02-24,89.4,93.5,89.2,93.2,93.2,0
2020-02-25,93.2,97.9,93.1,96.1,96.1,0
2020-02-26,96.1,100.9,96.0,100.4,100.4,0
2020-02-27,100.4,102.7,99.8,101.9,101.9,0
2020-02-28,101.9,108.9,101.8,108.5,108.5,0
2020-03-02,108.5,114.8,108.2,109.9,109.9,0
2020-03-04,108.3,112.4,108.2,111.9,111.9,0
2020-03-05,111.9,111.9,106.9,108.7,108.7,0
2020-03-06,108.7,114.8,108.7,114.8,114.8,0
2020-03-09,114.8,131.6,114.8,131.6,131.6,0
2020-03-10,131.6,141.7,123.4,123.4,123.4,0
2020-03-11,123.4,132.2,121.9,132.2,132.2,0
2020-03-12,132.2,152.3,132.2,151.6,151.6,0
2020-03-13,151.6,176.2,138.2,138.2,138.2,0
2020-03-16,138.2,165.0,138.2,165.0,165.0,0
2020-03-17,165.0,165.3,145.1,145.8,145.8,0
2020-03-18,145.8,168.1,145.8,164.5,164.5,0
2020-03-19,164.5,178.6,154.6,175.8,175.8,0
2020-03-20,175.8,175.8,158.7,173.3,173.3,0
2020-03-23,173.3,203.1,173.3,192.8,192.8,0
2020-03-24,192.8,192.8,176.6,176.6,176.6,0
2020-03-25,176.6,176.6,155.1,157.0,157.0,0
2020-03-26,157.1,157.1,146.0,149.8,149.8,0
2020-03-27,149.8,165.7,142.6,165.7,165.7,0
2020-03-30,165.7,166.3,142.5,142.5,142.5,0
2020-03-31,142.5,152.1,132.3,148.2,148.2,0
2020-04-01,148.2,148.2,136.8,137.6,137.6,0
2020-04-02,137.6,147.7,137.6,143.1,143.1,0
2020-04-03,143.1,150.4,138.0,147.9,147.9,0
2020-04-06,147.9,147.9,134.2,135.1,135.1,0
2020-04-07,135.1,140.2,128.2,136.9,136.9,0
2020-04-08,136.9,143.7,133.3,139.2,139.2,0
2020-04-09,139.2,139.2,129.6,129.6,129.6,0
2020-04-13,129.6,129.6,129.6,129.6,129.6,0
2020-04-14,129.6,130.9,124.6,124.8,124.8,0
2020-04-15,124.8,128.0,122.7,125.7,125.7,0
2020-04-16,125.7,131.3,125.7,128.1,128.1,0
2020-04-17,128.1,128.1,121.1,124.7,124.7,0
2020-04-20,124.7,130.8,124.5,130.8,130.8,0
2020-04-21,130.8,137.6,130.8,137.2,137.2,0
2020-04-22,137.2,143.6,135.6,137.2,137.2,0
2020-04-23,137.2,139.3,134.0,137.5,137.5,0
2020-04-24,137.5,138.0,135.0,136.1,136.1,0
2020-04-27,136.1,137.6,131.6,132.0,132.0,0
2020-04-28,132.0,134.4,129.4,132.4,132.4,0
2020-04-29,132.4,132.5,128.4,128.4,128.4,0
2020-04-30,128.4,128.4,121.0,122.3,122.3,0
2020-05-01,122.3,134.4,122.2,134.4,134.4,0
2020-05-04,134.4,138.3,130.2,130.6,130.6,0
2020-05-05,130.6,130.6,126.3,126.3,126.3,0
2020-05-06,126.3,129.2,126.3,127.4,127.4,0
2020-05-07,127.4,129.2,127.2,128.4,128.4,0
2020-05-08,128.4,128.4,125.3,127.1,127.1,0
2020-05-11,127.1,127.1,122.4,123.8,123.8,0
2020-05-12,123.8,127.7,123.8,126.4,126.4,0
2020-05-13,126.4,131.1,125.5,125.5,125.5,0
2020-05-14,125.5,129.8,125.5,129.8,129.8,0
2020-05-15,129.8,129.8,125.8,126.1,126.1,0
2020-05-18,126.1,126.1,122.2,123.4,123.4,0
2020-05-19,123.4,123.4,116.8,119.0,119.0,0
2020-05-20,119.0,121.2,117.8,118.4,118.4,0
2020-05-21,118.4,119.5,116.8,119.3,119.3,0
2020-05-22,119.3,121.7,118.5,121.6,121.6,0
2020-05-25,121.6,121.6,116.4,116.4,116.4,0
2020-05-26,116.4,116.4,109.6,109.6,109.6,0
2020-05-27,109.6,112.0,107.4,109.7,109.7,0
2020-05-28,109.7,109.7,104.1,106.8,106.8,0
2020-05-29,106.8,110.3,106.8,110.3,110.3,0
2020-06-01,110.3,112.2,107.9,107.9,107.9,0
2020-06-02,107.9,108.6,106.4,107.3,107.3,0
2020-06-03,107.3,107.3,103.3,103.4,103.4,0
2020-06-04,103.4,103.4,99.9,101.6,101.6,0
2020-06-05,101.6,102.6,100.7,101.4,101.4,0
2020-06-08,101.4,101.4,101.4,101.4,101.4,0
2020-06-09,101.4,101.4,94.6,96.5,96.5,0
2020-06-10,96.5,98.2,95.3,96.3,96.3,0
2020-06-11,96.3,102.6,96.3,102.2,102.2,0
2020-06-12,102.2,109.2,102.2,106.1,106.1,0
2020-06-15,106.1,110.8,105.8,110.8,110.8,0
2020-06-16,110.8,110.8,100.8,102.1,102.1,0
2020-06-17,102.1,102.5,100.4,100.4,100.4,0
2020-06-18,100.4,103.9,100.4,102.3,102.3,0
2020-06-19,102.3,102.5,99.9,102.1,102.1,0
2020-06-22,102.1,104.2,101.1,102.0,102.0,0
