Date,Open,High,Low,Close,Adj_Close,Volume
2020-02-05,6910.0,6969.8,6910.0,6924.1,6924.1,0
2020-02-06,6924.1,7001.8,6924.1,7000.8,7000.8,0
2020-02-07,7000.8,7002.5,6950.8,6972.8,6972.8,0
2020-02-10,6972.8,6976.6,6933.5,6965.2,6965.2,0
2020-02-11,6965.2,7014.5,6965.2,7002.5,7002.5,0
2020-02-12,7002.5,7044.5,7002.3,7032.2,7032.2,0
2020-02-13,7032.2,7091.0,7029.6,7049.0,7049.0,0
2020-02-14,7049.0,7089.6,7049.0,7082.8,7082.8,0
2020-02-17,7082.8,7090.3,7053.6,7076.2,7076.2,0
2020-02-18,7076.2,7078.8,7058.6,7076.9,7076.9,0
2020-02-19,7076.9,7100.6,7059.2,7100.6,7100.6,0
2020-02-20,7100.6,7145.4,7097.4,7114.5,7114.5,0
2020-02-21,7114.5,7114.5,7086.2,7096.4,7096.4,0
2020-02-24,7096.4,7096.4,6931.6,6950.1,6950.1,0
2020-02-25,6950.1,6950.1,6776.6,6839.0,6839.0,0
2020-02-26,6839.0,6839.0,6668.4,6686.7,6686.7,0
2020-02-27,6686.7,6699.9,6602.0,6632.8,6632.8,0
2020-02-28,6632.8,6632.8,6410.0,6428.2,6428.2,0
2020-03-02,6428.2,6428.2,6234.5,6372.9,6372.9,0
2020-03-04,6407.7,6407.7,6281.2,6295.5,6295.5,0
2020-03-05,6295.5,6411.7,6295.5,6366.0,6366.0,0
2020-03-06,6366.0,6366.0,6194.5,6194.5,6194.5,0
2020-03-09,6194.5,6194.5,5738.7,5738.7,5738.7,0
2020-03-10,5738.7,5922.2,5513.2,5922.2,5922.2,0
2020-03-11,5922.2,5955.3,5708.4,5708.4,5708.4,0
2020-03-12,5708.4,5708.4,5276.4,5281.6,5281.6,0
2020-03-13,5281.6,5540.8,4851.9,5540.8,5540.8,0
2020-03-16,5540.8,5540.8,5007.6,5007.6,5007.6,0
2020-03-17,5007.6,5337.2,5007.6,5319.3,5319.3,0
2020-03-18,5319.3,5319.3,4900.0,4966.1,4966.1,0
2020-03-19,4966.1,5144.5,4763.0,4809.1,4809.1,0
2020-03-20,4809.1,5047.8,4809.1,4827.8,4827.8,0
2020-03-23,4827.8,4827.8,4426.9,4592.0,4592.0,0
2020-03-24,4592.0,4767.0,4592.0,4764.4,4764.4,0
2020-03-25,4764.4,5051.8,4764.4,5050.1,5050.1,0
2020-03-26,5050.1,5210.4,5045.4,5152.5,5152.5,0
2020-03-27,5152.5,5268.8,4853.3,4853.3,4853.3,0
2020-03-30,4853.3,5209.7,4842.3,5209.7,5209.7,0
2020-03-31,5209.7,5396.9,5008.0,5087.5,5087.5,0
2020-04-01,5087.5,5285.8,5087.5,5269.3,5269.3,0
2020-04-02,5269.3,5269.3,5069.5,5163.3,5163.3,0
2020-04-03,5163.3,5251.7,5039.3,5085.6,5085.6,0
2020-04-06,5085.6,5319.8,5085.6,5304.7,5304.7,0
2020-04-07,5304.7,5437.8,5186.2,5252.0,5252.0,0
2020-04-08,5252.0,5313.0,5117.8,5192.5,5192.5,0
2020-04-09,5192.5,5376.6,5192.5,5376.6,5376.6,0
2020-04-13,5376.6,5376.6,5376.6,5376.6,5376.6,0
2020-04-14,5376.6,5452.8,5334.3,5452.1,5452.1,0
2020-04-15,5452.1,5496.8,5376.4,5426.6,5426.6,0
2020-04-16,5426.6,5426.6,5304.5,5376.8,5376.8,0
2020-04-17,5376.8,5521.9,5376.8,5449.3,5449.3,0
2020-04-20,5449.3,5455.0,5309.9,5309.9,5309.9,0
2020-04-21,5309.9,5310.7,5178.8,5184.9,5184.9,0
2020-04-22,5184.9,5218.5,5067.4,5186.1,5186.1,0
2020-04-23,5186.1,5241.3,5140.9,5176.1,5176.1,0
2020-04-24,5176.1,5224.7,5168.2,5206.6,5206.6,0
2020-04-27,5206.6,5276.9,5167.0,5269.4,5269.4,0
2020-04-28,5269.4,5321.9,5213.0,5252.4,5252.4,0
2020-04-29,5252.4,5335.6,5252.4,5335.6,5335.6,0
2020-04-30,5335.6,5482.4,5335.6,5452.7,5452.7,0
2020-05-01,5452.7,5452.7,5169.5,5169.5,5169.5,0
2020-05-04,5169.5,5252.6,5088.1,5242.1,5242.1,0
2020-05-05,5242.1,5327.3,5242.1,5325.9,5325.9,0
2020-05-06,5325.9,5325.9,5252.4,5291.1,5291.1,0
2020-05-07,5291.1,5300.8,5247.2,5262.1,5262.1,0
2020-05-08,5262.1,5320.5,5262.1,5279.3,5279.3,0
2020-05-11,5279.3,5378.9,5279.3,5349.1,5349.1,0
2020-05-12,5349.1,5350.6,5264.1,5293.2,5293.2,0
2020-05-13,5293.2,5320.1,5201.0,5320.1,5320.1,0
2020-05-14,5320.1,5320.1,5230.1,5230.1,5230.1,0
2020-05-15,5230.1,5309.9,5230.1,5302.5,5302.5,0
2020-05-18,5302.5,5372.8,5302.5,5343.8,5343.8,0
2020-05-19,5343.8,5500.1,5343.8,5450.8,5450.8,0
2020-05-20,5450.8,5463.7,5395.0,5452.1,5452.1,0
2020-05-21,5452.1,5484.7,5417.4,5417.8,5417.8,0
2020-05-22,5417.8,5433.5,5360.9,5363.1,5363.1,0
2020-05-25,5363.1,5473.3,5363.1,5473.3,5473.3,0
2020-05-26,5473.3,5643.2,5473.3,5643.2,5643.2,0
2020-05-27,5643.2,5714.3,5588.4,5649.0,5649.0,0
2020-05-28,5649.0,5805.2,5649.0,5736.9,5736.9,0
2020-05-29,5736.9,5736.9,5618.1,5618.1,5618.1,0
2020-06-01,5618.1,5686.9,5570.7,5686.9,5686.9,0
2020-06-02,5686.9,5715.1,5658.3,5689.8,5689.8,0
2020-06-03,5689.8,5809.3,5689.8,5807.0,5807.0,0
2020-06-04,5807.0,5917.7,5807.0,5870.9,5870.9,0
2020-06-05,5870.9,5907.5,5847.8,5888.1,5888.1,0
2020-06-08,5888.1,5888.1,5888.1,5888.1,5888.1,0
2020-06-09,5888.1,6096.1,5888.1,6044.9,6044.9,0
2020-06-10,6044.9,6077.8,5980.9,6038.8,6038.8,0
2020-06-11,6038.8,6038.8,5835.1,5845.6,5845.6,0
2020-06-12,5845.6,5845.6,5655.6,5742.8,5742.8,0
2020-06-15,5742.8,5748.5,5618.5,5618.5,5618.5,0
2020-06-16,5618.5,5859.5,5618.5,5825.0,5825.0,0
2020-06-17,5825.0,5866.4,5806.3,5866.4,5866.4,0
2020-06-18,5866.4,5866.4,5763.2,5814.9,5814.9,0
2020-06-19,5814.9,5874.2,5792.6,5806.2,5806.2,0
2020-06-22,5806.2,5845.7,5747.6,5816.8,5816.8,0
2020-06-23,5816.8,5857.9,5751.4,5820.0,5820.0,0
2020-06-24,5820.0,5850.3,5805.9,5824.7,5824.7,0
2020-06-25,5824.7,5824.7,5697.9,5697.9,5697.9,0
2020-06-26,5697.9,5795.3,5697.9,5784.9,5784.9,0
2020-06-29,5784.9,5784.9,5657.0,5699.2,5699.2,0
2020-06-30,5699.2,5819.8,5699.2,5767.7,5767.7,0
2020-07-01,5767.7,5804.8,5750.3,5792.0,5792.0,0
2020-07-02,5792.0,5889.8,5792.0,5889.3,5889.3,0
2020-07-03,5889.3,5960.5,5889.3,5926.2,5926.2,0
2020-07-06,5926.2,5940.7,5877.9,5877.9,5877.9,0
2020-07-07,5877.9,5935.1,5859.1,5868.3,5868.3,0
2020-07-08,5868.3,5870.9,5776.7,5776.7,5776.7,0
2020-07-09,5776.7,5842.8,5776.7,5803.1,5803.1,0
2020-07-10,5803.1,5804.4,5753.5,5773.2,5773.2,0
2020-07-13,5773.2,5871.3,5773.2,5841.5,5841.5,0
2020-07-14,5841.5,5841.5,5796.7,5819.0,5819.0,0
2020-07-15,5819.0,5923.7,5819.0,5923.7,5923.7,0
2020-07-16,5923.7,5944.2,5857.3,5879.5,5879.5,0
2020-07-17,5879.5,5908.6,5872.2,5903.9,5903.9,0
2020-07-20,5903.9,5909.7,5860.3,5865.2,5865.2,0
2020-07-21,5865.2,6009.7,5865.2,6004.8,6004.8,0
2020-07-22,6004.8,6004.8,5901.8,5919.0,5919.0,0
2020-07-23,5919.0,5941.1,5889.8,5932.7,5932.7,0
2020-07-24,5932.7,5932.7,5857.8,5867.8,5867.8,0
2020-07-27,5867.8,5881.7,5855.6,5881.0,5881.0,0
2020-07-28,5881.0,5950.4,5858.8,5859.8,5859.8,0
2020-07-29,5859.8,5900.5,5854.4,5859.3,5859.3,0
2020-07-30,5859.3,5916.7,5859.3,5900.4,5900.4,0
2020-07-31,5900.4,5900.4,5749.3,5781.3,5781.3,0
2020-08-03,5781.3,5798.6,5714.9,5778.0,5778.0,0
2020-08-04,5778.0,5907.7,5778.0,5889.5,5889.5,0
2020-08-05,5889.5,5889.5,5808.2,5845.5,5845.5,0
2020-08-06,5845.5,5891.1,5845.5,5888.2,5888.2,0
2020-08-07,5888.2,5888.2,5837.7,5849.5,5849.5,0
2020-08-10,5849.5,5977.2,5849.5,5963.0,5963.0,0
2020-08-11,5963.0,6057.1,5963.0,6012.2,6012.2,0
2020-08-12,6012.2,6044.3,5991.0,6020.6,6020.6,0
2020-08-13,6020.6,6034.1,5946.8,5963.9,5963.9,0
2020-08-14,5963.9,6000.6,5963.2,5983.2,5983.2,0
2020-08-17,5983.2,5983.2,5915.1,5931.1,5931.1,0
2020-08-18,5931.1,5980.5,5917.3,5964.7,5964.7,0
2020-08-19,5964.7,6045.2,5962.1,6012.3,6012.3,0
2020-08-20,6012.3,6012.3,5922.3,5947.0,5947.0,0
2020-08-21,5947.0,5992.4,5926.5,5933.2,5933.2,0
2020-08-24,5933.2,5937.0,5904.5,5930.0,5930.0,0
2020-08-25,5930.0,5998.5,5926.9,5956.5,5956.5,0
2020-08-26,5956.5,5956.5,5870.5,5913.0,5913.0,0
2020-08-27,5913.0,5952.4,5907.2,5918.0,5918.0,0
2020-08-28,5918.0,5918.0,5858.3,5869.4,5869.4,0
2020-08-31,5869.4,5878.3,5845.3,5845.3,5845.3,0
2020-09-01,5845.3,5845.3,5698.8,5739.8,5739.8,0
2020-09-02,5739.8,5864.8,5739.8,5849.0,5849.0,0
2020-09-03,5849.0,5922.9,5848.2,5898.8,5898.8,0
2020-09-04,5898.8,5898.8,5717.0,5722.6,5722.6,0
2020-09-07,5722.6,5764.1,5677.6,5750.6,5750.6,0
2020-09-08,5750.6,5832.3,5750.6,5820.1,5820.1,0
2020-09-09,5820.1,5820.1,5663.7,5691.0,5691.0,0
2020-09-10,5691.0,5758.8,5674.8,5708.9,5708.9,0
2020-09-11,5708.9,5708.9,5644.2,5668.2,5668.2,0
2020-09-14,5668.2,5717.1,5668.2,5703.9,5703.9,0
2020-09-15,5703.9,5723.7,5676.3,5686.0,5686.0,0
2020-09-16,5686.0,5741.7,5686.0,5736.9,5736.9,0
2020-09-17,5736.9,5738.2,5673.9,5673.9,5673.9,0
2020-09-18,5673.9,5707.5,5650.7,5650.7,5650.7,0
2020-09-21,5650.7,5656.3,5598.9,5613.7,5613.7,0
2020-09-22,5613.7,5613.7,5552.6,5572.2,5572.2,0
2020-09-23,5572.2,5721.4,5572.2,5711.4,5711.4,0
2020-09-24,5711.4,5711.4,5620.6,5681.3,5681.3,0
2020-09-25,5681.3,5792.5,5681.3,5783.6,5783.6,0
2020-09-28,5783.6,5786.0,5746.0,5751.2,5751.2,0
2020-09-29,5751.2,5788.7,5720.8,5736.7,5736.7,0
2020-09-30,5736.7,5736.7,5600.0,5600.0,5600.0,0
2020-10-01,5600.0,5696.4,5600.0,5651.4,5651.4,0
2020-10-02,5651.4,5651.4,5559.8,5571.7,5571.7,0
2020-10-05,5571.7,5723.1,5571.7,5722.2,5722.2,0
2020-10-06,5722.2,5737.8,5682.2,5724.3,5724.3,0
2020-10-07,5724.3,5799.1,5704.0,5792.9,5792.9,0
2020-10-08,5792.9,5870.3,5792.9,5851.3,5851.3,0
2020-10-09,5851.3,5868.5,5824.3,5839.9,5839.9,0
2020-10-12,5839.9,5863.9,5821.6,5863.9,5863.9,0
2020-10-13,5863.9,5949.2,5863.9,5929.4,5929.4,0
2020-10-14,5929.4,5929.4,5902.5,5902.5,5902.5,0
2020-10-15,5902.5,5968.1,5902.5,5945.7,5945.7,0
2020-10-16,5945.7,5945.7,5891.1,5904.5,5904.5,0
2020-10-19,5904.5,5975.9,5904.5,5955.9,5955.9,0
2020-10-20,5955.9,5967.0,5901.9,5905.0,5905.0,0
2020-10-21,5905.0,5927.2,5902.2,5913.0,5913.0,0
2020-10-22,5913.0,5913.0,5826.9,5898.1,5898.1,0
2020-10-23,5898.1,5906.1,5875.9,5895.4,5895.4,0
2020-10-26,5895.4,5924.3,5885.3,5886.0,5886.0,0
2020-10-27,5886.0,5886.0,5775.6,5795.7,5795.7,0
2020-10-28,5795.7,5801.5,5756.0,5781.0,5781.0,0
2020-10-29,5781.0,5781.0,5678.1,5696.2,5696.2,0
2020-10-30,5696.2,5725.3,5672.5,5672.5,5672.5,0
2020-11-02,5672.5,5708.2,5650.6,5697.0,5697.0,0
2020-11-03,5697.0,5830.3,5697.0,5804.9,5804.9,0
2020-11-04,5804.9,5817.0,5716.6,5777.2,5777.2,0
2020-11-05,5777.2,5857.4,5775.9,5852.3,5852.3,0
2020-11-06,5852.3,5900.1,5852.3,5892.4,5892.4,0
2020-11-09,5892.5,5994.7,5892.4,5984.7,5984.7,0
2020-11-10,5984.7,6158.2,5984.7,6084.5,6084.5,0
2020-11-11,6084.5,6202.2,6084.5,6197.9,6197.9,0
2020-11-12,6197.9,6211.1,6140.3,6157.8,6157.8,0
2020-11-13,6157.8,6158.1,6108.4,6132.5,6132.5,0
2020-11-16,6132.5,6219.2,6132.5,6215.9,6215.9,0
2020-11-17,6215.9,6270.8,6215.9,6251.7,6251.7,0
2020-11-18,6251.7,6296.8,6245.8,6290.8,6290.8,0
2020-11-19,6290.8,6305.3,6254.3,6305.3,6305.3,0
2020-11-20,6305.3,6316.9,6290.4,6297.1,6297.1,0
2020-11-23,6297.1,6360.2,6297.1,6319.0,6319.0,0
2020-11-24,6319.0,6427.9,6319.0,6408.5,6408.5,0
2020-11-25,6408.5,6491.1,6408.5,6468.2,6468.2,0
2020-11-26,6468.2,6468.2,6408.4,6408.4,6408.4,0
2020-11-27,6408.4,6408.4,6353.4,6366.9,6366.9,0
2020-11-30,6366.9,6404.1,6277.7,6277.7,6277.7,0
2020-12-01,6277.7,6364.1,6264.8,6338.5,6338.5,0
2020-12-02,6338.5,6360.3,6305.4,6337.9,6337.9,0
2020-12-03,6337.9,6380.8,6337.9,6370.5,6370.5,0
2020-12-04,6370.5,6408.7,6367.7,6391.8,6391.8,0
2020-12-07,6391.8,6469.4,6391.8,6433.9,6433.9,0
2020-12-08,6433.9,6456.6,6409.0,6447.7,6447.7,0
2020-12-09,6447.7,6501.2,6447.7,6485.5,6485.5,0
2020-12-10,6485.5,6487.8,6452.9,6456.2,6456.2,0
2020-12-11,6456.2,6461.8,6391.0,6401.2,6401.2,0
2020-12-14,6401.2,6448.9,6401.2,6414.4,6414.4,0
2020-12-15,6414.4,6414.4,6383.4,6387.7,6387.7,0
2020-12-16,6387.7,6468.5,6387.7,6424.8,6424.8,0
2020-12-17,6424.8,6490.4,6424.8,6490.4,6490.4,0
2020-12-18,6490.4,6500.1,6409.0,6409.0,6409.0,0
2020-12-21,6409.0,6417.7,6374.1,6407.9,6407.9,0
2020-12-22,6407.9,6407.9,6330.3,6347.1,6347.1,0
2020-12-23,6347.1,6403.7,6347.1,6384.0,6384.0,0
2020-12-24,6384.0,6448.0,6384.0,6401.6,6401.6,0
2020-12-29,6401.6,6462.9,6401.6,6432.7,6432.7,0
2020-12-30,6432.7,6432.7,6367.0,6414.2,6414.2,0
2020-12-31,6414.2,6414.2,6312.2,6312.2,6312.2,0
2021-01-04,6312.2,6405.0,6312.2,6404.9,6404.9,0
2021-01-05,6404.9,6408.4,6358.8,6408.4,6408.4,0
2021-01-06,6408.4,6412.6,6317.4,6336.9,6336.9,0
2021-01-07,6336.9,6471.4,6336.9,6450.9,6450.9,0
2021-01-08,6450.9,6498.6,6448.0,6498.6,6498.6,0
2021-01-11,6498.6,6507.3,6442.1,6450.1,6450.1,0
2021-01-12,6450.1,6487.8,6436.6,6436.6,6436.6,0
2021-01-13,6436.6,6442.3,6411.2,6437.1,6437.1,0
2021-01-14,6437.1,6485.2,6425.4,6475.8,6475.8,0
2021-01-15,6475.8,6519.9,6475.8,6484.9,6484.9,0
2021-01-18,6484.9,6484.9,6413.3,6425.7,6425.7,0
2021-01-19,6425.7,6506.1,6425.7,6494.0,6494.0,0
2021-01-20,6494.0,6545.8,6494.0,6517.1,6517.1,0
2021-01-21,6517.1,6574.1,6517.1,6571.9,6571.9,0
2021-01-22,6571.9,6574.5,6541.5,6550.0,6550.0,0
2021-01-25,6550.0,6585.5,6550.0,6574.7,6574.7,0
2021-01-27,6574.7,6574.7,6508.8,6530.7,6530.7,0
2021-01-28,6530.7,6530.7,6356.9,6412.6,6412.6,0
2021-01-29,6412.6,6483.4,6332.3,6356.0,6356.0,0
2021-02-01,6356.0,6431.1,6271.8,6418.8,6418.8,0
2021-02-02,6418.8,6524.3,6418.8,6511.1,6511.1,0
2021-02-03,6511.1,6590.1,6511.1,6561.8,6561.8,0
2021-02-04,6561.8,6563.0,6495.2,6507.4,6507.4,0
2021-02-05,6507.4,6585.4,6507.4,6578.4,6578.4,0
2021-02-08,6578.4,6637.0,6578.4,6615.5,6615.5,0
2021-02-09,6615.5,6640.5,6560.5,6560.5,6560.5,0
2021-02-10,6560.5,6605.6,6560.5,6591.7,6591.7,0
2021-02-11,6591.7,6615.7,6577.4,6600.0,6600.0,0
2021-02-12,6600.0,6603.2,6555.3,6559.0,6559.0,0
2021-02-15,6559.0,6625.5,6559.0,6609.0,6609.0,0
2021-02-16,6609.0,6658.0,6609.0,6658.0,6658.0,0
2021-02-17,6658.0,6682.9,6615.9,6639.4,6639.4,0
2021-02-18,6639.4,6673.2,6631.7,6652.2,6652.2,0
2021-02-19,6652.2,6654.9,6539.8,6563.6,6563.6,0
