,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume,StockCode
0,7080.9,7080.9,2020-02-05,7109.9,7047.6,7047.6,AORD,0,AORD
1,7148.7,7148.7,2020-02-06,7149.4,7080.9,7080.9,AORD,0,AORD
2,7121.4,7121.4,2020-02-07,7150.6,7101.5,7148.7,AORD,0,AORD
3,7108.0,7108.0,2020-02-10,7122.4,7079.2,7121.4,AORD,0,AORD
4,7151.4,7151.4,2020-02-11,7165.9,7108.0,7108.0,AORD,0,AORD
5,7185.3,7185.3,2020-02-12,7194.6,7151.2,7151.4,AORD,0,AORD
6,7204.6,7204.6,2020-02-13,7244.1,7185.3,7185.3,AORD,0,AORD
7,7227.1,7227.1,2020-02-14,7235.6,7199.8,7204.6,AORD,0,AORD
8,7221.2,7221.2,2020-02-17,7234.9,7202.2,7227.1,AORD,0,AORD
9,7208.3,7208.3,2020-02-18,7221.2,7192.5,7221.2,AORD,0,AORD
10,7237.4,7237.4,2020-02-19,7237.4,7199.0,7208.3,AORD,0,AORD
11,7255.2,7255.2,2020-02-20,7289.7,7237.4,7237.4,AORD,0,AORD
12,7230.4,7230.4,2020-02-21,7255.8,7227.8,7255.2,AORD,0,AORD
13,7065.4,7065.4,2020-02-24,7230.4,7058.3,7230.4,AORD,0,AORD
14,6953.8,6953.8,2020-02-25,7065.4,6881.1,7065.4,AORD,0,AORD
15,6790.7,6790.7,2020-02-26,6953.8,6773.0,6953.8,AORD,0,AORD
16,6737.4,6737.4,2020-02-27,6810.2,6712.7,6790.7,AORD,0,AORD
17,6511.5,6511.5,2020-02-28,6737.4,6498.8,6737.4,AORD,0,AORD
18,6461.1,6461.1,2020-03-02,6511.5,6307.8,6511.5,AORD,0,AORD
19,6398.5,6398.5,2020-03-04,6511.6,6384.3,6511.6,AORD,0,AORD
20,6472.4,6472.4,2020-03-05,6524.7,6398.5,6398.5,AORD,0,AORD
21,6287.5,6287.5,2020-03-06,6472.4,6287.5,6472.4,AORD,0,AORD
