Date,Open,High,Low,Close,Adj_Close,Volume
2/5/2020,3850.7,3882.7,3850.7,3858.8,3858.8,0
2/6/2020,3858.8,3909.2,3858.8,3907.6,3907.6,0
2/7/2020,3907.6,3908.6,3882,3896,3896,0
2/10/2020,3896,3899.3,3874.6,3892.2,3892.2,0
2/11/2020,3892.2,3918.8,3892.2,3913.7,3913.7,0
2/12/2020,3913.7,3943.6,3913.7,3936.4,3936.4,0
2/13/2020,3936.4,3974.8,3936.4,3951.4,3951.4,0
2/14/2020,3951.4,3981.5,3951.4,3978.1,3978.1,0
2/17/2020,3978.1,3981.4,3957,3968.1,3968.1,0
2/18/2020,3968.1,3974.8,3958.3,3973,3973,0
2/19/2020,3973,3981.8,3958.8,3981.8,3981.8,0
2/20/2020,3981.8,4005.4,3978.6,3987.8,3987.8,0
2/21/2020,3987.8,3991.1,3973.3,3985.2,3985.2,0
2/24/2020,3985.2,3985.2,3894.7,3906,3906,0
2/25/2020,3906,3906,3807.5,3845,3845,0
2/26/2020,3845,3845,3748.8,3757.3,3757.3,0
2/27/2020,3757.3,3767.6,3711.5,3731.7,3731.7,0
2/28/2020,3731.7,3731.7,3605.7,3615.9,3615.9,0
3/2/2020,3615.9,3615.9,3503.3,3581.5,3581.5,0
3/4/2020,3592,3592,3518.6,3524.9,3524.9,0
3/5/2020,3524.9,3586.6,3524.9,3562.3,3562.3,0
3/6/2020,3562.3,3562.3,3463.5,3463.5,3463.5,0
3/9/2020,3463.5,3463.5,3221.7,3221.7,3221.7,0
3/10/2020,3221.7,3336.1,3088.2,3336.1,3336.1,0
3/11/2020,3336.1,3357.1,3201.3,3201.3,3201.3,0
3/12/2020,3201.3,3201.3,2954.3,2954.3,2954.3,0
3/13/2020,2954.3,3104.4,2714.8,3104.4,3104.4,0
3/16/2020,3104.4,3104.4,2820,2820,2820,0
3/17/2020,2820,3039,2820,3026.6,3026.6,0
3/18/2020,3026.6,3026.6,2787.6,2826.7,2826.7,0
3/19/2020,2826.7,2943,2720.7,2750.7,2750.7,0
3/20/2020,2750.7,2884.4,2746.4,2757.7,2757.7,0
3/23/2020,2757.7,2757.7,2519.3,2633.3,2633.3,0
3/24/2020,2633.3,2729.4,2633.3,2727.7,2727.7,0
3/25/2020,2727.7,2896.4,2727.7,2896.4,2896.4,0
3/26/2020,2896.4,2970.2,2877.4,2945.2,2945.2,0
3/27/2020,2945.2,3013.6,2762.4,2762.4,2762.4,0
3/30/2020,2762.4,2980.6,2753.2,2980.6,2980.6,0
3/31/2020,2980.6,3089.1,2851.6,2902.9,2902.9,0
4/1/2020,2902.9,3005.6,2902.9,2995.6,2995.6,0
4/2/2020,2995.6,2995.6,2882.8,2939.8,2939.8,0
4/3/2020,2939.8,2988.8,2871.9,2897.8,2897.8,0
4/6/2020,2897.8,3039.5,2897.8,3029.4,3029.4,0
4/7/2020,3029.4,3103.6,2948.2,2988.4,2988.4,0
4/8/2020,2988.4,3011.4,2905.5,2937.1,2937.1,0
4/9/2020,2937.1,3047.2,2937.1,3047.2,3047.2,0
4/13/2020,3047.2,3047.2,3047.2,3047.2,3047.2,0
