Date,Open,High,Low,Close,Adj_Close,Volume
2020-02-05,6891.0,6950.4,6891.0,6917.6,6917.6,0
2020-02-06,6917.6,6990.4,6917.6,6989.6,6989.6,0
2020-02-07,6989.6,6991.3,6942.2,6962.6,6962.6,0
2020-02-10,6962.6,6964.4,6923.1,6953.6,6953.6,0
2020-02-11,6953.6,7010.4,6953.6,6995.8,6995.8,0
2020-02-12,6995.8,7039.1,6994.1,7029.3,7029.3,0
2020-02-13,7029.3,7088.8,7029.3,7046.1,7046.1,0
2020-02-14,7046.1,7082.8,7044.8,7074.8,7074.8,0
2020-02-17,7074.8,7081.5,7048.1,7068.4,7068.4,0
2020-02-18,7068.4,7068.4,7039.8,7057.0,7057.0,0
2020-02-19,7057.0,7088.1,7046.0,7088.1,7088.1,0
2020-02-20,7088.1,7140.0,7088.1,7105.3,7105.3,0
2020-02-21,7105.3,7105.3,7076.8,7080.7,7080.7,0
2020-02-24,7080.7,7080.7,6909.3,6919.7,6919.7,0
2020-02-25,6919.7,6919.7,6741.8,6808.6,6808.6,0
2020-02-26,6808.6,6808.6,6633.3,6651.3,6651.3,0
2020-02-27,6651.3,6670.8,6574.0,6601.3,6601.3,0
2020-02-28,6601.3,6601.3,6370.3,6383.8,6383.8,0
2020-03-02,6383.8,6383.8,6187.8,6334.1,6334.1,0
2020-03-04,6377.1,6377.1,6251.4,6266.4,6266.4,0
2020-03-05,6266.4,6385.8,6266.4,6335.3,6335.3,0
2020-03-06,6335.3,6335.3,6158.6,6158.6,6158.6,0
2020-03-09,6158.6,6158.6,5702.7,5702.7,5702.7,0
2020-03-10,5702.7,5882.9,5480.7,5882.9,5882.9,0
2020-03-11,5882.9,5917.1,5671.3,5671.3,5671.3,0
2020-03-12,5671.3,5671.3,5237.6,5253.4,5253.4,0
2020-03-13,5253.4,5490.6,4826.9,5490.6,5490.6,0
2020-03-16,5490.6,5490.6,4953.2,4953.2,4953.2,0
2020-03-17,4953.2,5256.8,4948.9,5246.5,5246.5,0
2020-03-18,5246.5,5246.5,4837.2,4902.1,4902.1,0
2020-03-19,4902.1,5050.3,4686.8,4727.6,4727.6,0
2020-03-20,4727.6,4961.0,4727.6,4762.7,4762.7,0
2020-03-23,4762.7,4762.7,4352.2,4493.7,4493.7,0
2020-03-24,4493.7,4681.3,4493.7,4681.3,4681.3,0
2020-03-25,4681.3,4969.6,4681.3,4945.3,4945.3,0
2020-03-26,4945.3,5119.4,4945.3,5060.2,5060.2,0
2020-03-27,5060.2,5181.0,4787.7,4787.7,4787.7,0
2020-03-30,4787.7,5124.1,4778.5,5124.1,5124.1,0
2020-03-31,5124.1,5306.9,4947.9,5019.5,5019.5,0
2020-04-01,5019.5,5214.3,5019.5,5201.8,5201.8,0
2020-04-02,5201.8,5201.8,5008.9,5097.6,5097.6,0
2020-04-03,5097.6,5189.5,4965.5,5009.7,5009.7,0
2020-04-06,5009.7,5244.8,5009.7,5229.2,5229.2,0
2020-04-07,5229.2,5366.5,5131.8,5196.7,5196.7,0
2020-04-08,5196.7,5263.6,5066.0,5150.3,5150.3,0
2020-04-09,5150.3,5332.3,5150.3,5332.3,5332.3,0
2020-04-13,5332.3,5332.3,5332.3,5332.3,5332.3,0
2020-04-14,5332.3,5434.1,5304.1,5431.8,5431.8,0
2020-04-15,5431.8,5476.7,5360.7,5411.0,5411.0,0
2020-04-16,5411.0,5411.0,5290.2,5360.0,5360.0,0
2020-04-17,5360.0,5507.5,5360.0,5431.6,5431.6,0
2020-04-20,5431.6,5434.4,5295.6,5295.6,5295.6,0
2020-04-21,5295.6,5295.6,5159.2,5165.4,5165.4,0
2020-04-22,5165.4,5197.5,5046.0,5167.2,5167.2,0
2020-04-23,5167.2,5228.6,5128.9,5164.4,5164.4,0
2020-04-24,5164.4,5213.3,5156.3,5192.5,5192.5,0
2020-04-27,5192.5,5280.2,5165.7,5272.2,5272.2,0
2020-04-28,5272.2,5322.0,5220.7,5260.7,5260.7,0
2020-04-29,5260.7,5340.2,5258.6,5340.2,5340.2,0
2020-04-30,5340.2,5497.1,5340.2,5471.2,5471.2,0
2020-05-01,5471.2,5471.2,5193.0,5193.0,5193.0,0
2020-05-04,5193.0,5276.2,5117.3,5267.6,5267.6,0
2020-05-05,5267.6,5356.7,5267.6,5356.7,5356.7,0
2020-05-06,5356.7,5358.1,5294.1,5333.7,5333.7,0
2020-05-07,5333.7,5337.5,5296.2,5313.3,5313.3,0
2020-05-08,5313.3,5377.6,5313.3,5339.9,5339.9,0
2020-05-11,5339.9,5437.3,5339.9,5409.5,5409.5,0
2020-05-12,5409.5,5409.5,5319.5,5348.6,5348.6,0
2020-05-13,5348.6,5365.9,5246.7,5365.9,5365.9,0
2020-05-14,5365.9,5365.9,5274.6,5274.6,5274.6,0
2020-05-15,5274.6,5358.5,5274.6,5351.3,5351.3,0
2020-05-18,5351.3,5432.9,5351.3,5407.5,5407.5,0
2020-05-19,5407.5,5552.7,5407.5,5506.0,5506.0,0
2020-05-20,5506.0,5535.9,5455.1,5521.9,5521.9,0
2020-05-21,5521.9,5560.4,5494.4,5499.9,5499.9,0
2020-05-22,5499.9,5519.1,5443.7,5446.0,5446.0,0
2020-05-25,5446.0,5563.1,5446.0,5563.1,5563.1,0
2020-05-26,5563.1,5727.1,5563.1,5727.1,5727.1,0
2020-05-27,5727.1,5784.2,5661.7,5723.2,5723.2,0
2020-05-28,5723.2,5871.2,5723.2,5799.6,5799.6,0
2020-05-29,5799.6,5799.6,5705.3,5705.3,5705.3,0
2020-06-01,5705.3,5768.8,5654.6,5768.8,5768.8,0
2020-06-02,5768.8,5808.0,5749.9,5784.2,5784.2,0
2020-06-03,5784.2,5893.6,5784.2,5891.1,5891.1,0
2020-06-04,5891.1,5987.7,5891.1,5940.0,5940.0,0
2020-06-05,5940.0,5966.9,5911.6,5947.5,5947.5,0
2020-06-08,5947.5,5947.5,5947.5,5947.5,5947.5,0
2020-06-09,5947.5,6148.1,5947.5,6095.0,6095.0,0
2020-06-10,6095.0,6134.8,6041.0,6101.5,6101.5,0
2020-06-11,6101.5,6101.5,5903.9,5915.0,5915.0,0
2020-06-12,5915.0,5915.0,5710.7,5801.6,5801.6,0
2020-06-15,5801.6,5811.5,5673.6,5673.6,5673.6,0
2020-06-16,5673.6,5926.6,5673.6,5893.1,5893.1,0
2020-06-17,5893.1,5940.0,5879.8,5940.0,5940.0,0
2020-06-18,5940.0,5940.0,5836.4,5884.7,5884.7,0
2020-06-19,5884.7,5954.4,5879.4,5891.6,5891.6,0
2020-06-22,5891.6,5920.4,5829.4,5892.4,5892.4,0
2020-06-23,5892.4,5947.5,5830.8,5901.7,5901.7,0
2020-06-24,5901.7,5940.8,5890.2,5913.6,5913.6,0
2020-06-25,5913.6,5913.6,5765.6,5765.6,5765.6,0
2020-06-26,5765.6,5860.5,5765.6,5850.9,5850.9,0
2020-06-29,5850.9,5850.9,5720.5,5762.3,5762.3,0
2020-06-30,5762.3,5900.1,5762.3,5842.7,5842.7,0
2020-07-01,5842.7,5899.7,5837.4,5880.7,5880.7,0
2020-07-02,5880.7,5980.4,5880.7,5978.3,5978.3,0
2020-07-03,5978.3,6045.1,5965.2,6001.4,6001.4,0
2020-07-06,6001.4,6023.8,5960.1,5960.1,5960.1,0
2020-07-07,5960.1,6022.1,5948.6,5957.4,5957.4,0
2020-07-08,5957.4,5963.5,5865.8,5865.8,5865.8,0
2020-07-09,5865.8,5944.6,5865.8,5901.5,5901.5,0
2020-07-10,5901.5,5902.5,5845.7,5865.3,5865.3,0
2020-07-13,5865.3,5953.1,5865.3,5922.5,5922.5,0
2020-07-14,5922.5,5922.5,5863.6,5886.1,5886.1,0
2020-07-15,5886.1,5996.8,5886.1,5996.8,5996.8,0
2020-07-16,5996.8,6022.1,5934.5,5955.4,5955.4,0
2020-07-17,5955.4,5986.5,5943.7,5978.3,5978.3,0
2020-07-20,5978.3,5983.6,5936.2,5946.0,5946.0,0
2020-07-21,5946.0,6104.6,5946.0,6100.4,6100.4,0
2020-07-22,6100.4,6100.4,6001.5,6021.0,6021.0,0
2020-07-23,6021.0,6048.9,5998.3,6041.1,6041.1,0
2020-07-24,6041.1,6041.1,5957.2,5970.2,5970.2,0
2020-07-27,5970.2,5990.7,5959.6,5990.4,5990.4,0
2020-07-28,5990.4,6060.6,5966.4,5967.0,5967.0,0
2020-07-29,5967.0,5998.0,5947.6,5953.1,5953.1,0
2020-07-30,5953.1,6014.3,5953.1,5998.7,5998.7,0
2020-07-31,5998.7,5998.7,5842.3,5876.5,5876.5,0
2020-08-03,5876.5,5894.8,5808.9,5873.7,5873.7,0
2020-08-04,5873.7,6005.8,5873.7,5984.1,5984.1,0
2020-08-05,5984.1,5984.1,5912.4,5949.3,5949.3,0
2020-08-06,5949.3,5999.3,5949.3,5993.0,5993.0,0
2020-08-07,5993.0,5993.0,5945.5,5957.1,5957.1,0
2020-08-10,5957.1,6076.9,5957.1,6062.1,6062.1,0
2020-08-11,6062.1,6136.2,6062.1,6089.0,6089.0,0
2020-08-12,6089.0,6104.7,6051.4,6082.0,6082.0,0
2020-08-13,6082.0,6107.1,6026.4,6041.4,6041.4,0
2020-08-14,6041.4,6088.7,6041.4,6075.7,6075.7,0
2020-08-17,6075.7,6075.7,6009.6,6026.5,6026.5,0
2020-08-18,6026.5,6088.1,6025.6,6072.5,6072.5,0
2020-08-19,6072.5,6145.8,6072.5,6117.6,6117.6,0
2020-08-20,6117.6,6117.6,6046.8,6069.8,6069.8,0
2020-08-21,6069.8,6117.8,6056.3,6062.8,6062.8,0
2020-08-24,6062.8,6086.1,6046.3,6080.9,6080.9,0
2020-08-25,6080.9,6151.7,6080.9,6113.7,6113.7,0
2020-08-26,6113.7,6113.7,6031.9,6067.9,6067.9,0
2020-08-27,6067.9,6111.1,6067.9,6078.0,6078.0,0
2020-08-28,6078.0,6078.0,6007.8,6025.3,6025.3,0
2020-08-31,6025.3,6046.2,6013.4,6013.4,6013.4,0
2020-09-01,6013.4,6013.4,5863.4,5907.8,5907.8,0
2020-09-02,5907.8,6028.9,5907.8,6016.7,6016.7,0
2020-09-03,6016.7,6082.2,6016.7,6064.2,6064.2,0
2020-09-04,6064.2,6064.2,5872.2,5878.4,5878.4,0
2020-09-07,5878.4,5912.2,5823.9,5898.6,5898.6,0
2020-09-08,5898.6,5977.9,5898.6,5960.8,5960.8,0
2020-09-09,5960.8,5960.8,5803.5,5831.9,5831.9,0
2020-09-10,5831.9,5908.5,5828.3,5861.8,5861.8,0
2020-09-11,5861.8,5861.8,5789.3,5812.8,5812.8,0
2020-09-14,5812.8,5857.5,5812.8,5853.4,5853.4,0
2020-09-15,5853.4,5872.7,5838.5,5849.3,5849.3,0
2020-09-16,5849.3,5912.9,5849.3,5910.7,5910.7,0
2020-09-17,5910.7,5910.9,5838.0,5838.0,5838.0,0
2020-09-18,5838.0,5875.6,5819.5,5819.5,5819.5,0
2020-09-21,5819.5,5824.1,5763.8,5778.4,5778.4,0
2020-09-22,5778.4,5778.4,5719.0,5739.6,5739.6,0
2020-09-23,5739.6,5889.0,5739.6,5879.5,5879.5,0
2020-09-24,5879.5,5879.5,5781.6,5833.2,5833.2,0
2020-09-25,5833.2,5931.3,5833.2,5922.4,5922.4,0
2020-09-28,5922.4,5933.6,5897.4,5909.1,5909.1,0
2020-09-29,5909.1,5951.5,5891.9,5909.2,5909.2,0
2020-09-30,5909.2,5909.2,5771.9,5771.9,5771.9,0
2020-10-01,5771.9,5871.2,5771.9,5828.1,5828.1,0
2020-10-02,5828.1,5828.1,5735.6,5747.5,5747.5,0
2020-10-05,5747.5,5898.2,5747.5,5897.3,5897.3,0
2020-10-06,5897.3,5919.4,5868.0,5918.0,5918.0,0
2020-10-07,5918.0,6000.4,5900.3,5992.9,5992.9,0
2020-10-08,5992.9,6079.1,5992.9,6058.0,6058.0,0
2020-10-09,6057.9,6082.4,6042.5,6057.4,6057.4,0
2020-10-12,6057.4,6086.8,6048.2,6086.8,6086.8,0
