Date,Open,High,Low,Close,Adj_Close,Volume
2020-04-13,92081.2,92081.2,92081.2,92081.2,92081.2,0
2020-06-04,97124.9,97124.9,97124.9,97124.9,97124.9,0
2020-06-08,96682.1,96682.1,96682.1,96682.1,96682.1,0
2020-06-22,96748.7,96748.7,96748.7,96748.7,96748.7,0
2020-06-23,97048.5,97048.5,97048.5,97048.5,97048.5,0
2020-06-24,97249.2,97249.2,97249.2,97249.2,97249.2,0
2020-06-25,97522.9,97522.9,97522.9,97522.9,97522.9,0
2020-06-26,96107.0,96107.0,96107.0,96107.0,96107.0,0
2020-06-29,97185.6,97185.6,97185.6,97185.6,97185.6,0
2020-06-30,95963.2,95963.2,95963.2,95963.2,95963.2,0
2020-07-01,96891.9,96891.9,96891.9,96891.9,96891.9,0
2020-07-02,97488.6,97488.6,97488.6,97488.6,97488.6,0
2020-07-03,98232.1,98232.1,98232.1,98232.1,98232.1,0
2020-07-06,98531.3,98531.3,98531.3,98531.3,98531.3,0
2020-07-07,98362.3,98362.3,98362.3,98362.3,98362.3,0
2020-07-08,98349.7,98349.7,98349.7,98349.7,98349.7,0
2020-07-09,97679.5,97679.5,97679.5,97679.5,97679.5,0
2020-07-10,98187.9,98187.9,98187.9,98187.9,98187.9,0
2020-07-13,98030.0,98030.0,98030.0,98030.0,98030.0,0
2020-07-14,98599.0,98599.0,98599.0,98599.0,98599.0,0
2020-07-15,98137.1,98137.1,98137.1,98137.1,98137.1,0
2020-07-16,99098.7,99098.7,99098.7,99098.7,99098.7,0
2020-07-17,99015.7,99015.7,99015.7,99015.7,99015.7,0
2020-07-27,99528.9,99528.9,99528.9,99528.9,99528.9,0
2020-08-20,1953.0,1953.0,1953.0,1953.0,1953.0,0
2020-08-24,1683.3,1683.3,1683.3,1683.3,1683.3,0
2020-08-31,1969.0,1969.0,1969.0,1969.0,1969.0,0
2020-09-14,718.8,718.8,718.8,718.8,718.8,0
2020-09-21,1590.8,1590.8,1590.8,1590.8,1590.8,0
2020-10-20,5279.3,5279.3,5279.3,5279.3,5279.3,0
2020-10-26,4981.0,4981.0,4981.0,4981.0,4981.0,0
2020-11-02,3437.6,3437.6,3437.6,3437.6,3437.6,0
2020-11-16,6899.1,6899.1,6899.1,6899.1,6899.1,0
2020-12-09,7386.8,7386.8,7386.8,7386.8,7386.8,0
2021-01-06,7834.7,7834.7,7834.7,7834.7,7834.7,0
2021-01-07,6943.9,6943.9,6943.9,6943.9,6943.9,0
2021-01-08,7978.1,7978.1,7978.1,7978.1,7978.1,0
2021-01-11,8425.7,8425.7,8425.7,8425.7,8425.7,0
