Date,Open,High,Low,Close,Adj_Close,Volume
2020-02-05,10988.7,11074.3,10988.7,11058.0,11058.0,0
2020-02-06,11058.0,11255.6,11058.0,11234.6,11234.6,0
2020-02-07,11234.6,11234.6,11025.0,11047.4,11047.4,0
2020-02-10,11047.4,11051.2,10869.0,10945.3,10945.3,0
2020-02-11,10945.3,11000.4,10898.9,10998.3,10998.3,0
2020-02-12,10998.3,11047.1,10959.9,10959.9,10959.9,0
2020-02-13,10959.9,11149.5,10959.9,11022.3,11022.3,0
2020-02-14,11022.3,11030.2,10890.0,10890.0,10890.0,0
2020-02-17,10890.0,10986.0,10890.0,10967.9,10967.9,0
2020-02-18,10967.9,10967.9,10845.0,10854.2,10854.2,0
2020-02-19,10854.3,10988.9,10854.2,10968.1,10968.1,0
2020-02-20,10968.1,11103.6,10967.1,10988.2,10988.2,0
2020-02-21,10988.2,11013.1,10876.2,10876.2,10876.2,0
2020-02-24,10876.2,10876.2,10419.5,10446.8,10446.8,0
2020-02-25,10446.8,10446.8,10131.0,10213.0,10213.0,0
2020-02-26,10213.0,10213.0,9936.2,9973.5,9973.5,0
2020-02-27,9973.5,9973.5,9713.1,9776.5,9776.5,0
2020-02-28,9776.5,9776.5,9362.1,9479.1,9479.1,0
2020-03-02,9479.1,9629.3,9209.0,9587.4,9587.4,0
2020-03-04,9557.1,9557.1,9286.5,9314.4,9314.4,0
2020-03-05,9314.4,9489.6,9314.4,9367.6,9367.6,0
2020-03-06,9367.6,9367.6,9085.4,9085.5,9085.5,0
2020-03-09,9085.5,9085.5,7267.7,7267.7,7267.7,0
2020-03-10,7267.7,7785.6,6936.2,7511.4,7511.4,0
2020-03-11,7511.4,7736.6,7256.5,7256.5,7256.5,0
2020-03-12,7256.5,7256.5,6499.2,6659.6,6659.6,0
2020-03-13,6659.6,7209.8,5989.2,7209.8,7209.8,0
2020-03-16,7209.8,7209.8,6239.2,6239.2,6239.2,0
2020-03-17,6239.2,6418.1,5969.7,6266.0,6266.0,0
2020-03-18,6266.0,6266.0,5600.0,5600.0,5600.0,0
2020-03-19,5600.0,5600.0,5145.2,5195.6,5195.6,0
2020-03-20,5195.6,5648.8,5195.6,5430.8,5430.8,0
2020-03-23,5430.8,5430.8,4960.8,5022.7,5022.7,0
2020-03-24,5022.7,5405.9,5022.7,5405.9,5405.9,0
2020-03-25,5405.9,5825.1,5405.9,5713.3,5713.3,0
2020-03-26,5713.3,6072.9,5713.3,5968.8,5968.8,0
2020-03-27,5968.8,6191.7,5630.4,5644.3,5644.3,0
2020-03-30,5644.3,5852.7,5528.0,5852.7,5852.7,0
