Date,Open,High,Low,Close,Adj_Close,Volume
2020-02-05,1558.3,1592.7,1558.3,1590.7,1590.7,0
2020-02-06,1590.7,1608.2,1581.2,1594.9,1594.9,0
2020-02-07,1594.9,1599.3,1582.1,1587.8,1587.8,0
2020-02-10,1587.8,1590.2,1568.1,1570.8,1570.8,0
2020-02-11,1570.8,1599.3,1570.8,1597.5,1597.5,0
2020-02-12,1597.5,1607.5,1578.1,1588.9,1588.9,0
2020-02-13,1588.9,1612.8,1588.9,1594.2,1594.2,0
2020-02-14,1594.2,1595.2,1575.6,1586.7,1586.7,0
2020-02-17,1586.7,1604.5,1586.7,1604.4,1604.4,0
2020-02-18,1604.4,1604.4,1552.2,1585.6,1585.6,0
2020-02-19,1585.6,1585.6,1528.7,1535.8,1535.8,0
2020-02-20,1535.8,1551.2,1507.8,1509.5,1509.5,0
2020-02-21,1509.5,1511.5,1493.7,1495.0,1495.0,0
2020-02-24,1495.0,1495.0,1436.5,1436.5,1436.5,0
2020-02-25,1436.5,1444.3,1368.2,1432.6,1432.6,0
2020-02-26,1432.6,1432.6,1376.8,1380.9,1380.9,0
2020-02-27,1380.9,1398.6,1348.3,1351.1,1351.1,0
2020-02-28,1351.1,1351.1,1280.0,1287.5,1287.5,0
2020-03-02,1287.5,1304.5,1259.1,1298.4,1298.4,0
2020-03-04,1331.1,1331.1,1275.5,1275.5,1275.5,0
2020-03-05,1275.5,1315.5,1275.5,1294.3,1294.3,0
2020-03-06,1294.3,1294.3,1240.1,1240.1,1240.1,0
2020-03-09,1240.1,1240.1,1127.5,1128.0,1128.0,0
2020-03-10,1128.0,1182.5,1084.0,1180.6,1180.6,0
2020-03-11,1180.6,1190.7,1139.4,1139.4,1139.4,0
2020-03-12,1139.4,1139.4,1041.8,1055.7,1055.7,0
2020-03-13,1055.7,1092.7,977.5,1092.7,1092.7,0
2020-03-16,1092.7,1092.7,978.0,978.0,978.0,0
2020-03-17,978.0,1024.0,954.2,1023.5,1023.5,0
2020-03-18,1023.5,1023.5,908.0,923.3,923.3,0
2020-03-19,923.3,959.0,883.8,892.8,892.8,0
2020-03-20,892.8,963.7,892.8,914.1,914.1,0
2020-03-23,914.1,914.1,818.9,847.9,847.9,0
2020-03-24,847.9,912.8,847.9,904.2,904.2,0
2020-03-25,904.2,983.4,904.2,946.4,946.4,0
2020-03-26,946.4,1029.5,946.4,1016.8,1016.8,0
2020-03-27,1016.8,1077.3,982.0,991.6,991.6,0
2020-03-30,991.6,1045.3,981.5,1045.3,1045.3,0
2020-03-31,1045.3,1099.5,1037.3,1056.3,1056.3,0
2020-04-01,1056.3,1091.0,1056.3,1084.1,1084.1,0
2020-04-02,1084.1,1084.1,1040.9,1045.0,1045.0,0
2020-04-03,1045.0,1083.7,1022.3,1028.8,1028.8,0
2020-04-06,1028.8,1077.8,1028.8,1072.6,1072.6,0
2020-04-07,1072.6,1124.9,1072.6,1101.3,1101.3,0
2020-04-08,1101.3,1112.2,1072.6,1095.0,1095.0,0
2020-04-09,1095.0,1146.9,1095.0,1146.9,1146.9,0
2020-04-13,1146.9,1146.9,1146.9,1146.9,1146.9,0
2020-04-14,1146.9,1213.3,1146.9,1213.3,1213.3,0
2020-04-15,1213.3,1231.2,1205.4,1217.2,1217.2,0
2020-04-16,1217.2,1217.2,1189.9,1201.9,1201.9,0
2020-04-17,1201.9,1251.9,1201.9,1224.0,1224.0,0
2020-04-20,1224.0,1234.0,1213.3,1215.8,1215.8,0
2020-04-21,1215.8,1215.8,1151.1,1156.5,1156.5,0
2020-04-22,1156.5,1167.5,1124.2,1160.0,1160.0,0
2020-04-23,1160.0,1186.3,1156.4,1164.9,1164.9,0
2020-04-24,1164.9,1179.5,1157.4,1167.6,1167.6,0
2020-04-27,1167.6,1212.8,1167.6,1209.9,1209.9,0
2020-04-28,1209.9,1229.9,1209.9,1224.4,1224.4,0
2020-04-29,1224.4,1233.7,1210.1,1233.7,1233.7,0
2020-04-30,1233.7,1298.2,1233.7,1294.3,1294.3,0
2020-05-01,1294.3,1294.3,1244.8,1244.8,1244.8,0
2020-05-04,1244.8,1310.2,1244.8,1307.5,1307.5,0
2020-05-05,1307.5,1344.3,1307.5,1344.1,1344.1,0
2020-05-06,1344.1,1365.5,1340.0,1365.2,1365.2,0
2020-05-07,1365.2,1375.7,1351.6,1374.7,1374.7,0
2020-05-08,1374.7,1394.6,1374.7,1385.9,1385.9,0
2020-05-11,1385.9,1420.4,1385.9,1411.8,1411.8,0
2020-05-12,1411.8,1411.8,1383.0,1398.9,1398.9,0
2020-05-13,1398.9,1406.2,1358.6,1406.2,1406.2,0
2020-05-14,1406.2,1406.2,1366.2,1366.2,1366.2,0
2020-05-15,1366.2,1378.7,1338.1,1352.3,1352.3,0
2020-05-18,1352.3,1385.3,1352.3,1375.7,1375.7,0
2020-05-19,1375.7,1407.3,1375.7,1392.1,1392.1,0
2020-05-20,1392.1,1433.1,1387.6,1422.3,1422.3,0
2020-05-21,1422.3,1445.8,1422.3,1429.7,1429.7,0
2020-05-22,1429.7,1444.1,1426.6,1429.7,1429.7,0
2020-05-25,1429.7,1481.3,1429.7,1481.3,1481.3,0
2020-05-26,1481.3,1519.0,1481.3,1515.5,1515.5,0
2020-05-27,1515.5,1515.5,1471.7,1477.8,1477.8,0
2020-05-28,1477.8,1501.1,1474.7,1479.2,1479.2,0
2020-05-29,1479.2,1490.7,1469.1,1482.1,1482.1,0
2020-06-01,1482.1,1495.8,1466.5,1488.0,1488.0,0
2020-06-02,1488.0,1511.7,1485.8,1507.9,1507.9,0
2020-06-03,1507.9,1548.4,1507.9,1547.9,1547.9,0
2020-06-04,1547.9,1567.4,1537.9,1546.8,1546.8,0
2020-06-05,1546.8,1546.8,1511.7,1518.8,1518.8,0
2020-06-08,1518.8,1518.8,1518.8,1518.8,1518.8,0
2020-06-09,1518.8,1536.3,1494.2,1496.8,1496.8,0
2020-06-10,1496.8,1549.3,1495.9,1543.1,1543.1,0
2020-06-11,1543.1,1543.1,1496.9,1504.7,1504.7,0
2020-06-12,1504.7,1504.7,1431.7,1479.2,1479.2,0
2020-06-15,1479.2,1510.3,1455.5,1455.5,1455.5,0
2020-06-16,1455.5,1541.2,1455.5,1538.8,1538.8,0
2020-06-17,1538.8,1572.4,1538.8,1572.4,1572.4,0
2020-06-18,1572.4,1584.1,1556.4,1566.3,1566.3,0
2020-06-19,1566.3,1609.9,1566.3,1595.1,1595.1,0
2020-06-22,1595.1,1595.1,1555.8,1567.5,1567.5,0
2020-06-23,1567.5,1608.1,1547.7,1572.3,1572.3,0
2020-06-24,1572.3,1617.0,1572.2,1590.3,1590.3,0
2020-06-25,1590.3,1590.3,1539.4,1539.4,1539.4,0
2020-06-26,1539.4,1560.4,1533.5,1552.0,1552.0,0
2020-06-29,1552.0,1552.0,1518.5,1530.8,1530.8,0
2020-06-30,1530.8,1585.7,1530.8,1570.4,1570.4,0
2020-07-01,1570.4,1613.2,1565.9,1595.2,1595.2,0
2020-07-02,1595.2,1659.8,1595.2,1654.8,1654.8,0
2020-07-03,1654.8,1689.7,1646.2,1665.5,1665.5,0
2020-07-06,1665.5,1684.3,1664.9,1668.8,1668.8,0
2020-07-07,1668.8,1700.7,1668.8,1685.4,1685.4,0
2020-07-08,1685.4,1685.4,1657.9,1657.9,1657.9,0
2020-07-09,1657.9,1736.2,1657.9,1710.0,1710.0,0
2020-07-10,1710.0,1741.0,1693.6,1697.2,1697.2,0
2020-07-13,1697.2,1720.7,1654.4,1680.1,1680.1,0
2020-07-14,1680.1,1680.1,1607.5,1612.7,1612.7,0
2020-07-15,1612.7,1663.1,1612.7,1657.3,1657.3,0
2020-07-16,1657.3,1672.2,1634.9,1637.9,1637.9,0
2020-07-17,1637.9,1656.8,1618.1,1636.5,1636.5,0
2020-07-20,1636.5,1661.4,1636.5,1658.5,1658.5,0
2020-07-21,1658.5,1753.6,1658.5,1753.6,1753.6,0
2020-07-22,1753.6,1753.6,1704.7,1711.8,1711.8,0
2020-07-23,1711.8,1719.6,1692.1,1703.7,1703.7,0
2020-07-24,1703.7,1703.7,1654.4,1667.9,1667.9,0
2020-07-27,1667.9,1690.0,1655.3,1680.1,1680.1,0
2020-07-28,1680.1,1704.9,1654.8,1655.1,1655.1,0
2020-07-29,1655.1,1655.1,1621.6,1629.2,1629.2,0
2020-07-30,1629.2,1675.1,1629.2,1668.1,1668.1,0
2020-07-31,1668.1,1682.4,1635.7,1643.3,1643.3,0
2020-08-03,1643.3,1650.1,1620.5,1644.3,1644.3,0
2020-08-04,1644.3,1716.0,1644.3,1697.3,1697.3,0
2020-08-05,1697.3,1699.6,1674.8,1691.3,1691.3,0
2020-08-06,1691.3,1705.4,1681.9,1690.6,1690.6,0
2020-08-07,1690.6,1694.9,1678.2,1680.9,1680.9,0
2020-08-10,1680.9,1711.3,1675.7,1703.3,1703.3,0
2020-08-11,1703.3,1703.3,1663.1,1668.9,1668.9,0
2020-08-12,1668.9,1668.9,1645.7,1651.2,1651.2,0
2020-08-13,1651.2,1692.7,1651.2,1659.5,1659.5,0
2020-08-14,1659.5,1730.3,1659.5,1729.1,1729.1,0
2020-08-17,1729.1,1729.1,1701.8,1705.5,1705.5,0
2020-08-18,1705.5,1749.0,1705.5,1741.9,1741.9,0
2020-08-19,1741.9,1796.8,1741.9,1786.5,1786.5,0
2020-08-20,1786.5,1828.9,1786.5,1802.3,1802.3,0
2020-08-21,1802.3,1830.8,1802.3,1808.0,1808.0,0
2020-08-24,1808.0,1865.8,1808.0,1865.8,1865.8,0
2020-08-25,1865.8,1937.6,1865.8,1932.7,1932.7,0
2020-08-26,1932.7,1932.7,1905.3,1915.6,1915.6,0
2020-08-27,1915.6,1932.7,1869.5,1909.2,1909.2,0
2020-08-28,1909.2,1909.2,1851.0,1871.2,1871.2,0
2020-08-31,1871.2,1916.7,1862.5,1894.1,1894.1,0
2020-09-01,1894.1,1894.1,1811.1,1829.0,1829.0,0
2020-09-02,1829.0,1853.9,1774.3,1841.5,1841.5,0
2020-09-03,1841.5,1873.1,1820.4,1838.6,1838.6,0
2020-09-04,1838.6,1838.6,1733.6,1735.8,1735.8,0
2020-09-07,1735.8,1735.8,1694.4,1724.9,1724.9,0
2020-09-08,1724.9,1743.5,1711.5,1725.4,1725.4,0
2020-09-09,1725.4,1725.4,1655.8,1684.1,1684.1,0
2020-09-10,1684.1,1741.2,1684.1,1706.8,1706.8,0
