Date,Open,High,Low,Close,Adj_Close,Volume
2020-02-05,6904.0,6963.9,6904.0,6931.8,6931.8,0
2020-02-06,6931.8,7003.2,6931.8,7002.4,7002.4,0
2020-02-07,7002.4,7005.0,6956.5,6976.4,6976.4,0
2020-02-10,6976.4,6977.9,6936.6,6965.6,6965.6,0
2020-02-11,6965.6,7023.3,6965.6,7008.6,7008.6,0
2020-02-12,7008.6,7051.7,7008.6,7041.7,7041.7,0
2020-02-13,7041.7,7098.6,7041.2,7057.2,7057.2,0
2020-02-14,7057.2,7091.1,7054.7,7083.0,7083.0,0
2020-02-17,7083.0,7090.2,7057.9,7077.8,7077.8,0
2020-02-18,7077.8,7077.8,7050.0,7065.9,7065.9,0
2020-02-19,7065.9,7097.8,7055.6,7097.8,7097.8,0
2020-02-20,7097.8,7149.8,7097.8,7115.7,7115.7,0
2020-02-21,7115.7,7115.9,7088.7,7092.4,7092.4,0
2020-02-24,7092.4,7092.4,6923.0,6933.1,6933.1,0
2020-02-25,6933.1,6933.1,6755.3,6822.6,6822.6,0
2020-02-26,6822.6,6822.6,6645.9,6663.6,6663.6,0
2020-02-27,6663.6,6683.1,6586.7,6613.5,6613.5,0
2020-02-28,6613.5,6613.5,6381.7,6395.6,6395.6,0
2020-03-02,6395.6,6395.6,6199.5,6346.6,6346.6,0
2020-03-04,6391.9,6391.9,6267.6,6282.5,6282.5,0
2020-03-05,6282.5,6403.0,6282.5,6351.9,6351.9,0
2020-03-06,6351.9,6351.9,6173.5,6173.5,6173.5,0
2020-03-09,6173.5,6173.5,5719.4,5719.4,5719.4,0
2020-03-10,5719.4,5895.2,5499.3,5895.2,5895.2,0
2020-03-11,5895.2,5928.7,5683.3,5683.3,5683.3,0
2020-03-12,5683.3,5683.3,5250.8,5266.1,5266.1,0
2020-03-13,5266.1,5490.0,4837.2,5490.0,5490.0,0
2020-03-16,5490.0,5490.0,4958.7,4958.7,4958.7,0
2020-03-17,4958.7,5251.3,4952.7,5241.6,5241.6,0
2020-03-18,5241.6,5241.6,4846.5,4910.4,4910.4,0
2020-03-19,4910.4,5053.7,4695.6,4736.8,4736.8,0
2020-03-20,4736.8,4966.1,4736.8,4773.0,4773.0,0
2020-03-23,4773.0,4773.0,4359.6,4500.0,4500.0,0
2020-03-24,4500.0,4687.8,4500.0,4687.8,4687.8,0
2020-03-25,4687.8,4974.4,4687.8,4946.1,4946.1,0
2020-03-26,4946.1,5122.1,4946.1,5062.3,5062.3,0
2020-03-27,5062.3,5186.0,4798.2,4798.2,4798.2,0
2020-03-30,4798.2,5127.4,4788.9,5127.4,5127.4,0
2020-03-31,5127.4,5312.7,4960.1,5029.6,5029.6,0
2020-04-01,5029.6,5220.3,5029.6,5207.8,5207.8,0
2020-04-02,5207.8,5207.8,5017.6,5106.3,5106.3,0
2020-04-03,5106.3,5198.1,4977.3,5021.4,5021.4,0
2020-04-06,5021.4,5252.2,5021.4,5237.1,5237.1,0
2020-04-07,5237.1,5374.0,5143.4,5208.1,5208.1,0
2020-04-08,5208.1,5273.4,5079.9,5162.1,5162.1,0
2020-04-09,5162.1,5341.5,5162.1,5341.5,5341.5,0
2020-04-13,5341.5,5341.5,5341.5,5341.5,5341.5,0
2020-04-14,5341.5,5445.7,5316.0,5442.9,5442.9,0
2020-04-15,5442.9,5488.3,5373.0,5422.8,5422.8,0
