Date,Open,High,Low,Close,Adj_Close,Volume
2020-02-05,7433.5,7512.5,7433.5,7512.3,7512.3,0
2020-02-06,7512.3,7575.7,7512.3,7575.7,7575.7,0
2020-02-07,7575.7,7589.3,7545.3,7558.6,7558.6,0
2020-02-10,7558.6,7561.2,7511.1,7544.9,7544.9,0
2020-02-11,7544.9,7642.8,7544.9,7609.1,7609.1,0
2020-02-12,7609.1,7659.6,7609.1,7643.4,7643.4,0
2020-02-13,7643.4,7681.9,7622.9,7636.3,7636.3,0
2020-02-14,7636.3,7666.0,7618.3,7648.0,7648.0,0
2020-02-17,7648.0,7669.1,7631.1,7658.5,7658.5,0
2020-02-18,7658.5,7658.5,7563.5,7594.0,7594.0,0
2020-02-19,7594.0,7645.5,7591.6,7634.2,7634.2,0
2020-02-20,7634.2,7724.3,7634.2,7659.8,7659.8,0
2020-02-21,7659.8,7670.5,7616.9,7616.9,7616.9,0
2020-02-24,7616.9,7616.9,7365.1,7365.1,7365.1,0
2020-02-25,7365.1,7365.1,7142.7,7244.8,7244.8,0
2020-02-26,7244.8,7244.8,7031.6,7055.6,7055.6,0
2020-02-27,7055.6,7110.8,7016.0,7029.4,7029.4,0
2020-02-28,7029.4,7029.4,6750.3,6762.6,6762.6,0
2020-03-02,6762.6,6762.6,6568.7,6749.5,6749.5,0
2020-03-04,6837.3,6837.3,6708.8,6733.6,6733.6,0
2020-03-05,6733.6,6892.4,6733.6,6810.2,6810.2,0
2020-03-06,6810.2,6810.2,6578.6,6578.6,6578.6,0
2020-03-09,6578.6,6578.6,6105.7,6105.7,6105.7,0
2020-03-10,6105.7,6271.3,5872.9,6271.3,6271.3,0
2020-03-11,6271.3,6308.2,6046.4,6046.4,6046.4,0
2020-03-12,6046.4,6046.4,5579.6,5649.2,5649.2,0
2020-03-13,5649.2,5780.7,5159.9,5780.7,5780.7,0
2020-03-16,5780.7,5780.7,5177.4,5177.4,5177.4,0
2020-03-17,5177.4,5348.3,5101.7,5330.3,5330.3,0
2020-03-18,5330.3,5330.3,4966.9,5048.3,5048.3,0
2020-03-19,5048.3,5085.0,4798.0,4836.6,4836.6,0
2020-03-20,4836.6,5072.1,4836.6,4927.8,4927.8,0
2020-03-23,4927.8,4927.8,4413.2,4511.3,4511.3,0
2020-03-24,4511.3,4783.6,4511.3,4783.6,4783.6,0
2020-03-25,4783.6,5115.3,4783.6,4955.4,4955.4,0
2020-03-26,4955.4,5201.2,4955.4,5126.8,5126.8,0
2020-03-27,5126.8,5317.5,4940.7,4947.6,4947.6,0
2020-03-30,4947.6,5257.1,4917.3,5257.1,5257.1,0
2020-03-31,5257.1,5445.5,5161.4,5196.2,5196.2,0
2020-04-01,5196.2,5405.5,5196.2,5399.0,5399.0,0
2020-04-02,5399.0,5399.0,5217.6,5287.6,5287.6,0
2020-04-03,5287.6,5395.0,5122.8,5160.2,5160.2,0
2020-04-06,5160.2,5435.8,5160.2,5413.7,5413.7,0
2020-04-07,5413.7,5578.1,5406.8,5462.2,5462.2,0
2020-04-08,5462.2,5574.2,5362.1,5469.4,5469.4,0
2020-04-09,5469.4,5646.5,5469.4,5646.5,5646.5,0
2020-04-13,5646.5,5646.5,5646.5,5646.5,5646.5,0
2020-04-14,5646.5,5876.3,5646.5,5864.5,5864.5,0
2020-04-15,5864.5,5905.5,5783.7,5848.8,5848.8,0
2020-04-16,5848.8,5848.8,5717.4,5784.9,5784.9,0
2020-04-17,5784.9,5943.8,5784.9,5848.5,5848.5,0
2020-04-20,5848.5,5849.8,5728.4,5728.4,5728.4,0
2020-04-21,5728.4,5729.0,5585.2,5595.8,5595.8,0
2020-04-22,5595.8,5624.1,5456.3,5592.1,5592.1,0
2020-04-23,5592.1,5683.4,5570.0,5614.4,5614.4,0
2020-04-24,5614.4,5652.8,5589.7,5613.4,5613.4,0
2020-04-27,5613.4,5773.8,5611.8,5765.1,5765.1,0
2020-04-28,5765.1,5809.9,5732.6,5778.5,5778.5,0
2020-04-29,5778.5,5866.5,5750.7,5866.5,5866.5,0
2020-04-30,5866.5,6049.4,5866.5,6032.6,6032.6,0
2020-05-01,6032.6,6032.6,5759.1,5759.1,5759.1,0
2020-05-04,5759.1,5864.0,5725.4,5861.8,5861.8,0
2020-05-05,5861.8,5970.5,5861.8,5970.5,5970.5,0
2020-05-06,5970.5,6019.0,5956.4,5999.9,5999.9,0
2020-05-07,5999.9,6007.1,5953.3,6007.1,6007.1,0
2020-05-08,6007.1,6088.5,6007.1,6058.7,6058.7,0
2020-05-11,6058.7,6155.2,6058.7,6128.6,6128.6,0
2020-05-12,6128.6,6128.6,6032.1,6060.1,6060.1,0
2020-05-13,6060.1,6060.1,5926.1,6053.2,6053.2,0
2020-05-14,6053.2,6053.2,5933.0,5933.0,5933.0,0
2020-05-15,5933.0,6024.7,5933.0,6015.1,6015.1,0
2020-05-18,6015.1,6146.3,6015.1,6122.2,6122.2,0
2020-05-19,6122.2,6269.0,6122.2,6200.3,6200.3,0
2020-05-20,6200.3,6274.1,6152.7,6252.6,6252.6,0
2020-05-21,6252.6,6332.2,6249.1,6273.0,6273.0,0
2020-05-22,6273.0,6306.8,6215.5,6216.5,6216.5,0
2020-05-25,6216.5,6383.4,6216.5,6383.4,6383.4,0
2020-05-26,6383.4,6542.9,6383.4,6534.6,6534.6,0
2020-05-27,6534.6,6534.7,6418.7,6479.8,6479.8,0
2020-05-28,6479.8,6600.6,6479.8,6518.1,6518.1,0
2020-05-29,6518.1,6533.3,6467.9,6491.6,6491.6,0
2020-06-01,6491.6,6543.9,6424.6,6543.9,6543.9,0
2020-06-02,6543.9,6654.6,6538.1,6633.6,6633.6,0
2020-06-03,6633.6,6735.9,6633.6,6729.5,6729.5,0
2020-06-04,6729.5,6800.2,6674.8,6721.9,6721.9,0
2020-06-05,6721.9,6721.9,6665.6,6687.8,6687.8,0
2020-06-08,6687.8,6687.8,6687.8,6687.8,6687.8,0
2020-06-09,6687.8,6884.1,6687.8,6824.9,6824.9,0
