Date,Open,High,Low,Close,Adj_Close,Volume
2020-02-05,13790.5,13933.5,13790.5,13933.5,13933.5,0
2020-02-06,13933.5,14100.3,13933.5,14100.3,14100.3,0
2020-02-07,14100.3,14100.3,13912.4,13941.3,13941.3,0
2020-02-10,13941.3,13941.3,13770.4,13864.1,13864.1,0
2020-02-11,13864.1,13958.0,13860.0,13945.4,13945.4,0
2020-02-12,13945.4,14004.7,13843.1,13895.4,13895.4,0
2020-02-13,13895.4,14001.4,13845.1,13867.4,13867.4,0
2020-02-14,13867.4,13886.9,13762.1,13829.8,13829.8,0
2020-02-17,13829.8,13888.2,13807.4,13835.1,13835.1,0
2020-02-18,13835.1,13901.4,13764.8,13838.4,13838.4,0
2020-02-19,13838.4,13918.5,13813.2,13893.0,13893.0,0
2020-02-20,13893.0,14005.8,13893.0,13943.8,13943.8,0
2020-02-21,13943.8,13944.4,13875.0,13875.0,13875.0,0
2020-02-24,13875.0,13875.0,13617.6,13654.6,13654.6,0
2020-02-25,13654.6,13654.6,13333.4,13362.1,13362.1,0
2020-02-26,13362.1,13362.1,13048.7,13063.3,13063.3,0
2020-02-27,13063.3,13159.8,12903.8,12997.0,12997.0,0
2020-02-28,12997.0,12997.0,12359.3,12390.6,12390.6,0
2020-03-02,12390.6,12390.6,11839.0,12284.5,12284.5,0
2020-03-04,12474.5,12545.1,12389.8,12484.4,12484.4,0
2020-03-05,12484.4,12693.6,12469.0,12525.0,12525.0,0
2020-03-06,12525.0,12525.0,12194.2,12194.2,12194.2,0
2020-03-09,12194.2,12194.2,11034.2,11034.2,11034.2,0
2020-03-10,11034.2,11479.0,10724.2,11479.0,11479.0,0
2020-03-11,11479.0,11515.6,11060.5,11060.5,11060.5,0
2020-03-12,11060.5,11060.5,10105.9,10236.0,10236.0,0
2020-03-13,10236.0,10498.7,9368.0,10498.7,10498.7,0
2020-03-16,10498.7,10498.7,9695.3,9695.3,9695.3,0
2020-03-17,9695.3,10627.2,9695.3,10569.2,10569.2,0
2020-03-18,10569.2,10679.4,10061.0,10224.4,10224.4,0
2020-03-19,10224.4,10601.2,9961.3,10077.6,10077.6,0
2020-03-20,10077.6,10483.0,10077.6,10112.8,10112.8,0
2020-03-23,10112.8,10112.8,9526.9,9824.7,9824.7,0
2020-03-24,9824.7,10325.0,9824.7,10306.3,10306.3,0
2020-03-25,10306.3,11167.6,10306.3,11037.1,11037.1,0
2020-03-26,11037.1,11303.6,10995.1,11054.8,11054.8,0
2020-03-27,11054.8,11285.8,10517.5,10517.5,10517.5,0
2020-03-30,10517.5,10941.0,10269.1,10941.0,10941.0,0
2020-03-31,10941.0,11055.3,10442.3,10549.9,10549.9,0
2020-04-01,10549.9,11031.8,10549.9,10967.8,10967.8,0
2020-04-02,10967.8,10967.8,10696.4,10872.1,10872.1,0
2020-04-03,10872.1,11278.8,10840.0,10952.0,10952.0,0
2020-04-06,10952.0,11420.7,10952.0,11404.6,11404.6,0
2020-04-07,11404.6,11749.5,11305.3,11475.0,11475.0,0
2020-04-08,11475.0,11639.9,11213.7,11382.4,11382.4,0
2020-04-09,11382.4,11547.5,11305.4,11542.6,11542.6,0
2020-04-13,11542.6,11542.6,11542.6,11542.6,11542.6,0
2020-04-14,11542.6,11975.9,11535.1,11937.6,11937.6,0
2020-04-15,11937.6,11990.7,11722.0,11855.5,11855.5,0
2020-04-16,11855.5,11855.5,11483.7,11668.9,11668.9,0
2020-04-17,11668.9,11915.4,11668.9,11779.8,11779.8,0
2020-04-20,11779.8,11853.6,11522.4,11522.4,11522.4,0
2020-04-21,11522.4,11538.6,11306.2,11327.0,11327.0,0
2020-04-22,11327.0,11327.0,10984.0,11097.5,11097.5,0
2020-04-23,11097.5,11443.7,11097.5,11345.9,11345.9,0
2020-04-24,11345.9,11527.2,11345.9,11485.2,11485.2,0
2020-04-27,11485.2,11601.7,11374.0,11575.7,11575.7,0
2020-04-28,11575.7,11640.6,11448.6,11523.4,11523.4,0
2020-04-29,11523.4,11730.0,11523.4,11688.0,11688.0,0
2020-04-30,11688.0,12080.2,11688.0,12049.4,12049.4,0
2020-05-01,12049.4,12049.4,11226.0,11226.0,11226.0,0
2020-05-04,11226.0,11308.0,11088.3,11284.7,11284.7,0
2020-05-05,11284.7,11567.9,11284.7,11567.9,11567.9,0
2020-05-06,11567.9,11583.3,11437.2,11527.9,11527.9,0
2020-05-07,11527.9,11602.3,11496.2,11597.3,11597.3,0
2020-05-08,11597.3,11781.8,11597.3,11706.6,11706.6,0
2020-05-11,11706.6,11896.3,11706.6,11842.1,11842.1,0
2020-05-12,11842.1,11842.1,11553.8,11618.8,11618.8,0
2020-05-13,11618.8,11732.4,11473.0,11729.1,11729.1,0
2020-05-14,11729.1,11797.2,11635.4,11657.7,11657.7,0
2020-05-15,11657.7,12039.9,11657.7,12037.0,12037.0,0
2020-05-18,12037.0,12578.8,12037.0,12532.1,12532.1,0
2020-05-19,12532.1,13007.3,12532.1,12976.3,12976.3,0
2020-05-20,12976.3,12997.4,12786.5,12943.7,12943.7,0
2020-05-21,12943.7,13078.6,12854.4,12866.4,12866.4,0
2020-05-22,12866.4,12944.6,12742.6,12772.9,12772.9,0
2020-05-25,12772.9,12959.7,12772.9,12940.3,12940.3,0
2020-05-26,12940.3,13181.6,12936.4,13181.6,13181.6,0
2020-05-27,13181.6,13181.6,12768.1,12807.3,12807.3,0
2020-05-28,12807.3,13129.7,12807.3,13029.6,13029.6,0
2020-05-29,13029.6,13122.5,12949.7,13011.4,13011.4,0
2020-06-01,13011.4,13413.8,13011.4,13413.8,13413.8,0
2020-06-02,13413.8,13447.7,13255.9,13401.6,13401.6,0
2020-06-03,13401.6,13553.1,13401.6,13486.4,13486.4,0
2020-06-04,13486.4,13562.6,13338.6,13408.2,13408.2,0
2020-06-05,13408.2,13459.9,13346.6,13423.5,13423.5,0
2020-06-08,13423.5,13423.5,13423.5,13423.5,13423.5,0
2020-06-09,13423.5,13849.4,13423.5,13644.7,13644.7,0
2020-06-10,13644.7,13756.0,13570.5,13638.4,13638.4,0
2020-06-11,13638.4,13685.4,13454.8,13459.9,13459.9,0
2020-06-12,13459.9,13459.9,13046.7,13232.6,13232.6,0
2020-06-15,13232.6,13265.3,12954.3,12954.3,12954.3,0
2020-06-16,12954.3,13476.5,12954.3,13405.4,13405.4,0
2020-06-17,13405.4,13481.4,13232.1,13327.3,13327.3,0
2020-06-18,13327.3,13327.3,13088.2,13149.4,13149.4,0
2020-06-19,13149.4,13260.5,12991.1,13011.9,13011.9,0
2020-06-22,13011.9,13309.2,12968.4,13233.7,13233.7,0
2020-06-23,13233.7,13413.8,13144.6,13296.7,13296.7,0
2020-06-24,13296.7,13445.4,13296.7,13426.4,13426.4,0
2020-06-25,13426.4,13426.4,13046.6,13046.6,13046.6,0
2020-06-26,13046.6,13283.1,13046.6,13278.6,13278.6,0
2020-06-29,13278.6,13278.6,13021.9,13089.7,13089.7,0
2020-06-30,13089.7,13435.5,13089.7,13304.5,13304.5,0
2020-07-01,13304.5,13458.4,13304.5,13413.6,13413.6,0
2020-07-02,13413.6,13522.4,13299.4,13494.6,13494.6,0
2020-07-03,13494.6,13603.5,13418.4,13501.3,13501.3,0
2020-07-06,13501.3,13501.3,13339.2,13339.2,13339.2,0
2020-07-07,13339.2,13662.8,13339.2,13562.4,13562.4,0
2020-07-08,13562.4,13735.5,13476.7,13492.8,13492.8,0
2020-07-09,13492.8,13811.4,13492.8,13723.5,13723.5,0
2020-07-10,13723.5,13723.5,13555.0,13598.5,13598.5,0
2020-07-13,13598.5,13855.9,13598.5,13841.1,13841.1,0
2020-07-14,13841.1,13841.1,13658.3,13787.6,13787.6,0
2020-07-15,13787.6,14154.7,13787.6,14154.7,14154.7,0
2020-07-16,14154.7,14178.2,14006.7,14053.2,14053.2,0
2020-07-17,14053.2,14204.4,14042.2,14170.2,14170.2,0
2020-07-20,14170.2,14320.4,14170.1,14246.5,14246.5,0
2020-07-21,14246.5,14510.7,14246.5,14495.4,14495.4,0
2020-07-22,14495.4,14495.4,14254.5,14302.2,14302.2,0
2020-07-23,14302.2,14339.7,14213.6,14298.8,14298.8,0
2020-07-24,14298.8,14298.8,14145.0,14172.9,14172.9,0
2020-07-27,14172.9,14451.4,14136.4,14394.9,14394.9,0
2020-07-28,14394.9,14779.4,14394.9,14520.7,14520.7,0
2020-07-29,14520.7,14520.7,14241.9,14270.0,14270.0,0
2020-07-30,14270.0,14417.7,14270.0,14417.7,14417.7,0
2020-07-31,14417.7,14417.7,13989.9,14078.8,14078.8,0
2020-08-03,14078.8,14321.6,14078.8,14287.6,14287.6,0
2020-08-04,14287.6,14573.5,14287.6,14468.4,14468.4,0
2020-08-05,14468.4,14599.1,14448.9,14568.0,14568.0,0
2020-08-06,14568.0,14927.6,14568.0,14927.6,14927.6,0
2020-08-07,14927.6,14927.6,14650.6,14700.8,14700.8,0
2020-08-10,14700.8,14890.1,14630.7,14858.6,14858.6,0
2020-08-11,14858.6,15052.5,14858.6,14863.5,14863.5,0
2020-08-12,14863.5,14863.5,14558.9,14622.5,14622.5,0
2020-08-13,14622.5,14754.1,14562.6,14604.4,14604.4,0
2020-08-14,14604.4,14707.1,14604.4,14660.4,14660.4,0
2020-08-17,14660.4,14711.9,14539.1,14630.4,14630.4,0
2020-08-18,14630.4,14844.6,14585.6,14752.0,14752.0,0
2020-08-19,14752.0,14752.0,14555.3,14558.5,14558.5,0
2020-08-20,14558.5,14558.5,14359.7,14445.2,14445.2,0
2020-08-21,14445.2,14545.9,14353.8,14376.9,14376.9,0
2020-08-24,14376.9,14501.3,14291.8,14469.2,14469.2,0
2020-08-25,14469.2,14547.1,14349.5,14372.6,14372.6,0
2020-08-26,14372.6,14372.6,14182.4,14236.9,14236.9,0
2020-08-27,14236.9,14477.9,14236.9,14411.3,14411.3,0
2020-08-28,14411.3,14411.3,14094.3,14155.1,14155.1,0
2020-08-31,14155.1,14199.2,14098.8,14115.9,14115.9,0
2020-09-01,14115.9,14115.9,13800.7,14007.9,14007.9,0
2020-09-02,14008.0,14374.2,14007.9,14282.5,14282.5,0
2020-09-03,14282.5,14282.5,14136.3,14206.4,14206.4,0
2020-09-04,14206.4,14206.4,13734.3,13773.5,13773.5,0
2020-09-07,13773.5,14028.5,13773.5,13999.9,13999.9,0
2020-09-08,13999.9,14186.3,13999.9,14148.5,14148.5,0
2020-09-09,14148.5,14148.5,13855.6,13945.1,13945.1,0
2020-09-10,13945.1,14181.5,13945.1,14086.8,14086.8,0
2020-09-11,14086.8,14086.8,13861.5,13908.1,13908.1,0
2020-09-14,13908.1,14237.3,13908.1,14219.6,14219.6,0
2020-09-15,14219.6,14363.5,14219.6,14330.6,14330.6,0
2020-09-16,14330.6,14502.1,14330.6,14412.1,14412.1,0
2020-09-17,14412.1,14434.2,14076.5,14091.9,14091.9,0
2020-09-18,14091.9,14334.6,14091.9,14240.3,14240.3,0
2020-09-21,14240.3,14240.3,14046.9,14068.0,14068.0,0
2020-09-22,14068.0,14068.0,13701.5,13787.2,13787.2,0
2020-09-23,13787.2,13988.9,13787.2,13938.9,13938.9,0
2020-09-24,13938.9,13938.9,13637.5,13725.9,13725.9,0
2020-09-25,13725.9,13980.8,13725.9,13919.1,13919.1,0
2020-09-28,13919.1,13957.0,13834.5,13915.4,13915.4,0
2020-09-29,13915.4,13995.3,13845.9,13894.2,13894.2,0
2020-09-30,13894.2,13894.2,13595.7,13595.7,13595.7,0
2020-10-01,13595.7,13936.0,13595.7,13803.9,13803.9,0
2020-10-02,13803.9,13803.9,13477.8,13509.9,13509.9,0
2020-10-05,13509.9,13810.2,13509.9,13803.8,13803.8,0
2020-10-06,13803.8,13991.1,13803.8,13956.4,13956.4,0
2020-10-07,13956.4,13994.0,13737.3,13937.1,13937.1,0
2020-10-08,13937.1,14242.8,13937.1,14148.1,14148.1,0
2020-10-09,14148.1,14272.1,14148.1,14218.0,14218.0,0
