Date,Open,High,Low,Close,Adj_Close,Volume
2020-02-05,1674.6,1695.0,1674.6,1675.3,1675.3,0
2020-02-06,1675.3,1679.0,1665.0,1670.5,1670.5,0
2020-02-07,1670.5,1679.5,1667.4,1679.5,1679.5,0
2020-02-10,1679.5,1692.5,1679.4,1683.0,1683.0,0
2020-02-11,1683.0,1706.5,1683.0,1689.4,1689.4,0
2020-02-12,1689.4,1699.7,1689.2,1695.4,1695.4,0
2020-02-13,1695.4,1721.4,1694.5,1704.4,1704.4,0
2020-02-14,1704.4,1713.3,1703.3,1706.4,1706.4,0
2020-02-17,1706.4,1721.3,1706.4,1719.3,1719.3,0
2020-02-18,1719.3,1719.5,1702.8,1717.0,1717.0,0
2020-02-19,1717.0,1724.3,1715.4,1724.0,1724.0,0
2020-02-20,1724.0,1734.3,1720.7,1730.4,1730.4,0
2020-02-21,1730.4,1736.2,1717.9,1718.2,1718.2,0
2020-02-24,1718.2,1718.2,1689.8,1692.0,1692.0,0
2020-02-25,1692.0,1692.0,1657.9,1664.4,1664.4,0
2020-02-26,1664.4,1664.4,1624.3,1633.3,1633.3,0
2020-02-27,1633.3,1636.3,1623.4,1632.7,1632.7,0
2020-02-28,1632.7,1632.7,1571.5,1579.4,1579.4,0
2020-03-02,1579.4,1579.4,1535.5,1562.6,1562.6,0
2020-03-04,1592.8,1592.8,1563.6,1576.2,1576.2,0
2020-03-05,1576.2,1622.2,1576.2,1617.8,1617.8,0
2020-03-06,1617.8,1617.8,1579.4,1579.4,1579.4,0
2020-03-09,1579.4,1579.4,1507.3,1507.3,1507.3,0
2020-03-10,1507.3,1507.3,1447.4,1490.0,1490.0,0
2020-03-11,1490.0,1499.7,1478.4,1478.9,1478.9,0
2020-03-12,1478.9,1478.9,1375.5,1375.6,1375.6,0
2020-03-13,1375.6,1375.6,1245.7,1362.7,1362.7,0
2020-03-16,1362.7,1362.7,1216.4,1216.4,1216.4,0
2020-03-17,1216.4,1217.4,1163.0,1187.6,1187.6,0
2020-03-18,1187.6,1188.4,1065.1,1065.1,1065.1,0
