Date,Open,High,Low,Close,Adj_Close,Volume
2020-02-05,6904.3,6953.6,6892.7,6898.5,6898.5,0
2020-02-06,6898.5,7000.1,6898.5,6996.0,6996.0,0
2020-02-07,6996.0,7005.3,6940.6,6982.4,6982.4,0
2020-02-10,6982.4,6984.8,6937.1,6953.4,6953.4,0
2020-02-11,6953.4,7010.8,6953.4,6989.8,6989.8,0
2020-02-12,6989.8,7128.3,6989.8,7114.8,7114.8,0
2020-02-13,7114.8,7183.3,7113.4,7138.9,7138.9,0
2020-02-14,7138.9,7242.6,7137.2,7234.8,7234.8,0
2020-02-17,7234.8,7239.5,7169.6,7202.9,7202.9,0
2020-02-18,7202.9,7228.4,7194.0,7228.4,7228.4,0
2020-02-19,7228.4,7234.1,7145.0,7180.4,7180.4,0
2020-02-20,7180.4,7223.2,7163.7,7206.7,7206.7,0
2020-02-21,7206.7,7244.5,7189.8,7243.3,7243.3,0
2020-02-24,7243.3,7243.3,7081.2,7117.8,7117.8,0
2020-02-25,7117.8,7117.8,6933.7,7025.3,7025.3,0
2020-02-26,7025.3,7025.3,6858.6,6885.9,6885.9,0
2020-02-27,6885.9,6899.9,6766.2,6797.2,6797.2,0
2020-02-28,6797.2,6797.2,6546.7,6585.3,6585.3,0
2020-03-02,6585.3,6585.3,6347.8,6487.4,6487.4,0
2020-03-04,6427.9,6427.9,6235.1,6252.0,6252.0,0
2020-03-05,6252.0,6358.3,6252.0,6283.9,6283.9,0
2020-03-06,6283.9,6283.9,6020.2,6020.2,6020.2,0
2020-03-09,6020.2,6020.2,5562.7,5562.7,5562.7,0
2020-03-10,5562.7,5824.1,5335.4,5824.1,5824.1,0
2020-03-11,5824.1,5843.0,5517.6,5517.6,5517.6,0
2020-03-12,5517.6,5517.6,5075.8,5075.8,5075.8,0
2020-03-13,5075.8,5265.0,4549.7,5265.0,5265.0,0
2020-03-16,5265.0,5265.0,4680.5,4680.5,4680.5,0
2020-03-17,4680.5,5130.6,4671.2,5111.0,5111.0,0
2020-03-18,5111.0,5111.0,4646.3,4720.4,4720.4,0
2020-03-19,4720.4,4981.1,4388.7,4388.7,4388.7,0
2020-03-20,4388.7,4745.6,4388.7,4545.0,4545.0,0
2020-03-23,4545.0,4545.0,4005.4,4080.7,4080.7,0
2020-03-24,4080.7,4307.2,4080.7,4272.9,4272.9,0
2020-03-25,4272.9,4643.4,4272.9,4643.4,4643.4,0
2020-03-26,4643.4,4739.7,4542.6,4660.7,4660.7,0
2020-03-27,4660.7,4818.0,4389.6,4389.6,4389.6,0
2020-03-30,4389.6,4775.9,4387.2,4775.9,4775.9,0
2020-03-31,4775.9,5073.1,4676.4,4754.8,4754.8,0
