Date,Price,OpenClose_spread,Highlow_spread,5_Days_MA,10_Days_MA,15_Days_MA,30_Days_MA,5_Days_VAR,15_Days_VAR,30_Days_VAR
2020-02-27,6601.3,-157.30000000000018,175.30000000000018,6812.32,6945.5199999999995,6962.84,,38507.25199999954,24882.87828571433,
2020-02-28,6383.8,-50.0,96.80000000000018,6672.9400000000005,6876.42,6924.253333333333,,42124.16299999912,47236.68552380959,
2020-03-02,6334.1,-217.5,231.0,6555.82,6802.99,6882.953333333334,,38458.306999998706,70224.8555238096,
2020-03-04,6266.4,-49.69999999999982,196.0,6447.38,6723.93,6834.326666666667,,28725.8169999983,93934.52352380966,
2020-03-05,6335.3,-110.70000000000073,125.70000000000073,6384.18,6648.65,6788.06,,16477.656999998002,106713.37685714303,
2020-03-06,6158.6,68.90000000000055,119.40000000000055,6295.64,6553.9800000000005,6728.8933333333325,,7614.802999997591,126508.00780952394,
2020-03-09,5702.7,-176.69999999999982,176.69999999999982,6159.42,6416.18,6637.419999999999,,70371.35699999727,184215.92028571447,
2020-03-10,5882.9,-455.90000000000055,455.90000000000055,6069.179999999999,6312.500000000001,6558.386666666667,,71679.8369999971,204920.39552380974,
2020-03-11,5671.3,180.19999999999982,402.1999999999998,5950.160000000001,6198.7699999999995,6466.006666666667,,83825.82799999688,234227.29066666678,
2020-03-12,5253.4,-211.59999999999945,245.80000000000018,5733.78,6058.9800000000005,6343.693333333333,,109585.86699999624,295584.9006666668,
2020-03-13,5490.6,-417.90000000000055,433.6999999999998,5600.18,5947.91,6236.046666666667,,56940.78699999581,293721.07552380965,
2020-03-16,4953.2,237.20000000000073,663.7000000000007,5450.28,5804.85,6094.213333333333,,130871.46699999571,338757.2112380956,
2020-03-17,5246.5,-537.4000000000005,537.4000000000005,5323.0,5696.09,5982.666666666667,,74212.77499999577,328082.1952380958,
2020-03-18,4902.1,293.3000000000002,307.90000000000055,5169.16,5559.66,5855.566666666667,6431.0233333333335,58590.3229999957,345449.50238095317,512606.6294367815
2020-03-19,4727.6,-344.39999999999964,409.3000000000002,5064.0,5398.89,5727.320000000001,6358.0233333333335,91736.75499999567,373478.7274285724,598986.7742643676
2020-03-20,4762.7,-174.5,363.5,4918.42,5259.3,5604.746666666667,6283.793333333333,42443.366999995655,369284.9683809537,667292.4523678159
2020-03-23,4493.7,35.099999999999454,233.39999999999964,4826.52,5138.4,5478.74,6201.496666666668,76680.71199999578,397094.6397142875,754894.9837816089
