,MSE,rf_n_estimators,rf_max_depth,rf_max_leaves,rf_min_samples_split,rf_n_bins,scalers
0,1.7944626833049688,50,50,1000,2,32,StandardScaler
1,1.793672883123988,50,50,1000,2,32,MinMaxScaler
2,1.7943656800551957,50,50,1000,2,32,QuantileTransformer
3,1.7943796112430137,50,50,1000,2,128,StandardScaler
4,1.793687952055826,50,50,1000,2,128,MinMaxScaler
5,1.7944944622322148,50,50,1000,2,128,QuantileTransformer
6,1.794538206651636,50,50,1000,2,512,StandardScaler
7,1.793772892716112,50,50,1000,2,512,MinMaxScaler
8,1.7946722913319997,50,50,1000,2,512,QuantileTransformer
9,1.7945683479006442,50,50,1000,10,32,StandardScaler
10,1.7937317052742243,50,50,1000,10,32,MinMaxScaler
11,1.7943973717515125,50,50,1000,10,32,QuantileTransformer
12,1.7944007283405046,50,50,1000,10,128,StandardScaler
13,1.7936508694780389,50,50,1000,10,128,MinMaxScaler
14,1.794443709359819,50,50,1000,10,128,QuantileTransformer
15,1.794482180389945,50,50,1000,10,512,StandardScaler
16,1.7936980761385302,50,50,1000,10,512,MinMaxScaler
17,1.794579361150089,50,50,1000,10,512,QuantileTransformer
18,1.794470830904388,50,50,1000,20,32,StandardScaler
19,1.793587847844594,50,50,1000,20,32,MinMaxScaler
20,1.79423429512929,50,50,1000,20,32,QuantileTransformer
21,1.7942384448723616,50,50,1000,20,128,StandardScaler
22,1.793425463410534,50,50,1000,20,128,MinMaxScaler
23,1.7942132135094877,50,50,1000,20,128,QuantileTransformer
24,1.7942511638450334,50,50,1000,20,512,StandardScaler
25,1.793441145067932,50,50,1000,20,512,MinMaxScaler
26,1.7943084375569585,50,50,1000,20,512,QuantileTransformer
27,1.794185134722582,50,50,1000,50,32,StandardScaler
28,1.7933278123336431,50,50,1000,50,32,MinMaxScaler
29,1.7939132509927649,50,50,1000,50,32,QuantileTransformer
30,1.7938942455335605,50,50,1000,50,128,StandardScaler
31,1.7931006826494198,50,50,1000,50,128,MinMaxScaler
32,1.7938543892023917,50,50,1000,50,128,QuantileTransformer
33,1.7938712397569712,50,50,1000,50,512,StandardScaler
34,1.793067430955584,50,50,1000,50,512,MinMaxScaler
35,1.7939021710456076,50,50,1000,50,512,QuantileTransformer
36,1.7938297674081207,50,50,500,2,32,StandardScaler
37,1.7931171328618625,50,50,500,2,32,MinMaxScaler
38,1.7937453624340374,50,50,500,2,32,QuantileTransformer
39,1.793759607340675,50,50,500,2,128,StandardScaler
40,1.7931351643114537,50,50,500,2,128,MinMaxScaler
41,1.7938668542288083,50,50,500,2,128,QuantileTransformer
42,1.7939081169248343,50,50,500,2,512,StandardScaler
43,1.7932164477403698,50,50,500,2,512,MinMaxScaler
44,1.7940329048136072,50,50,500,2,512,QuantileTransformer
45,1.7939403513737096,50,50,500,10,32,StandardScaler
46,1.793183433374113,50,50,500,10,32,MinMaxScaler
47,1.7937885419515338,50,50,500,10,32,QuantileTransformer
48,1.7937931573348411,50,50,500,10,128,StandardScaler
49,1.7931143168858947,50,50,500,10,128,MinMaxScaler
50,1.7938352858955993,50,50,500,10,128,QuantileTransformer
51,1.79387176921168,50,50,500,10,512,StandardScaler
52,1.7931612943157442,50,50,500,10,512,MinMaxScaler
53,1.7939631494157744,50,50,500,10,512,QuantileTransformer
54,1.7938661093493604,50,50,500,20,32,StandardScaler
55,1.7930652008969337,50,50,500,20,32,MinMaxScaler
56,1.7936541516644404,50,50,500,20,32,QuantileTransformer
57,1.793659387338724,50,50,500,20,128,StandardScaler
58,1.7929214596660652,50,50,500,20,128,MinMaxScaler
59,1.7936393393641374,50,50,500,20,128,QuantileTransformer
60,1.793675307202767,50,50,500,20,512,StandardScaler
61,1.7929395060611508,50,50,500,20,512,MinMaxScaler
62,1.7937303150051191,50,50,500,20,512,QuantileTransformer
63,1.793619471668895,50,50,500,50,32,StandardScaler
64,1.7928400087408698,50,50,500,50,32,MinMaxScaler
65,1.7933745709877946,50,50,500,50,32,QuantileTransformer
66,1.7933585800147105,50,50,500,50,128,StandardScaler
67,1.79263658416995,50,50,500,50,128,MinMaxScaler
68,1.7933248712525365,50,50,500,50,128,QuantileTransformer
69,1.7933415331398688,50,50,500,50,512,StandardScaler
70,1.7926096531183031,50,50,500,50,512,MinMaxScaler
71,1.7933723326594535,50,50,500,50,512,QuantileTransformer
72,1.7933061806161874,50,50,200,2,32,StandardScaler
73,1.7926559649228744,50,50,200,2,32,MinMaxScaler
74,1.793227725991829,50,50,200,2,32,QuantileTransformer
75,1.7932399306978413,50,50,200,2,128,StandardScaler
76,1.792669691059304,50,50,200,2,128,MinMaxScaler
77,1.793335997050186,50,50,200,2,128,QuantileTransformer
78,1.793373038992779,50,50,200,2,512,StandardScaler
79,1.792741653346244,50,50,200,2,512,MinMaxScaler
80,1.79348831003844,50,50,200,2,512,QuantileTransformer
